bus_id,bus_name,area,loss_zone,type,voltage,angle,load_P,load_Q,generation_p,generation_Q,base_kV,desired_volts,MAX_Q,Min_Q,G,B,control_bus_number,Par_Group,Name_Ctrl,Type_Ctrl,Value_Ctrl,Gen_Model,Gen_Par,AVR_Model,AVR_Par,GOV_Model,GOV_Par,PSS_Model,PSS_Par,Rate_MVA,Rate_MW,Xdp,Xdpp,X2,Tj,P_rate
135,135,1,1,2,1.1076,-1.7566,0.0904,0.201,1.2,0.8,0,0,0.8,0.0,0,0.0,0,0,,0,0,3,90,12,163,8,72,4,73,274.0,240.0,0.1,0.05,0.05,13.0,240.0
136,136,1,1,2,1.0927,-3.2536,0.0603,0.1507,0.8,0.31,0,0,0.31,0.0,0,0.0,0,0,,0,0,3,86,12,149,8,65,4,68,176.47,150.0,0.2,0.1,0.1,5.88,160.0
144,144,1,1,2,1.11,-0.42094,0.1834,0.1586,2.15,0.4429,0,0,1.35,-0.35,0,0.0,0,0,,0,0,3,232,12,398,8,123,4,182,472.2,425.0,0.2,0.1,0.1,10.577,430.0
145,145,1,1,2,1.11,-0.39755,0.4101,0.4307,4.4,0.8595,0,0,2.75,-0.7,0,0.0,0,0,,0,0,3,40,12,62,8,25,4,29,888.9,800.0,0.2,0.1,0.1,7.704,880.0000000000001
146,146,1,1,2,1.0397,-3.7365,0.2813,0.6631,4.45,-0.72,0,0,2.77,-0.72,0,0.0,0,0,,0,0,3,40,12,62,8,25,4,29,888.9,800.0,0.2,0.1,0.1,7.704,890.0
152,152,1,1,2,1.0747,-3.3768,0.0,0.0,0.0,0.0,0,0,1.44,-0.58,0,0.0,0,0,,0,0,6,1225,12,765,0,0,8,1,100.0,0.0,0.2,0.1,0.1,2.99,0.0
153,153,1,1,2,1.0745,-3.3834,0.0,0.0,0.0,0.0,0,0,1.44,-0.58,0,0.0,0,0,,0,0,6,1225,12,765,0,0,8,1,100.0,0.0,0.2,0.1,0.1,2.99,0.0
154,154,1,1,2,1.0886,-12.28,0.0784,0.201,1.2,0.85,0,0,0.85,-0.15,0,0.0,0,0,,0,0,3,90,12,163,8,72,4,73,274.0,240.0,0.1,0.05,0.05,13.0,240.0
155,155,1,1,2,1.0886,-12.292,0.0804,0.201,1.2,0.85,0,0,1.7,-0.3,0,0.0,0,0,,0,0,3,90,12,163,8,72,4,73,274.0,240.0,0.1,0.05,0.05,13.0,240.0
169,169,1,1,2,1.081,-17.439,0.0,0.0,0.0,0.0,0,0,0.25,0.0,0,0.0,0,0,,0,0,6,1225,12,765,0,0,8,1,100.0,0.0,0.2,0.1,0.1,2.99,0.0
170,170,1,1,2,1.081,-17.454,0.0,0.0,0.0,0.0,0,0,1.15,-0.15,0,0.0,0,0,,0,0,6,1225,12,765,0,0,8,1,100.0,0.0,0.2,0.1,0.1,2.99,0.0
172,172,1,1,2,1.1042,-32.358000000000004,0.1206,0.3014,1.0,1.19,0,0,2.3,-0.52,0,0.0,0,0,,0,0,3,16,12,24,8,9,4,12,222.22,200.0,0.2,0.1,0.1,8.78,200.0
173,173,1,1,2,1.1041,-32.358000000000004,0.0939,0.0243,0.0,0.0,0,0,2.13,-0.36,0,0.0,0,0,,0,0,6,1225,12,765,0,0,8,1,100.0,0.0,0.2,0.1,0.1,2.99,0.0
174,174,1,1,2,1.0361,-29.563000000000002,0.1206,0.3014,0.9,-0.15,0,0,1.02,-0.15,0,0.0,0,0,,0,0,3,199,12,340,8,117,4,150,200.0,180.0,0.2,0.1,0.1,7.7,180.0
175,175,1,1,2,1.0361,-29.559,0.2411,0.6029,1.9,1.1943,0,0,1.95,-0.25,0,0.0,0,0,,0,0,3,1470,12,398,7,77,4,182,472.2,375.0,0.2,0.1,0.1,6.4,380.0
180,180,1,1,2,1.11,-8.1601,0.2612,0.643,5.22,1.98,0,0,2.54,-0.7,0,0.0,0,0,,0,0,3,1694,12,62,8,185,4,29,888.9,1000.0,0.2,0.1,0.1,7.704,1044.0
181,181,1,1,2,1.11,-8.1681,0.2612,0.643,4.67,2.3,0,0,2.3,-0.52,0,0.0,0,0,,0,0,3,40,12,62,8,25,4,29,888.9,800.0,0.2,0.1,0.1,7.704,934.0
182,182,1,1,2,1.11,-8.1456,0.2612,0.6451,4.7,0.2162,0,0,2.9,-0.76,0,0.0,0,0,,0,0,3,40,12,62,8,25,4,29,888.9,800.0,0.2,0.1,0.1,7.704,940.0
183,183,1,1,2,1.0494,-7.5233,0.2612,0.6451,4.12,2.06,0,0,2.06,-0.34,0,0.0,0,0,,0,0,3,40,12,62,8,25,4,29,888.9,800.0,0.2,0.1,0.1,7.704,824.0
191,191,1,1,2,1.083,-17.586,0.1206,0.3014,2.0,1.04,0,0,1.04,-0.23,0,0.0,0,0,,0,0,3,1470,12,398,7,77,4,182,472.2,375.0,0.2,0.1,0.1,6.4,400.0
192,192,1,1,2,1.0827,-17.628,0.1466,0.3065,2.0,1.04,0,0,3.12,-0.69,0,0.0,0,0,,0,0,3,1470,12,398,7,77,4,182,472.2,375.0,0.2,0.1,0.1,6.4,400.0
193,193,1,1,2,1.0324,-10.998,0.3818,0.643,4.64,2.94,0,0,2.94,-2.59,0,0.0,0,0,,0,0,3,40,12,62,8,25,4,29,888.9,800.0,0.2,0.1,0.1,7.704,927.9999999999999
208,208,1,1,2,1.0675,-20.340999999999998,0.0314,0.0151,1.88,1.0,0,0,1.0,0.0,0,0.0,0,0,,0,0,3,1470,12,398,7,77,4,182,472.2,375.0,0.2,0.1,0.1,6.4,376.0
240,240,1,1,2,1.0222,-27.36,0.0201,0.4019,3.58,-1.24,0,0,3.7,-2.24,0,0.0,0,0,,0,0,3,1252,0,0,0,0,0,0,660.0,660.0,0.2,0.1,0.1,10.083,716.0
241,241,1,1,2,1.0222,-27.357,0.0555,0.3014,1.79,-0.1963,0,0,1.6,-1.0,0,0.0,0,0,,0,0,3,155,12,258,4,15,4,108,388.2,350.0,0.2,0.1,0.1,12.55,358.0
244,244,1,1,2,1.11,-2.2656,0.0,0.0,2.2,0.1007,0,0,1.0,0.0,0,0.0,0,0,,0,0,3,232,12,398,8,123,4,182,472.2,425.0,0.2,0.1,0.1,10.577,440.00000000000006
254,254,1,1,2,1.1053,-24.325,-0.1153,1.1974,1.78,0.8,0,0,0.8,0.0,0,0.0,0,0,,0,0,3,155,12,258,4,15,4,108,388.2,350.0,0.2,0.1,0.1,12.55,356.0
267,267,1,1,2,1.0583,-18.518,0.0006,0.0,0.021,0.01,0,0,0.01,0.0,0,0.0,0,0,,0,0,3,120,12,209,7,14,0,0,5.0,3.2,0.1,0.05,0.05,2.04,4.2
268,268,1,1,2,1.0751,-10.605,0.1087,0.0251,0.021,0.01,0,0,0.01,0.0,0,0.0,0,0,,0,0,3,120,12,209,7,14,0,0,5.0,3.2,0.1,0.05,0.05,2.04,4.2
278,278,1,1,2,1.1154,-8.9578,0.0386,0.0161,0.0,0.0,0,0,0.05,0.0,0,0.0,0,0,,0,0,6,1225,12,765,0,0,8,1,100.0,0.0,0.2,0.1,0.1,2.99,0.0
279,279,1,1,2,1.1199,-10.325,0.0386,0.0161,0.0,0.0,0,0,0.05,0.0,0,0.0,0,0,,0,0,6,1225,12,765,0,0,8,1,100.0,0.0,0.2,0.1,0.1,2.99,0.0
295,295,1,1,2,1.0944,-25.729,0.0023,0.004,0.2,0.15,0,0,0.15,0.0,0,0.0,0,0,,0,0,3,111,12,246,8,99,4,86,47.06,40.0,0.2,0.1,0.1,7.5,40.0
310,310,1,1,2,1.0,3.2855,0.3384,0.4883,3.7,1.9,0,0,1.9,-0.19,0,0.0,0,0,,0,0,3,1252,0,0,0,0,0,0,660.0,660.0,0.2,0.1,0.1,10.083,740.0
316,316,1,1,2,1.0616,-25.096,0.0,-0.0002,0.0,0.0,0,0,0.04,0.0,0,0.0,0,0,,0,0,6,1225,12,765,0,0,8,1,100.0,0.0,0.2,0.1,0.1,2.99,0.0
376,376,1,1,2,1.1019,-26.418000000000003,0.1674,0.0,0.066,0.05,0,0,0.05,0.0,0,0.0,0,0,,0,0,3,185,12,314,7,1,2,58,15.625,12.5,0.2,0.1,0.1,5.1,13.200000000000001
379,379,1,1,2,1.1113,-8.5042,0.1902,0.0691,0.027000000000000003,0.03,0,0,0.03,0.0,0,0.0,0,0,,0,0,3,136,12,227,7,33,4,97,6.74,5.4,0.1,0.05,0.05,8.29222,5.4
383,383,1,1,2,1.1105,-8.6426,0.4945,0.1899,0.87,0.2,0,0,0.2,0.0,0,0.0,0,0,,0,0,3,1698,12,160,8,70,4,72,183.34,165.0,0.2,0.1,0.1,8.37,174.0
384,384,1,1,2,1.1174,-8.6734,0.3041,0.1276,1.1,0.3,0,0,0.3,0.0,0,0.0,0,0,,0,0,3,172,12,295,8,115,4,125,258.82,220.0,0.1,0.05,0.05,14.0014,220.00000000000003
385,385,1,1,2,1.1175,-9.6634,0.3041,0.1276,0.95,0.1222,0,0,0.3,0.0,0,0.0,0,0,,0,0,3,146,12,242,8,95,2,41,217.14,190.0,0.2,0.1,0.1,7.17,190.0
387,387,1,1,2,1.1113,-8.3358,0.325,0.1427,1.5,0.4,0,0,0.4,0.0,0,0.0,0,0,,0,0,3,215,12,367,9,4,4,168,388.235,300.0,0.2,0.1,0.1,5.272,300.0
388,388,1,1,2,1.1139,-8.8673,0.1389,0.0613,0.6,0.4,0,0,0.4,0.0,0,0.0,0,0,,0,0,3,30,12,44,8,8,4,23,155.5,120.0,0.2,0.1,0.1,8.2,120.0
399,399,1,1,2,1.1079999999999999,-8.6118,0.2113,0.0683,0.0275,0.03,0,0,0.03,0.0,0,0.0,0,0,,0,0,3,136,12,227,7,33,4,97,6.74,5.4,0.1,0.05,0.05,8.29222,5.5
433,433,1,1,2,1.0995,-26.579,0.1208,0.0362,0.0165,0.01,0,0,0.01,0.0,0,0.0,0,0,,0,0,3,120,12,209,7,14,0,0,5.0,3.2,0.1,0.05,0.05,2.04,3.3000000000000003
