ID,Par_No,SBASE,T1,T2,T3,T4,T5,Tp,Ts,Kp,Ki,Kd,Xt,Vmax,Vmin,ICMAX,ILMAX,Vstandby,Ks1,Ts7,Ts8,Ts9,Ap,Bp,Ts13,Ts14,Ts15,Ts16,Ks3,Vscsmax,Ierr,Ks2,Ts10,Ts11,Ts12,Vscsmin,Note
1,1,120.000000,0.022000,0.001000,0.001200,0.002000,0.002150,0.001000,0.005000,0.100000,20.000000,0.010000,0.150000,1.000000,-1.000000,1.000000,-1.000000,0.200000,0.000000,0.000000,0.000000,0.000000,0,1,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,
2,2,120.000000,0.000200,1.000000,1.000000,1.000000,1.000000,0.000000,0.006000,1.080000,50.000000,0.030000,0.120000,1.000000,-1.000000,1.300000,-1.300000,0.400000,0.000000,0.000000,0.000000,0.000000,0,1,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,
