ID,Par_No,SB_LIB,XD,XDP,XDPP,Xq,XqP,XqPP,X2,Ra,TD0P,TD0PP,Tq0P,Tq0PP,TJ,a,b,n,D_Sec,Note
664,664,0.0000,2.020000,0.230000,0.155000,2.020000,0.250000,0.155000,0.188800,0.000000,10.670000,0.082600,0.983000,0.082600,7.764000,0.900000,0.000000,9.000000,0.000000,_
665,665,0.0000,1.918000,0.284000,0.218000,1.867000,0.424000,0.217000,0.218000,0.000000,7.880000,0.046000,0.876000,0.070000,5.575000,0.900000,0.000000,9.000000,0.000000,_
666,666,0.0000,2.080800,0.300500,0.211800,2.080800,0.417300,0.211800,0.237700,0.002741,8.450000,0.047000,0.939000,0.066000,6.512000,0.900000,0.000000,9.000000,0.000000,_
667,667,0.0000,1.861000,0.227000,0.168000,1.814000,0.378000,0.166000,0.167000,0.000000,8.470000,0.045000,0.940000,0.079000,7.246000,0.900000,0.000000,9.000000,0.000000,_
668,668,0.0000,1.899000,0.219000,0.173000,1.774000,0.367000,0.183000,0.176000,0.000000,6.819000,0.022000,0.860000,0.036000,5.400000,0.900000,0.000000,9.000000,0.000000,_
669,669,0.0000,1.899000,0.219000,0.173000,1.774000,0.367000,0.183000,0.176000,0.000000,6.819000,0.022000,0.860000,0.036000,8.000000,0.900000,0.000000,9.000000,0.000000,_
670,670,0.0000,1.818200,0.219900,0.190300,1.615000,0.429000,0.191200,0.216000,0.000000,8.410000,0.041000,0.930000,0.077000,8.573000,0.900000,0.000000,9.000000,0.000000,_
671,671,0.0000,1.901100,0.276310,0.221800,1.830650,0.469820,0.219820,0.220810,0.000000,6.572000,0.042000,0.730000,0.074000,5.154000,0.900000,0.000000,9.000000,0.000000,_
672,672,0.0000,1.940400,0.247000,0.141800,2.000000,0.576000,0.167012,0.173000,0.000000,6.660000,0.030000,1.700000,0.050000,6.054000,0.900000,0.000000,9.000000,0.000000,_
673,673,0.0000,2.171400,0.265300,0.209305,2.111400,0.420600,0.193200,0.194600,0.000000,8.470000,0.045000,0.941000,0.075000,7.035000,0.900000,0.000000,9.000000,0.000000,_
674,674,0.0000,1.945000,0.236000,0.146000,2.000000,0.576000,0.167012,0.173000,0.000000,6.660000,0.030000,1.700000,0.050000,6.054000,0.900000,0.000000,9.000000,0.000000,_
675,675,0.0000,1.945000,0.240300,0.141300,2.000000,0.240300,0.141300,0.176200,0.000000,6.560000,0.030000,1.700000,0.050000,6.054000,0.900000,0.000000,9.000000,0.000000,_
676,676,0.0000,1.950200,0.243500,0.143500,2.000000,0.243500,0.143500,0.175300,0.000000,6.990000,0.030000,1.700000,0.050000,6.054000,0.900000,0.000000,9.000000,0.000000,_
677,677,0.0000,1.940600,0.245600,0.145600,1.995800,0.349300,0.151900,0.177800,0.000000,7.680000,0.030000,1.700000,0.050000,5.653000,0.900000,0.000000,9.000000,0.000000,_
678,678,0.0000,1.945000,0.242300,0.144400,2.000000,0.576000,0.167012,0.172300,0.000000,6.450000,0.030000,1.700000,0.050000,6.054000,0.900000,0.000000,9.000000,0.000000,_
679,679,0.0000,2.040200,0.282500,0.182000,2.040200,0.282500,0.182000,0.202200,0.000000,9.223000,0.052000,1.025000,0.052000,6.587000,0.900000,0.000000,9.000000,0.000000,_
680,680,0.0000,1.854800,0.256800,0.169300,1.854800,0.256800,0.169300,0.186700,0.000000,4.345000,0.050700,1.025000,0.050700,7.403000,0.900000,0.000000,9.000000,0.000000,_
681,681,0.0000,2.062000,0.243700,0.196600,1.777000,0.362200,0.176500,0.186570,0.000000,9.670000,0.040000,1.070000,0.069000,7.462000,0.900000,0.000000,9.000000,0.000000,_
682,682,0.0000,2.040000,0.283400,0.182000,2.040000,0.283400,0.182000,0.202200,0.000000,8.060000,0.124900,9.223000,0.052000,7.461970,0.900000,0.000000,9.000000,0.000000,_
683,683,0.0000,2.040000,0.283400,0.182000,2.040000,0.283400,0.182000,0.202200,0.000000,8.060000,0.124900,9.223000,0.052000,11.614090,0.900000,0.000000,9.000000,0.000000,_
684,684,0.0000,2.020000,0.230200,0.155000,2.020000,0.230200,0.155000,0.188800,0.000000,10.670000,0.082600,10.670000,0.082600,7.764000,0.900000,0.000000,9.000000,0.000000,_
685,685,0.0000,2.106000,0.255000,0.193000,2.202000,0.415000,0.207000,0.157000,0.000000,9.455000,0.023000,0.900000,0.034000,7.944000,0.900000,0.000000,9.000000,0.000000,_
686,686,0.0000,1.755000,0.306000,0.218000,1.628000,0.408000,0.235000,0.227000,0.000000,4.655000,0.039000,0.820000,0.065000,7.649000,0.900000,0.000000,9.000000,0.000000,_
687,687,0.0000,1.755000,0.306000,0.218000,1.628000,0.408000,0.235000,0.227000,0.000000,4.655000,0.039000,0.820000,0.065000,7.561000,0.900000,0.000000,9.000000,0.000000,_
688,688,0.0000,1.640000,0.236000,0.186000,2.000000,0.576000,0.167059,0.196800,0.000000,7.500000,0.030000,1.700000,0.050000,6.791000,0.900000,0.000000,9.000000,0.000000,_
689,689,0.0000,1.945000,0.258000,0.180000,1.900000,0.445000,0.176000,0.164000,0.000000,6.860000,0.048000,0.673000,0.088000,5.617000,0.900000,0.000000,9.000000,0.000000,_
690,690,0.0000,1.715400,0.239900,0.177700,1.715400,0.239900,0.177700,0.197000,0.000000,7.837000,0.156000,0.780000,0.156000,5.661000,0.900000,0.000000,9.000000,0.000000,_
691,691,0.0000,3.233000,0.451500,0.334500,3.150000,0.672000,0.327000,0.358040,0.004000,8.610000,0.045000,1.000000,0.069000,6.029400,0.900000,0.000000,9.000000,0.000000,_
692,692,0.0000,3.233000,0.451500,0.316800,3.150000,0.672000,0.327000,0.358040,0.004000,9.010000,0.045000,1.000000,0.069000,6.029400,0.900000,0.000000,9.000000,0.000000,_
693,693,0.0000,2.171400,0.263500,0.195900,2.115800,0.420600,0.193200,0.194600,0.000000,8.470000,0.041000,0.941000,0.075000,7.036000,0.900000,0.000000,9.000000,0.000000,_
694,694,0.0000,1.855000,0.226000,0.155800,1.855000,0.226000,0.155800,0.146900,0.000000,8.500000,0.030000,0.900000,0.050000,5.272000,0.900000,0.000000,9.000000,0.000000,___1-2
695,695,0.0000,1.920000,0.243000,0.184000,1.870000,0.397000,0.181000,0.182000,0.001995,8.600000,0.044000,0.956000,0.073000,8.797700,0.900000,0.000000,9.000000,0.000000,2017_11_1______
696,696,0.0000,1.920000,0.243000,0.184000,1.870000,0.397000,0.181000,0.182000,0.001995,10.440000,0.044000,0.956000,0.073000,8.797700,0.900000,0.000000,9.000000,0.000000,2017_11_1______
697,697,0.0000,1.920000,0.243000,0.184000,1.870000,0.397000,0.181000,0.177400,0.001995,8.610000,0.044000,0.956000,0.074000,9.439600,0.900000,0.000000,9.000000,0.000000,2017_11_1______
698,698,0.0000,1.920000,0.243000,0.184000,1.870000,0.397000,0.181000,0.177400,0.001945,8.610000,0.044000,0.956000,0.074000,9.155100,0.900000,0.000000,9.000000,0.000000,2017_11_1______
699,699,0.0000,1.896200,0.278600,0.198500,1.896200,0.278600,0.198500,0.220930,0.000000,8.150000,0.037500,0.890000,0.037500,6.390110,1.000000,0.121000,10.300000,0.000000,_
700,700,0.0000,2.125000,0.301000,0.223000,2.100000,0.448000,0.218000,0.238693,0.000000,8.610000,0.045000,0.960000,0.069000,5.600000,1.000000,0.161000,6.563900,0.000000,_
701,701,0.0000,2.125000,0.301000,0.223000,2.100000,0.448000,0.218000,0.238693,0.000000,8.700000,0.045000,0.960000,0.069000,5.600000,1.000000,0.154000,6.502900,0.000000,_
702,702,0.0000,2.125000,0.301000,0.223000,2.100000,0.448000,0.218000,0.238693,0.000000,8.680000,0.045000,0.960000,0.069000,5.600000,1.000000,0.161000,6.551500,0.000000,_
