ID,Par_No,TYPE1,TYPE2,TYPE3,T1,TR1,DB1,DB1MAX,DB1MIN,KW,T2,TR2,EP,DB2,DB2MAX,DB2MIN,T3,TR3,BP,DB3,DB3MAX,DB3MIN,KP,KD,KI,TD,INTMAX,INTMIN,PIDMAX,PIDMIN,YC,Tclose,Topen,VELC,VELO,PMAX,PMIN,TF,KP1,KD1,KI1,INTMAX1,INTMIN1,PIDMAX1,PIDMIN1,T4,Tw,Kwtype,At,Tr,YNL,DBWP,DBWN,pchoice,promax1,promin1,promax2,promin2,ratelimp,ratelimn,Note
33,33,0,1,0,0.010000,0.010000,0.010000,0.016000,-0.016000,1.000000,0.020000,0.020000,0.040000,0.000000,1.000000,-1.000000,0.020000,0.020000,0.040000,0.000000,1.000000,-1.000000,5.000000,3.000000,2.000000,0.060000,1.000000,-1.000000,1.000000,-1.000000,0.000000,18.500000,19.100000,-1.000000,1.000000,1.050000,-0.030000,0.020000,26.000000,0.000000,0.000000,0.200000,-0.200000,1.100000,-1.100000,0.000000,4.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,2,99999.900000,-99999.900000,99999.900000,-99999.900000,99999.900000,-99999.900000,2
34,34,0,1,1,0.020000,0.020000,0.001000,0.003000,-0.003000,2.000000,0.000000,0.000000,0.000000,0.000000,9999.000000,-9999.000000,0.000000,0.000000,0.040000,0.000000,9999.000000,-9999.000000,4.690000,0.000000,13.480000,0.100000,1.000000,-1.000000,1.000000,-1.000000,0.000000,1.970000,2.060000,-1.000000,1.000000,1.000000,-0.030000,0.020000,2.200000,0.000000,0.000000,1.000000,-1.000000,1.000000,-1.000000,1.400000,1.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,2,99999.900000,-99999.900000,99999.900000,-99999.900000,99999.900000,-99999.900000,2
35,35,0,1,1,0.020000,0.020000,0.001000,0.003000,-0.003000,2.000000,0.000000,0.000000,0.000000,0.000000,9999.000000,-9999.000000,0.000000,0.000000,0.040000,0.000000,9999.000000,-9999.000000,4.930000,0.000000,14.630000,0.100000,1.000000,-1.000000,1.000000,-1.000000,0.000000,5.915000,5.875000,-1.000000,1.000000,1.000000,-0.030000,0.020000,2.400000,0.000000,0.000000,1.000000,-1.000000,1.000000,-1.000000,1.400000,0.200000,0,0.000000,0.000000,0.000000,0.000000,0.000000,2,99999.900000,-99999.900000,99999.900000,-99999.900000,99999.900000,-99999.900000,2
36,36,0,1,0,0.020000,0.020000,0.000800,1.000000,-1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,99999.000000,-99999.000000,0.020000,0.020000,0.040000,0.000000,1.000000,-1.000000,5.000000,0.000000,5.000000,0.035000,1.100000,-1.100000,1.000000,0.000000,0.000000,24.700001,12.000000,-1.000000,1.000000,1.000000,-0.030000,0.020000,15.000000,0.000000,0.000000,0.120000,-0.120000,1.100000,-1.100000,0.100000,0.100000,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,99999.900000,-99999.900000,99999.900000,-99999.900000,99999.900000,-99999.900000,1
37,37,0,1,0,0.020000,0.020000,0.000800,1.000000,-1.000000,2.100000,0.000000,0.000000,0.000000,0.000000,99999.000000,-99999.000000,0.020000,0.020000,0.040000,0.000000,1.000000,-1.000000,5.000000,0.000000,5.000000,0.035000,1.100000,-1.100000,1.000000,0.000000,0.000000,26.000000,9.700000,-1.000000,1.000000,1.000000,-0.030000,0.020000,15.000000,0.000000,0.000000,0.120000,-0.120000,1.100000,-1.100000,0.100000,0.100000,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,99999.900000,-99999.900000,99999.900000,-99999.900000,99999.900000,-99999.900000,1
38,38,0,1,1,0.000000,0.020000,0.000800,0.004000,-0.004000,1.000000,0.000000,0.000000,0.000000,0.000000,9999.000000,-9999.000000,0.000000,0.000000,0.040000,0.000000,9999.000000,-9999.000000,5.000000,0.000000,6.250000,0.290000,1.100000,-1.100000,1.100000,-1.100000,0.000000,26.320000,20.000000,-1.000000,1.000000,1.100000,-0.030000,0.020000,62.000000,0.000000,0.000000,1.100000,-1.100000,1.100000,-1.100000,0.690000,1.100000,0,0.000000,0.000000,0.000000,0.000000,0.000000,2,99999.900000,-99999.900000,99999.900000,-99999.900000,99999.900000,-99999.900000,2
39,39,0,1,1,0.000000,0.020000,0.000000,0.004000,-0.004000,1.000000,0.000000,0.000000,0.000000,0.000000,9999.000000,-9999.000000,0.000000,0.000000,0.040000,0.000000,9999.000000,-9999.000000,20.000000,0.000000,4.000000,0.290000,1.100000,-1.100000,1.100000,-1.100000,0.000000,32.360001,32.540001,-1.000000,1.000000,1.100000,-0.030000,0.020000,62.000000,0.000000,0.000000,1.100000,-1.100000,1.100000,-1.100000,0.650000,1.100000,0,0.000000,0.000000,0.000000,0.000000,0.000000,2,99999.900000,-99999.900000,99999.900000,-99999.900000,99999.900000,-99999.900000,2
40,40,0,1,1,0.020000,0.020000,0.001000,0.003000,-0.003000,2.160000,0.000000,0.000000,0.000000,0.000000,9999.000000,-9999.000000,0.000000,0.000000,0.050000,0.000000,9999.000000,-9999.000000,4.000000,0.000000,3.500000,0.100000,1.000000,-1.000000,1.000000,-1.000000,0.000000,12.400000,14.710000,-1.000000,1.000000,1.000000,-0.030000,0.020000,3.000000,0.000000,0.000000,1.000000,-1.000000,1.000000,-1.000000,1.800000,0.500000,0,0.000000,0.000000,0.000000,0.000000,0.000000,2,99999.900000,-99999.900000,99999.900000,-99999.900000,99999.900000,-99999.900000,2
41,41,0,1,1,0.020000,0.020000,0.001000,0.003000,-0.003000,2.360000,0.000000,0.000000,0.000000,0.000000,9999.000000,-9999.000000,0.000000,0.000000,0.050000,0.000000,9999.000000,-9999.000000,4.000000,0.000000,7.000000,0.100000,1.000000,-1.000000,1.000000,-1.000000,0.000000,12.750000,14.120000,-1.000000,1.000000,1.000000,-0.030000,0.020000,15.000000,0.000000,0.000000,1.000000,-1.000000,1.000000,-1.000000,1.400000,1.600000,0,0.000000,0.000000,0.000000,0.000000,0.000000,2,99999.900000,-99999.900000,99999.900000,-99999.900000,99999.900000,-99999.900000,2
42,42,0,1,0,0.030000,0.030000,0.001000,0.003300,-0.003300,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.030000,0.030000,0.032550,0.000000,1.000000,-1.000000,10.740000,6.160000,3.560000,2.250000,1.060000,-1.060000,1.060000,-1.060000,0.000000,36.960000,36.960000,-1.000000,0.820000,1.060000,-1.060000,0.020000,100.000000,0.000000,0.000000,1.060000,-1.060000,1.060000,-1.060000,0.500000,3.200000,1,1.520000,0.000000,0.227276,0.000000,0.000000,1,9999.900000,-99999.900000,9999.900000,-99999.900000,9999.900000,-99999.900000,1
43,43,0,1,0,0.030000,0.030000,0.001000,0.003300,-0.003300,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.030000,0.030000,0.031100,0.000000,1.000000,-1.000000,10.740000,6.160000,3.560000,2.250000,1.060000,-1.060000,1.060000,-1.060000,0.000000,35.200000,35.200000,-1.000000,0.820000,1.060000,-1.060000,0.020000,100.000000,0.000000,0.000000,1.060000,-1.060000,1.060000,-1.060000,0.500000,3.200000,1,1.380000,0.000000,0.220197,0.000000,0.000000,1,9999.900000,-99999.900000,9999.900000,-99999.900000,9999.900000,-99999.900000,1
44,44,0,1,0,0.030000,0.030000,0.001000,0.003300,-0.003300,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.030000,0.030000,0.032250,0.000000,1.000000,-1.000000,10.740000,6.160000,3.560000,2.150000,1.060000,-1.060000,1.060000,-1.060000,0.000000,35.280000,35.280000,-1.000000,0.880000,1.060000,-1.060000,0.020000,100.000000,0.000000,0.000000,1.060000,-1.060000,1.060000,-1.060000,0.500000,3.200000,1,1.520000,0.000000,0.205218,0.000000,0.000000,1,9999.900000,-99999.900000,9999.900000,-99999.900000,9999.900000,-99999.900000,1
45,45,0,1,0,0.030000,0.030000,0.001000,0.003300,-0.003300,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.030000,0.030000,0.031950,0.000000,1.000000,-1.000000,10.740000,6.160000,3.560000,2.190000,1.060000,-1.060000,1.060000,-1.060000,0.000000,37.520000,38.120000,-1.000000,1.000000,1.060000,-1.060000,0.020000,100.000000,0.000000,0.000000,1.060000,-1.060000,1.060000,-1.060000,0.500000,3.200000,1,1.450000,0.000000,0.204076,0.000000,0.000000,1,9999.900000,-99999.900000,9999.900000,-99999.900000,9999.900000,-99999.900000,1
46,46,0,1,1,0.040000,0.040000,0.001000,0.004000,-0.004000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.039750,0.000000,1.000000,-1.000000,8.000000,1.000000,3.200000,1.105000,1.050000,-1.050000,1.050000,-1.050000,0.000000,14.940000,15.390000,-1.000000,1.000000,1.050000,-0.050000,0.020000,30.000000,0.000000,0.100000,1.050000,-1.050000,1.050000,-1.050000,1.300000,1.500000,1,1.360000,0.000000,0.193744,0.000000,0.000000,1,9999.900000,-99999.900000,9999.900000,-99999.900000,9999.900000,-99999.900000,1
47,47,0,1,1,0.040000,0.040000,0.001000,0.004000,-0.004000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.039850,0.000000,1.000000,-1.000000,8.000000,1.000000,3.200000,1.169000,1.050000,-1.050000,1.050000,-1.050000,0.000000,14.700000,15.540000,-1.000000,1.000000,1.050000,-0.050000,0.020000,30.000000,0.000000,0.100000,1.050000,-1.050000,1.050000,-1.050000,1.300000,1.500000,1,1.360000,0.000000,0.195280,0.000000,0.000000,1,9999.900000,-99999.900000,9999.900000,-99999.900000,9999.900000,-99999.900000,1
48,48,0,0,0,0.020000,0.020000,0.001000,0.002000,-0.002000,2.400000,0.400000,0.200000,0.040000,0.000000,1.000000,-1.000000,0.000000,0.000000,0.040000,0.000000,9999.000000,-9999.000000,12.000000,0.000000,2.800000,0.010000,1.100000,-1.100000,1.100000,-1.100000,0.000000,19.300000,19.300000,-1.000000,1.000000,1.100000,-0.030000,0.100000,45.000000,0.000000,0.000000,1.100000,-1.100000,1.100000,-1.100000,0.500000,1.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,2,9999.000000,-99999.900000,9999.000000,-99999.900000,9999.000000,-99999.900000,2
49,49,0,0,0,0.020000,0.020000,0.001000,0.002000,-0.002000,1.950000,1.000000,1.000000,0.040000,0.000000,1.000000,-1.000000,0.000000,0.000000,0.040000,0.000000,9999.000000,-9999.000000,10.000000,0.000000,2.000000,0.010000,1.100000,-1.100000,1.100000,-1.100000,0.000000,21.740000,16.580000,-1.000000,1.000000,1.100000,-0.030000,0.020000,65.000000,0.000000,0.000000,1.100000,-1.100000,1.100000,-1.100000,0.400000,1.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,2,9999.000000,-99999.900000,9999.000000,-99999.900000,9999.000000,-99999.900000,2
50,50,0,1,0,0.020000,0.020000,0.001000,0.004000,-0.004000,1.000000,0.000000,0.000000,0.000000,0.000000,9999.000000,-9999.000000,0.020000,0.020000,0.050000,0.000000,9999.000000,-9999.000000,3.000000,0.300000,0.400000,0.055000,1.100000,-1.100000,1.100000,-1.100000,0.000000,6.400000,17.049999,-1.000000,1.000000,1.100000,-0.030000,0.020000,60.000000,0.000000,0.000000,1.100000,-1.100000,1.100000,-1.100000,0.200000,2.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,2,99999.900000,-99999.900000,99999.900000,-99999.900000,99999.900000,-99999.900000,2
51,51,0,0,0,0.020000,0.020000,0.001000,0.002000,-0.002000,1.650000,1.000000,1.000000,0.040000,0.000000,1.000000,-1.000000,0.000000,0.000000,0.040000,0.000000,9999.000000,-9999.000000,12.000000,0.000000,1.800000,0.010000,1.100000,-1.100000,1.100000,-1.100000,0.000000,34.250000,17.000000,-1.000000,1.000000,1.100000,-0.030000,0.100000,55.000000,0.000000,0.000000,1.100000,-1.100000,1.100000,-1.100000,0.300000,1.200000,0,0.000000,0.000000,0.000000,0.000000,0.000000,2,9999.000000,-99999.900000,9999.000000,-99999.900000,9999.000000,-99999.900000,2
52,52,0,1,0,0.020000,0.020000,0.001000,0.004000,-0.004000,2.030000,0.000000,0.000000,0.000000,0.000000,9999.000000,-9999.000000,0.020000,0.020000,0.050000,0.000000,9999.000000,-9999.000000,3.000000,0.300000,0.600000,0.055000,1.100000,-1.100000,1.100000,-1.100000,0.000000,6.400000,17.049999,-1.100000,1.000000,1.100000,-0.030000,0.020000,68.000000,0.000000,0.000000,1.100000,-1.100000,1.100000,-1.100000,0.400000,2.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,2,99999.900000,-99999.900000,99999.900000,-99999.900000,99999.900000,-99999.900000,2
53,53,0,1,0,0.020000,0.020000,0.001000,0.002400,-0.002400,2.030000,0.000000,0.000000,0.000000,0.000000,9999.000000,-9999.000000,0.020000,0.020000,0.050000,0.000000,9999.000000,-9999.000000,6.000000,0.000000,9.000000,0.055000,1.100000,-1.100000,1.100000,-1.100000,0.000000,9.040000,12.400000,-0.650000,0.450000,1.100000,-0.030000,0.020000,7.500000,0.000000,0.000000,1.100000,-1.100000,1.100000,-1.100000,0.500000,2.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,2,99999.900000,-99999.900000,99999.900000,-99999.900000,99999.900000,-99999.900000,2
54,54,0,1,0,0.020000,0.020000,0.000800,0.004000,-0.004000,1.000000,0.000000,0.000000,0.000000,0.000000,9999.000000,-9999.000000,0.020000,0.020000,0.040000,0.000000,9999.000000,-9999.000000,6.000000,0.000000,6.000000,0.055000,1.100000,-1.100000,1.100000,-1.100000,0.000000,19.240000,17.490000,-1.000000,1.000000,1.100000,-0.030000,0.020000,50.000000,0.000000,0.000000,1.100000,-1.100000,1.100000,-1.100000,0.800000,2.600000,0,0.000000,0.000000,0.000000,0.000000,0.000000,2,99999.900000,-99999.900000,99999.900000,-99999.900000,99999.900000,-99999.900000,2
55,55,0,1,1,0.050000,0.020000,0.001000,0.040000,-0.040000,1.476000,0.000000,0.000000,0.000000,0.000000,9999.000000,-9999.000000,0.000000,0.000000,0.040000,0.000000,9999.000000,-9999.000000,4.000000,0.000000,16.500000,0.100000,1.000000,-1.000000,1.000000,-1.000000,0.000000,0.220000,0.200000,-0.017500,0.009800,1.000000,-0.050000,0.020000,1.000000,0.000000,0.000000,1.000000,-1.000000,1.000000,-1.000000,0.530000,1.700000,0,0.000000,0.000000,0.000000,0.000000,0.000000,2,99999.900000,-99999.900000,99999.900000,-99999.900000,99999.900000,-99999.900000,2
56,56,0,1,1,0.020000,0.020000,0.001000,0.002800,-0.002800,1.600000,0.000000,0.000000,0.000000,0.000000,9999.000000,-9999.000000,0.000000,0.000000,0.000000,0.000000,9999.000000,-9999.000000,25.000000,0.000000,0.000010,0.100000,1.000000,-1.000000,1.000000,-1.000000,0.000000,2.150000,2.150000,-0.162500,0.153500,1.000000,-0.050000,0.020000,1.000000,0.000000,0.000000,1.000000,-1.000000,1.000000,-1.000000,0.760000,1.400000,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,99999.900000,-99999.900000,99999.900000,-99999.900000,99999.900000,-99999.900000,1
57,57,0,1,1,0.020000,0.020000,0.001000,0.002400,-0.002400,1.608000,0.000000,0.000000,0.000000,0.000000,9999.000000,-9999.000000,0.000000,0.000000,0.000000,0.000000,9999.000000,-9999.000000,25.000000,0.000000,0.000010,0.100000,1.000000,-1.000000,1.000000,-1.000000,0.000000,0.850000,1.720000,-0.018000,0.034000,1.000000,-0.050000,0.020000,1.000000,0.000000,0.000000,1.000000,-1.000000,1.000000,-1.000000,0.850000,1.500000,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,99999.900000,-99999.900000,99999.900000,-99999.900000,99999.900000,-99999.900000,1
58,58,0,1,1,0.020000,0.020000,0.001000,1.000000,-1.000000,1.580000,0.000000,0.000000,0.000000,0.000000,9999.000000,-9999.000000,0.000000,0.000000,0.040000,0.000000,9999.000000,-9999.000000,4.000000,1.000000,5.000010,0.430000,1.000000,-1.000000,1.000000,-1.000000,0.000000,0.650000,0.350000,-0.049400,0.032000,1.000000,-0.050000,0.020000,1.000000,0.000000,0.000000,1.000000,-1.000000,1.000000,-1.000000,0.900000,1.100000,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,99999.900000,-99999.900000,99999.900000,-99999.900000,99999.900000,-99999.900000,1
59,59,0,1,1,0.040000,0.100000,0.001000,1.000000,-1.000000,1.490000,0.000000,0.000000,0.000000,0.000000,9999.000000,-9999.000000,0.000000,0.000000,0.030000,0.000000,9999.000000,-9999.000000,7.200000,0.180000,1.850000,0.200000,1.000000,-1.000000,1.000000,-1.000000,0.000000,0.150000,0.160000,-0.141600,0.104200,1.000000,-0.050000,0.020000,1.000000,0.000000,0.000000,1.000000,-1.000000,1.000000,-1.000000,0.160000,1.350000,0,0.000000,0.000000,0.000000,0.000000,0.000000,2,99999.900000,-99999.900000,99999.900000,-99999.900000,99999.900000,-99999.900000,2
60,60,0,1,0,0.020000,0.020000,0.001000,0.003600,-0.003600,1.385000,0.000000,0.000000,0.000000,0.000000,9999.000000,-9999.000000,0.000000,0.000000,0.040000,0.000000,1.000000,-1.000000,10.000000,0.000000,6.300000,0.050000,1.000000,-1.000000,1.000000,-1.000000,0.000000,13.300000,13.300000,-1.000000,0.380000,1.000000,-0.030000,0.020000,55.000000,0.000000,0.000000,1.000000,-1.000000,1.000000,-1.000000,0.160000,1.200000,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,99999.900000,-99999.900000,99999.900000,-99999.900000,99999.900000,-99999.900000,1
61,61,0,1,0,0.020000,0.020000,0.001000,0.003000,-0.003000,1.230000,0.000000,0.000000,0.000000,0.000000,9999.000000,-9999.000000,0.000000,0.000000,0.040000,0.000000,1.000000,-1.000000,10.000000,0.000000,6.300000,0.050000,1.000000,-1.000000,1.000000,-1.000000,0.000000,10.100000,10.100000,-1.000000,0.520000,1.000000,-0.030000,0.020000,45.000000,0.000000,0.000000,1.000000,-1.000000,1.000000,-1.000000,0.120000,1.200000,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,99999.900000,-99999.900000,99999.900000,-99999.900000,99999.900000,-99999.900000,1
62,62,0,1,0,0.020000,0.020000,0.001000,0.003360,-0.003600,1.145000,0.000000,0.000000,0.000000,0.000000,9999.000000,-9999.000000,0.000000,0.000000,0.040000,0.000000,1.000000,-1.000000,10.000000,0.000000,6.300000,0.052000,1.000000,-1.000000,1.000000,-1.000000,0.000000,9.970000,9.970000,-1.000000,0.572000,1.000000,-0.030000,0.020000,15.000000,0.000000,0.000000,1.000000,-1.000000,1.000000,-1.000000,0.360000,1.200000,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,99999.900000,-99999.900000,99999.900000,-99999.900000,99999.900000,-99999.900000,1
63,63,0,1,0,0.020000,0.020000,0.001000,0.003000,-0.003000,1.720000,0.000000,0.000000,0.000000,0.000000,9999.000000,-9999.000000,0.000000,0.000000,0.040000,0.000000,1.000000,-1.000000,10.000000,0.000000,6.300000,0.052000,1.000000,-1.000000,1.000000,-1.000000,0.000000,11.140000,11.140000,-1.000000,0.572000,1.000000,-0.030000,0.020000,18.000000,0.000000,0.000000,1.000000,-1.000000,1.000000,-1.000000,0.200000,0.800000,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,99999.900000,-99999.900000,99999.900000,-99999.900000,99999.900000,-99999.900000,1
64,64,0,1,0,0.020000,0.020000,0.001000,0.003400,-0.003400,1.380000,0.000000,0.000000,0.000000,0.000000,9999.000000,-9999.000000,0.000000,0.000000,0.040000,0.000000,1.000000,-1.000000,10.000000,0.000000,6.300000,0.052000,1.000000,-1.000000,1.000000,-1.000000,0.000000,9.610000,9.610000,-1.000000,0.560000,1.000000,-0.030000,0.020000,15.000000,0.000000,0.000000,1.000000,-1.000000,1.000000,-1.000000,0.400000,1.200000,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,99999.900000,-99999.900000,99999.900000,-99999.900000,99999.900000,-99999.900000,1
65,65,0,1,1,0.020000,0.020000,0.000800,0.004000,-0.004000,1.600000,0.000000,0.000000,0.000000,0.000000,9999.000000,-9999.000000,0.000000,0.000000,0.050000,0.000000,9999.000000,-9999.000000,20.000000,0.000000,0.000010,1.000000,1.000000,-1.000000,1.000000,-1.000000,0.000000,27.500000,14.130000,-1.000000,0.650000,1.000000,-0.030000,0.020000,35.000000,0.000000,0.000000,1.000000,-1.000000,1.000000,-1.000000,0.000000,0.600000,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,9999.900000,-99999.900000,99999.900000,-99999.900000,0.018000,-99999.900000,1
66,66,0,1,1,0.020000,0.020000,0.001000,0.002800,-0.002800,1.590000,0.000000,0.000000,0.000000,0.000000,9999.000000,-9999.000000,0.000000,0.000000,0.000000,0.000000,9999.000000,-9999.000000,33.300000,0.000000,0.000010,0.100000,1.000000,-1.000000,1.000000,-1.000000,0.000000,1.270000,1.570000,-0.113000,0.094000,1.000000,-0.050000,0.020000,1.000000,0.000000,0.000000,1.000000,-1.000000,1.000000,-1.000000,0.800000,1.840000,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,99999.900000,-99999.900000,99999.900000,-99999.900000,99999.900000,-99999.900000,1
67,67,0,1,1,0.020000,0.020000,0.000800,0.004000,-0.004000,1.720000,0.000000,0.000000,0.000000,0.000000,9999.000000,-9999.000000,0.000000,0.000000,0.030000,0.000000,9999.000000,-9999.000000,7.880000,0.000000,7.900000,0.200000,1.000000,-1.000000,1.000000,-1.000000,0.000000,0.600000,0.450000,-0.048600,0.048000,1.000000,-0.050000,0.020000,1.000000,0.000000,0.000000,1.000000,-1.000000,1.000000,-1.000000,1.150000,1.100000,0,0.000000,0.000000,0.000000,0.000000,0.000000,2,99999.900000,-99999.900000,99999.900000,-99999.900000,99999.900000,-99999.900000,2
68,68,0,1,0,0.020000,0.020000,0.001000,0.007500,-0.007500,0.800000,0.000000,0.000000,0.000000,0.000000,9999.000000,-9999.000000,0.000000,0.000000,0.060000,0.000000,9999.000000,-9999.000000,8.500000,0.000000,6.500000,0.060000,1.000000,-1.000000,1.000000,-1.000000,0.000000,5.320000,16.040000,-1.000000,1.000000,1.000000,-0.030000,0.070000,45.000000,0.000000,0.000000,1.000000,-1.000000,1.000000,-1.000000,1.800000,2.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,2,99999.900000,-99999.900000,99999.900000,-99999.900000,99999.900000,-99999.900000,2
69,69,0,1,1,0.020000,0.020000,0.004000,0.004800,-0.004800,1.700000,0.020000,0.020000,0.040000,0.000000,999.000000,-999.000000,0.020000,0.020000,0.040000,0.000000,9999.000000,-9999.000000,4.000000,0.000000,1.000000,0.035000,1.100000,-1.100000,1.100000,-1.100000,0.000000,5.470000,5.790000,-1.000000,1.000000,1.100000,-0.050000,0.020000,50.000000,0.000000,0.000000,1.100000,-1.100000,1.100000,-1.100000,0.270000,1.300000,0,0.000000,0.000000,0.000000,0.000000,0.000000,2,99999.900000,-99999.900000,99999.900000,-99999.900000,99999.900000,-99999.900000,2
70,70,0,1,1,0.020000,0.020000,0.004000,0.004800,-0.004800,2.000000,0.020000,0.020000,0.040000,0.000000,9999.000000,-9999.000000,0.020000,0.020000,0.040000,0.000000,9999.000000,-9999.000000,4.000000,0.000000,1.000000,0.035000,1.100000,-1.100000,1.100000,-1.100000,0.000000,5.100000,9.400000,-1.000000,1.000000,1.100000,-0.050000,0.020000,50.000000,0.000000,0.000000,1.100000,-1.100000,1.100000,-1.100000,0.320000,1.100000,0,0.000000,0.000000,0.000000,0.000000,0.000000,2,99999.900000,-99999.900000,99999.900000,-99999.900000,99999.900000,-99999.900000,2
71,71,0,1,1,0.020000,0.020000,0.004000,0.040000,-0.040000,2.300000,0.000000,0.000000,0.040000,0.000000,9999.000000,-9999.000000,0.000000,0.000000,0.040000,0.000000,9999.000000,-9999.000000,8.000000,0.000000,4.000000,0.000000,1.000000,-1.000000,1.000000,-1.000000,0.000000,7.690000,6.900000,-1.000000,1.000000,1.060000,0.050000,0.020000,8.000000,0.000000,0.000000,1.000000,-1.000000,1.000000,-1.000000,0.000000,0.200000,0,0.000000,0.000000,0.000000,0.000000,0.000000,2,99999.900000,-99999.900000,99999.900000,-99999.900000,99999.900000,-99999.900000,2
72,72,0,1,1,0.020000,0.020000,0.004000,0.040000,-0.040000,2.300000,0.000000,0.020000,0.040000,0.000000,1.000000,-1.000000,0.000000,0.000000,0.040000,0.000000,9999.000000,-9999.000000,2.000000,0.000000,2.004000,0.000000,1.000000,-1.000000,1.000000,-1.000000,0.000000,28.290000,28.130000,-1.000000,1.000000,1.060000,0.050000,0.020000,8.000000,0.000000,0.000000,1.000000,-1.000000,1.000000,-1.000000,0.000000,0.200000,0,0.000000,0.000000,0.000000,0.000000,0.000000,2,99999.900000,-99999.900000,99999.900000,-99999.900000,99999.900000,-99999.900000,2
73,73,0,1,1,0.030000,0.020000,0.001000,0.010000,-0.010000,1.000000,0.000000,0.000000,0.000000,0.000000,9999.000000,-9999.000000,0.000000,0.000000,0.040000,0.000000,9999.000000,-9999.000000,10.000000,2.000000,5.040000,0.033000,1.050000,0.000000,1.000000,-1.000000,0.000000,8.050000,10.550000,-1.000000,1.000000,1.060000,0.000000,0.020000,26.000000,0.000000,0.000000,1.000000,-1.000000,1.000000,-1.000000,0.000000,2.600000,0,0.000000,0.000000,0.000000,0.000000,0.000000,2,99999.900000,-99999.900000,99999.900000,-99999.900000,99999.900000,-99999.900000,2
