ID,Par_No,Im,Isc,Vm,Voc,Smax,Smin,Kiv,Kv,Tv,Ki2,Ki,Ti,Kpwm,TL,Imax,Imin,KF,TC,Amax,Amin,site,T,V1,V2,V3,V4,TV1,TV2,TV3,TV4,TvBACK,f1,f2,f3,f4,Tf1,Tf2,Tf3,Tf4,Tfback,I1,I2,Ti1,Ti2,Ti3,Tiback,V21,V22,Te1,Te2,Teback,Tback,Vtbase,isprct,Note
1,1,13.740000,14.980000,348.000000,444.200000,1000.000000,0.000000,0.100000,0.500000,0.200000,10.000000,2.000000,0.010000,0.010000,0.100000,10.000000,-10.000000,1.000000,0.500000,0.200000,-0.200000,1.000000,25.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,0,__9_
2,2,13.740000,14.980000,348.000000,444.200000,1000.000000,0.000000,0.000000,0.500000,0.200000,10.000000,2.000000,0.010000,0.010000,0.100000,10.000000,-10.000000,1.000000,0.500000,0.200000,-0.200000,1.000000,25.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.270000,0,_____
