ID,Par_No,xc_modul,tr_measure,k_dcplus,kv_integ,t1_series,t2_series,t3_series,t4_series,ka_amplify,ta_amplify,vamax,vamin,kf_paral,tf_paral,vrmax,vrmin,kc_load,Vs_POS,R_MODEL,vmax1,vmin1,vmax2,vmin2,lelocation,lemodel,leparno,oelocation,oemodel,oeparno,oilocation,oimodel,oiparno,Note
29,29,-0.02,0.02,44,1,1,6.56,0.1,0.1,5.63,0.01,10,-10,0,1,5.24,-4.42,0.042,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,____#1
30,30,-0.02,0.02,44,1,1,6.56,0.1,0.1,5.66,0.02,10,-10,0,1,5.26,-4.35,0.042,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,____#2
31,31,0.03,0.02,18,0,3,3,0.1,0.1,1,0.01,7.42,-5.74,0,1,6.28,-4.81,0.042,1,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,___1_
32,32,0,0.02,18,0,3,3,0.1,0.1,1,0.01,7.42,-5.74,0,1,6.19,-4.47,0.042,1,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,12__#2
33,33,0.03,0.02,18,0,3,3,0.1,0.1,1,0.01,7.42,-5.74,0,1,6.3,-4.83,0.042,1,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,___3_
34,34,0.05,0.02,16,0,2.5,1,0.02,0.05,1,0.02,20,-20,0,1,5.2,-3.9,0.045,0,0,9999.9,-9999.9,9999.9,-9999.9,2,2,3,0,0,0,0,0,0,__
35,35,-0.03,0.02,180,1,1,5.37,0.1,0.1,1,0.02,10,-10,0,1,4.72,-3.97,0.068,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,__#1
36,36,-0.03,0.02,180,1,0.1,0.1,1,5.37,1,0.02,10,-10,0,1,4.85,-3.96,0.068,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,__#1#2
37,37,-0.03,0.02,180,1,0.1,0.1,1,5.37,1,0.02,10,-10,0,1,4.71,-3.92,0.068,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,___G3_
38,38,0.06,0.02,200,1,1,1,1,4,1,0.02,20,-20,0,1,5.7,-4.7,0.06,0,0,9999.9,-9999.9,9999.9,-9999.9,2,2,4,0,0,0,0,0,0,_____
39,39,0.04,0.02,270,1,2,2,1,8,1,0.02,20,-20,0,1,4.9,-4.3,0.05,0,0,9999.9,-9999.9,9999.9,-9999.9,2,2,5,0,0,0,0,0,0,_____
40,40,0,0.02,200,1,0.1,0.1,1,4,1,0.02,20,-20,0,1,5.2,-3.6,0.07,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,___
41,41,0,0.02,200,1,0.1,0.1,1,4,1,0.02,20,-20,0,1,5.8,-4,0.055,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,____
42,42,0,0.02,500,1,1,10,0.02,0.02,1,0.003,10,-10,0,1,8.96,-8.03,0.0915,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,___61_
43,43,-0.05,0.02,500,1,1,10,0.02,0.02,1,0.003,10,-10,0,1,7,-4.4,0.0911,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,___62_
44,44,0,0.02,300,1,1,1,1,6.67,1,0.02,20,-20,0,1,6.1,-5.5,0.069,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,____
45,45,0,0.02,150,1,1,4,0.1,0.2,1,0.02,20,-20,0,1,6.2,-4.3,0.67,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,_____
46,46,0,0.02,350,1,1,2,0.1,0.1,1,0.01,10,-8.5,0,1,6.25,-5.51,0.0796,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,__#1
47,47,0.05,0.02,360,1,1,1,1,7.61,1,0.02,20,-20,0,1,5.7,-4.7,0.043,0,0,9999.9,-9999.9,9999.9,-9999.9,2,2,6,0,0,0,0,0,0,_____
48,48,-0.06,0.02,300,1,1,1,1,7.31,1,0.02,20,-20,0,1,6,-5.1,0.067,0,0,9999.9,-9999.9,9999.9,-9999.9,2,2,7,0,0,0,0,0,0,_____
49,49,0,0.02,150,1,1,1,2,8,1,0.02,20,-20,0,1,6,-4.5,0.06,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,_____
50,50,0,0.02,41,0,11.67,11.67,0.01,0.01,1,0.01,7.42,-5.4,0,1,5.25,-4.03,0.066,0,0,1000000,-1000000,0,0,0,0,0,0,0,0,0,0,0,0
51,51,-0.05,0.02,20,0,3,1,0.1,0.1,1,0.02,10,-10,0,1,6.01,-5.26,0.1008,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,27
52,52,-0.05,0.02,20,0,3,1,0.1,0.1,1,0.02,10,-10,0,1,6.06,-5.11,0.1,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,___#2
53,53,-0.05,0.02,20,0,3,1,0.1,0.1,1.1,0.02,10,-10,0,1,6.5,-5.7,0.1006,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,___#3
54,54,-0.05,0.02,20,0,3,1,0.1,0.1,1.2,0.02,10,-10,0,1,6.15,-5.4,0.1006,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,___#4
55,55,-0.05,0.02,20,0,3,1,0.1,0.1,1,0.02,10,-10,0,1,6.74,-5.92,0.1,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,___#5
56,56,0,0.02,20,0,3,1,0.1,0.1,1,0.02,10,-10,0,1,6.41,-5.41,0.101,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,___#6
57,57,-0.05,0.02,20,0,3,1,0.1,0.1,1,0.02,10,-10,0,1,5.79,-5.16,0.095,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,___#7
58,58,0,0.02,20,0,3,1,0.1,0.1,1,0.02,10,-10,0,1,6.08,-5.19,0.095,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,___#8
59,59,-0.05,0.02,20,0,3,1,0.1,0.1,1,0.02,10,-10,0,1,5.9,-4.86,0.095,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,___#9
60,60,0.045,0.02,8.3,0,3.5,1,0.1,0.1,1,0.02,10,-10,0,1,5.14,-3.44,0.059,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,_____
61,61,0.045,0.02,8.3,0,3.5,1,0.1,0.1,1,0.02,10,-10,0,1,5.18,-3.45,0.059,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,_____
62,62,-0.03,0.02,47.279999,0,1.5,1,0.01,0.01,1,0.01,5.91,-5.24,0,1,4.8491,-4.6661,0.10132,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,___#5
63,63,-0.03,0.02,45.903999,0,1.5,1,0.1,0.1,1,0.01,5.738,-5.087,0,1,4.415,-4.556,0.101,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,___#6
64,64,-0.03,0.02,37.529999,0,1.5,1,0.01,0.01,1,0.01,5.629,-4.991,0,1,4.786,-4.227,0.101,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,___#7
65,65,-0.03,0.02,45.84,0,1.5,1,0.01,0.01,1,0.01,5.734,-5.084,0,1,5.317,-4.659,0.101,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,___#8
66,66,-0.03,0.02,52.990002,0,1.5,1,0.1,0.1,1,0.01,6.629,-5.878,0,1,5.823,-4.95,0.102,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,___#1
67,67,-0.03,0.02,51.75,0,1.5,1,0.1,0.1,1,0.01,6.4688,-5.7359,0,1,6.075,-5.343,0.1022,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,___#2
68,68,-0.03,0.02,55.220001,0,1.5,1,0.1,0.1,1,0.01,6.902,-6.12,0,1,6.18,-5.46,0.102,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,___#3
69,69,-0.03,0.02,51.75,0,1.5,1,0.1,0.1,1,0.01,6.4688,-5.7359,0,1,5.203,-4.706,0.1016,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,24_25___
70,70,0,0.02,48,1,1,1,1,4,4,0.01,10,-10,0,1,5.82,-4.2,0.04,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,_____
71,71,0,0.01,22,1,1,4,0.01,0.01,6.66,0.01,10,-10,0,1,5.22,-4.37,0.04,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,12___#1
