ID,Par_No,T1,TR1,DB1P,DB1N,MAX1,MIN1,Rti1,Rtd1,mode,T2,TR2,EP,DB2,MAX2,MIN2,Rti2,Rtd2,Kp1,Ki1,Kd1,Td1,Intmax1,Intmin1,Pidmax1,Pidmin1,NMC,NPA,T3,TR3,BP,DB3,MAX3,MIN3,Kp2,Ki2,Kd2,Td2,INTMAX2,INTMIN2,PIDMAX2,PIDMIN2,KW,wcp,wcn,Dbip,Dbin,Tdy1,Tdy2,Maxi,Mini,Kpi,Kii,Kdi,bpi,Kp,Kd,Ki,Intmax,Intmin,Pidmax,Pidmin,Tc,Topen,Tf,Tdy,VELC,VELO,PMAX,PMIN,Y1,Q1,Y2,Q2,Y3,Q3,A,B,Tw,Rti0,Rtd0,Dp1,Dp2,Tqm,Kp3,Ki3,Kd3,Td3,DBhp,T4,Note
146,146,0.020000,0.020000,0.001000,-0.001000,0.004000,-0.004000,999.000000,-999.000000,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2,2,0.000000,0.000000,0.040000,0.000000,1.000000,-1.000000,1.000000,0.000000,0.000000,0.100000,1.000000,-1.000000,1.100000,-1.100000,25.000000,999.000000,-999.000000,999.000000,-999.000000,0.300000,999.000000,0.020000,-0.020000,2.000000,0.200000,0.200000,0.040000,23.900000,0.000000,0.000000,1.000000,-1.000000,1.000000,-1.000000,17.500000,17.500000,0.000000,1.084000,-1.000000,0.805000,1.000000,0.000000,0.300000,0.300000,0.700000,0.500000,1.000000,1.000000,0.550000,1.470000,1.640000,999.000000,-999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,_
147,147,0.020000,0.020000,0.001000,-0.001000,0.004000,-0.004000,999.000000,-999.000000,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2,2,0.000000,0.000000,0.040000,0.000000,1.000000,-1.000000,1.000000,0.000000,0.000000,0.100000,1.000000,-1.000000,1.100000,-1.100000,25.000000,999.000000,-999.000000,999.000000,-999.000000,0.300000,999.000000,0.020000,-0.020000,2.000000,0.200000,0.200000,0.040000,28.900000,0.000000,0.000000,1.000000,-1.000000,1.000000,-1.000000,17.350000,17.350000,0.000000,0.921000,-1.000000,0.805000,1.000000,0.000000,0.300000,0.300000,0.700000,0.540000,1.000000,1.000000,0.550000,1.470000,1.640000,999.000000,-999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,_
148,148,0.020000,0.020000,0.001000,-0.001000,0.004000,-0.004000,999.000000,-999.000000,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2,2,0.000000,0.000000,0.040000,0.000000,1.000000,-1.000000,8.000000,10.000000,0.000000,0.100000,1.000000,-1.000000,1.000000,-1.000000,1.000000,999.000000,-999.000000,999.000000,-999.000000,0.300000,999.000000,0.020000,-0.020000,2.000000,0.200000,0.200000,0.040000,60.000000,0.000000,0.000000,1.000000,-1.000000,1.000000,-1.000000,13.200000,13.200000,0.000000,0.368000,-1.000000,0.685000,1.000000,0.000000,0.300000,0.300000,0.700000,0.533000,1.000000,1.000000,0.870000,3.250000,1.000000,999.000000,-999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,_
149,149,0.020000,0.020000,0.001000,-0.001000,0.004000,-0.004000,999.000000,-999.000000,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2,2,0.000000,0.000000,0.040000,0.000000,1.000000,-1.000000,8.000000,10.000000,0.000000,0.100000,1.000000,-1.000000,1.000000,-1.000000,1.000000,999.000000,-999.000000,999.000000,-999.000000,0.300000,999.000000,0.020000,-0.020000,2.000000,0.200000,0.200000,0.040000,70.000000,0.000000,0.000000,1.000000,-1.000000,1.000000,-1.000000,11.140000,11.140000,0.000000,0.534000,-1.000000,0.610000,1.000000,0.000000,0.300000,0.300000,0.700000,0.500000,1.000000,1.000000,0.609000,2.027000,1.000000,999.000000,-999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,_
150,150,0.020000,0.020000,0.001000,-0.001000,0.004000,-0.004000,999.000000,-999.000000,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2,2,0.000000,0.000000,0.040000,0.000000,1.000000,-1.000000,8.000000,10.000000,0.000000,0.100000,1.000000,-1.000000,1.000000,-1.000000,1.000000,999.000000,-999.000000,999.000000,-999.000000,0.300000,999.000000,0.020000,-0.020000,2.000000,0.200000,0.200000,0.040000,70.000000,0.000000,0.000000,1.000000,-1.000000,1.000000,-1.000000,11.500000,11.500000,0.000000,0.412000,-1.000000,0.590000,1.000000,0.000000,0.300000,0.300000,0.700000,0.532000,1.000000,1.000000,0.650000,3.000000,1.000000,999.000000,-999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,_
151,151,0.020000,0.020000,0.001000,-0.001000,0.010000,-0.010000,9999.900000,-9999.900000,2,0.600000,0.300000,0.040000,0.000000,9999.900000,-9999.900000,9999.900000,-9999.900000,0.250000,0.080000,0.000000,0.060000,1.100000,-1.100000,1.100000,-1.100000,2,2,0.800000,0.020000,0.040210,0.000000,1.000000,-1.000000,10.000000,12.000000,0.000000,0.000000,1.100000,-1.100000,1.100000,-1.100000,1.000000,999.000000,-999.000000,999.000000,-999.000000,0.300000,9999.000000,0.020000,-0.020000,2.000000,0.200000,0.200000,0.040000,8.360000,0.000000,0.000000,1.100000,-1.100000,1.100000,-1.100000,9.860000,19.720000,0.000000,0.620000,-1.000000,0.518000,1.000000,0.000000,0.300000,0.300000,0.700000,0.570000,1.000000,1.000000,1.000000,0.500000,0.670000,9999.900000,-9999.900000,999.000000,999.000000,0.010000,0.250000,0.080000,0.000000,0.060000,0.000000,0.000000,__#4_______________
152,152,0.020000,0.020000,0.001000,-0.001000,0.004000,-0.004000,9999.000000,-9999.000000,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2,2,0.020000,0.020000,0.030000,0.000000,9999.000000,-9999.000000,12.000000,11.000000,0.000000,0.000000,1.100000,-1.100000,1.100000,-1.100000,1.390000,9999.000000,-9999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,120.000000,0.000000,0.000000,1.100000,-1.100000,1.100000,-1.100000,8.880000,8.880000,0.020000,0.100000,-1.000000,0.802000,1.100000,-0.030000,0.100000,0.100000,0.800000,0.800000,1.100000,1.100000,1.000000,0.500000,0.200000,9999.000000,-9999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002000,0.000000,
153,153,0.020000,0.020000,0.001000,-0.001000,0.004000,-0.004000,9999.000000,-9999.000000,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2,2,0.020000,0.020000,0.030000,0.000000,9999.000000,-9999.000000,12.000000,10.000000,0.000000,0.000000,1.100000,-1.100000,1.100000,-1.100000,1.540000,9999.000000,-9999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,120.000000,0.000000,0.000000,1.100000,-1.100000,1.100000,-1.100000,9.430000,9.430000,0.020000,0.100000,-1.000000,0.739000,1.100000,-0.030000,0.100000,0.100000,0.800000,0.800000,1.100000,1.100000,1.000000,0.500000,0.200000,9999.000000,-9999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002000,0.000000,
154,154,0.050000,0.050000,0.000700,-0.000700,9999.000000,-9999.000000,9999.000000,-9999.000000,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1,0.200000,0.020000,0.030000,0.000000,1.100000,-1.100000,8.000000,9.000000,0.000000,0.000000,1.100000,-1.100000,1.100000,-1.100000,1.000000,0.010000,-0.010000,9999.000000,-9999.000000,9999.000000,9999.000000,9999.000000,-9999.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.100000,-1.100000,1.100000,-1.100000,0.260000,0.250000,0.020000,0.830000,-0.067600,0.044560,1.100000,-0.050000,0.300000,0.050000,0.690600,0.781400,0.910000,1.100000,0.440000,0.800000,1.810000,9999.000000,-9999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,_____2018.7.7______XDY/FW-SD-0406-02-2018________
155,155,0.100000,0.060000,0.000600,-0.000600,9999.000000,-9999.000000,9999.000000,-9999.000000,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1,0.140000,0.020000,0.030000,0.000000,1.100000,-1.100000,8.000000,8.000000,0.000000,0.580000,1.100000,-1.100000,1.100000,-1.100000,1.520000,9999.000000,-9999.000000,9999.000000,-9999.000000,9999.000000,9999.000000,9999.000000,-9999.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.100000,-1.100000,1.100000,-1.100000,0.400000,0.350000,0.020000,0.650000,-0.026900,0.019800,1.100000,-0.050000,0.100000,0.100000,0.750000,0.750000,1.100000,1.100000,0.600000,1.500000,1.600000,9999.000000,-9999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,_____2018.7.9______XDY/FW-SD-0405-02-2018_________
