ID,Par_No,SB_LIB,XD,XDP,XDPP,Xq,XqP,XqPP,X2,Ra,TD0P,TD0PP,Tq0P,Tq0PP,TJ,a,b,n,D_Sec,Note
827,827,0,1.073,0.254,0.192,0.554,0.554,0.2,0.197,0,6.5,0.07,0,0.31,9.3,1,0.10269,7.1,0,_____13
828,828,0,2.023,0.277,0.192,2.023,0,0.192,0.234,0,7.157,0.0505,0.9,0.1,4.25,1,0.0256,9.39,0,__#5
829,829,0,1,0.285,0.201,0.604,0.554,0.2,0.136,0,6.5,0.022,0.86,0.036,6.85,1,0.126,6.992,0.05,_-80  Xd_________100 ___
830,830,0,2.186,0.229,0.194,2.047,0.33,0.131,0.176,0,9.843,0.022,0.86,0.036,6.33,1,0.1046,9.654,0.05,_____Xd_Xd
831,831,0,2.155,0.301,0.223,2.1,0.448,0.218,0.224,0.001701,8.61,0.045,0.956,0.067,5.918,0.9643,0.03567,8.8573,0,____#1
832,832,0,1.953,0.2305,0.1527,1.802,0.45,0.232,0.1863,0,8.375,0.2,0,1.85,9.627,0.9,0.068,9,0,_____300
833,833,0,1.787,0.249,0.171,1.787,0.249,0.171,0.2086,0.0025,6.98,0.179,0.9,0.153,4.35,1,0.1124,7.63,0,_1-2-4-_
834,834,0,1.628,0.228,0.1577,1.628,0.228,0.1577,0.0754,0.00243,6.93,0.1749,0.9,0.15,4.309,1,0.07,9,0,_3-5-6
835,835,0,1.107,0.236,0.1944,0.64,0.64,0.276,0.2315,0,6.99,0.376,0,0.169,7.47,1,0.106,5.98,0.05,_-80
836,836,0,0.934,0.294,0.1966,0.566,0.566,0.208,0.202,0,6.9,0.0659,0,0.175,4.4497,1,0,2,0,___13J_
837,837,0,0.845,0.309,0.1938,0.52,0.52,0.1956,0.1947,0,3.58,0.069,0,0.053,4.5,1,0,2,0,___4J-_
838,838,0,0.95,0.223,0.156,0.578,0.578,0.172,0.164,0,2.3,0.035,0,0.027,4.4449,1,0,2,0,___1-4_
839,839,0,1.86,0.185,0.1234,1.86,1.86,0.116,0.151,0,11.22,0.225,0.9,2.47,7.12,1,0,2,0,__#78J-__
840,840,0,1.096,0.263,0.185,0.671,0.617,0.203,0.194,0,5.064,0.047,0.138,0.138,2.3968,1,0,2,0,___-__
841,841,0,1.058,0.314,0.243,0.804,0.804,0.24,0.242,0,11.034,0.04,0,0.06,9.68,1,0.1622,6.88642,0,___#1_
842,842,0,1.058,0.314,0.243,0.804,0.804,0.24,0.242,0,12.804,0.04,0,0.06,9.68,1,0.151,6.85611,0,___#2_
843,843,0,1.058,0.314,0.243,0.804,0.804,0.24,0.242,0,11.9,0.04,0,0.06,9.68,1,0.154,7.60001,0,___#3_
844,844,0,1.058,0.314,0.243,0.804,0.804,0.24,0.242,0,12.197,0.04,0,0.06,9.68,1,0.1563,6.77315,0,___#5_
845,845,0,1.915,0.335,0.237,1.776,0.445,0.256,0.2473,0,4.7,0.039,4.7,0.039,1.85,0.9,0.068,9,0,____#1_2_3
846,846,0,1.89,0.24,0.2,1.89,0.4,0.2,0.19032,0,8,0.07,1,0.11,6.821,1,0.131,9.2284,0,___1000_
847,847,0,2.186,0.229,0.172,1.524,0.3437,0.1596,0.1611,0.006934,9.843,0.022,0.67,0.075,6.13,1,0.04815,11.5,0,____#12
848,848,0,2.186,0.229,0.172,1.524,0.3437,0.1596,0.1611,0.006901,9.843,0.022,0.67,0.075,6.13,1,0.04815,11.5,0,_________16:11:46: Fatal: Gen. _____G1 Xq =  0.000000016:11:46: Fatal: Gen. _____G1 Td0 =  0.0000000
849,849,0,0.8714,0.2903,0.2001,0.6208,0,0,0.2062,0,4.628,0,0,0,4.8,1,0.09,9,0,___1-2
850,850,0,1.03,0.23,0.152,0.613,0.627,0.187,0.182,0,7.56,0.344,0.129,0.129,6.6,1,0.1316,6.9,0.01,___#1-3
851,851,0,1.03,0.23,0.152,0.613,0.627,0.187,0.182,0,7.56,0.344,0.129,0.129,6.6,1,0.1316,6.9,0.05,___#1-3
852,852,0,1.05,0.32,0.176,0.67,0,0.17,0.177,0,4.94,0.0822,0,0.3178,4.8,1,0.09,9,0,___1-2
853,853,0,1.01,0.271,0.2015,0.554,0.554,0.2,0.197,0,6.5,0.07,0,0.31,9.7,1,0.1026,7.1,0,_-80
854,854,0,1.0469,0.236,0.2018,0.6348,0.6348,0.2098,0.1906,0,6.9,0.0496,0.0995,0.0313,5.981,1,0.1354,6.2886,0.05,_____13
855,855,0,1,0.285,0.201,0.604,0.285,0.201,0.189,0,7.596,0.022,0.86,0.036,7.46,1,0.1261,6.992,0.05,__123
856,856,0,1.565,0.1978,0.1606,1.524,0.3437,0.1596,0.1611,0.004439,5.99,0.043,0.67,0.075,7.579,1,0.04815,11.5,0.05,__#1-#2
857,857,0,2.14,0.2529,0.1651,1.9942,0.4039,0.1823,0.2014,0,10.23,0.044,0.956,0.074,9.1,1,0.069,7.05212,0,__#1
858,858,0,2.0808,0.3005,0.2118,2.0808,0.4149,0.2118,0.2584,0.002734,8.45,0.047,0.939,0.066,5.946,1,0.184,8.57365,0,____#1
859,859,0,2.0808,0.3005,0.2118,2.08,0.4149,0.2118,0.2584,0.002734,8.45,0.047,0.939,0.066,5.946,1,0.184,8.57365,0,____#3
860,860,0,1.903,0.28,0.223,1.86,0.462,0.231,0.182,0.002026,5.207,0.019,0.599,0.03,5.42,0.9643,0.03567,8.8573,0,____#1
861,861,0,1.056,0.258,0.1637,0.653,0.601,0.1564,0.159,0,11.81,0.0718,0.129,0.129,6.02,1,0.1936,7.543,0.05,___#1-3
862,862,0,1.9,0.28,0.223,1.86,0.462,0.231,0.224,0,5.207,0.019,0.599,0.03,3.394,0.9643,0.03567,8.8573,0,____#1
863,863,0,1.75,0.306,0.218,1.628,0.45,0.235,0.227,0,4.7,0.039,0,1.85,9.627,0.9,0.068,9,0,___#1
864,864,0,2.1,0.24,0.229,2.1,0.24,0.131,0.187,0,5.3,0.022,0.86,0.036,6.92,1,0.123,7.2,0.05,___1-2
865,865,0,2.1,0.24,0.229,2.1,0.24,0.131,0.187,0,5.3,0.022,0.86,0.036,6.92,1,0.123,7.2,0,___1-2
