ID,Par_No,xc_modul,tr_measure,k_dcplus,kv_integ,t1_series,t2_series,t3_series,t4_series,ka_amplify,ta_amplify,vamax,vamin,kf_paral,tf_paral,vrmax,vrmin,kc_load,Vs_POS,R_MODEL,vmax1,vmin1,vmax2,vmin2,lelocation,lemodel,leparno,oelocation,oemodel,oeparno,oilocation,oimodel,oiparno,Note
22,22,0.000000,0.010000,330.000000,1.000000,0.500000,2.500000,0.180000,0.020000,1.000000,0.010000,10.000000,-10.000000,0.000000,1.000000,5.420000,-3.940000,0.063000,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,12__#2
23,23,0.050000,0.020000,20.000000,0.000000,1.600000,1.000000,0.010000,0.010000,1.000000,0.020000,20.000000,-20.000000,0.000000,1.000000,4.300000,-4.000000,0.040000,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,2,2,2,0,0,0,0,0,0,_____
24,24,0.000000,0.023000,220.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.010000,10.000000,-10.000000,0.000000,1.000000,5.690000,-4.720000,0.065000,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,_____________________-170512
25,25,-0.010000,0.023000,220.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.010000,10.000000,-10.000000,0.000000,1.000000,5.690000,-4.720000,0.065000,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,_____________________-170512
26,26,0.010000,0.023000,220.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.010000,10.000000,-10.000000,0.000000,1.000000,5.690000,-4.720000,0.065000,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,_____________________-170512
27,27,0.050000,0.020000,40.000000,0.000000,0.500000,1.000000,1.000000,1.000000,1.000000,0.020000,10.000000,-10.000000,0.000000,1.000000,2.990000,-1.710000,0.035000,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,____#3
28,28,0.050000,0.020000,40.000000,0.000000,0.500000,1.000000,1.000000,1.000000,1.000000,0.020000,10.000000,-10.000000,0.000000,1.000000,3.010000,-1.830000,0.035000,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,____#3
29,29,-0.020000,0.020000,44.000000,1.000000,1.000000,6.560000,0.100000,0.100000,5.630000,0.010000,10.000000,-10.000000,0.000000,1.000000,5.240000,-4.420000,0.042000,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,____#1
30,30,-0.020000,0.020000,44.000000,1.000000,1.000000,6.560000,0.100000,0.100000,5.660000,0.020000,10.000000,-10.000000,0.000000,1.000000,5.260000,-4.350000,0.042000,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,____#2
31,31,0.030000,0.020000,18.000000,0.000000,3.000000,3.000000,0.100000,0.100000,1.000000,0.010000,7.420000,-5.740000,0.000000,1.000000,6.280000,-4.810000,0.042000,1,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,___1_
32,32,0.000000,0.020000,18.000000,0.000000,3.000000,3.000000,0.100000,0.100000,1.000000,0.010000,7.420000,-5.740000,0.000000,1.000000,6.190000,-4.470000,0.042000,1,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,12__#2
33,33,0.030000,0.020000,18.000000,0.000000,3.000000,3.000000,0.100000,0.100000,1.000000,0.010000,7.420000,-5.740000,0.000000,1.000000,6.300000,-4.830000,0.042000,1,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,___3_
34,34,0.050000,0.020000,16.000000,0.000000,2.500000,1.000000,0.020000,0.050000,1.000000,0.020000,20.000000,-20.000000,0.000000,1.000000,5.200000,-3.900000,0.045000,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,2,2,3,0,0,0,0,0,0,__
35,35,-0.030000,0.020000,180.000000,1.000000,1.000000,5.370000,0.100000,0.100000,1.000000,0.020000,10.000000,-10.000000,0.000000,1.000000,4.720000,-3.970000,0.068000,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,__#1
36,36,-0.030000,0.020000,180.000000,1.000000,0.100000,0.100000,1.000000,5.370000,1.000000,0.020000,10.000000,-10.000000,0.000000,1.000000,4.850000,-3.960000,0.068000,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,__#1#2
37,37,-0.030000,0.020000,180.000000,1.000000,0.100000,0.100000,1.000000,5.370000,1.000000,0.020000,10.000000,-10.000000,0.000000,1.000000,4.710000,-3.920000,0.068000,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,___G3_
38,38,0.060000,0.020000,200.000000,1.000000,1.000000,1.000000,1.000000,4.000000,1.000000,0.020000,20.000000,-20.000000,0.000000,1.000000,5.700000,-4.700000,0.060000,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,2,2,4,0,0,0,0,0,0,_____
39,39,0.040000,0.020000,270.000000,1.000000,2.000000,2.000000,1.000000,8.000000,1.000000,0.020000,20.000000,-20.000000,0.000000,1.000000,4.900000,-4.300000,0.050000,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,2,2,5,0,0,0,0,0,0,_____
40,40,0.000000,0.020000,200.000000,1.000000,0.100000,0.100000,1.000000,4.000000,1.000000,0.020000,20.000000,-20.000000,0.000000,1.000000,5.200000,-3.600000,0.070000,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,___
41,41,0.000000,0.020000,200.000000,1.000000,0.100000,0.100000,1.000000,4.000000,1.000000,0.020000,20.000000,-20.000000,0.000000,1.000000,5.800000,-4.000000,0.055000,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,____
42,42,0.000000,0.020000,500.000000,1.000000,1.000000,10.000000,0.020000,0.020000,1.000000,0.003000,10.000000,-10.000000,0.000000,1.000000,8.960000,-8.030000,0.091500,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,___61_
43,43,-0.050000,0.020000,500.000000,1.000000,1.000000,10.000000,0.020000,0.020000,1.000000,0.003000,10.000000,-10.000000,0.000000,1.000000,7.000000,-4.400000,0.091100,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,___62_
44,44,0.000000,0.020000,300.000000,1.000000,1.000000,1.000000,1.000000,6.670000,1.000000,0.020000,20.000000,-20.000000,0.000000,1.000000,6.100000,-5.500000,0.069000,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,____
45,45,0.000000,0.020000,150.000000,1.000000,1.000000,4.000000,0.100000,0.200000,1.000000,0.020000,20.000000,-20.000000,0.000000,1.000000,6.200000,-4.300000,0.670000,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,_____
46,46,0.000000,0.020000,350.000000,1.000000,1.000000,2.000000,0.100000,0.100000,1.000000,0.010000,10.000000,-8.500000,0.000000,1.000000,6.250000,-5.510000,0.079600,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,__#1
47,47,0.050000,0.020000,360.000000,1.000000,1.000000,1.000000,1.000000,7.610000,1.000000,0.020000,20.000000,-20.000000,0.000000,1.000000,5.700000,-4.700000,0.043000,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,2,2,6,0,0,0,0,0,0,_____
48,48,-0.060000,0.020000,300.000000,1.000000,1.000000,1.000000,1.000000,7.310000,1.000000,0.020000,20.000000,-20.000000,0.000000,1.000000,6.000000,-5.100000,0.067000,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,2,2,7,0,0,0,0,0,0,_____
49,49,0.000000,0.020000,150.000000,1.000000,1.000000,1.000000,2.000000,8.000000,1.000000,0.020000,20.000000,-20.000000,0.000000,1.000000,6.000000,-4.500000,0.060000,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,_____
50,50,0.000000,0.020000,41.000000,0.000000,11.670000,11.670000,0.010000,0.010000,1.000000,0.010000,7.420000,-5.400000,0.000000,1.000000,5.250000,-4.030000,0.066000,0,0,1000000.000000,-1000000.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0.000000
