id,nd
1,50399
2,2143
3,2145
4,2151
5,2153
6,2155
7,2126
8,2128
9,2132
10,2134
11,2136
12,2231
13,2233
14,2235
15,2239
16,2241
17,2243
18,2245
19,2247
20,2249
21,2251
22,2253
23,2255
24,2257
25,2259
26,2265
27,2267
28,2269
29,2273
30,2275
31,2277
32,17489
33,17488
34,50400
35,50401
36,50402
37,50403
38,50404
39,17555
40,17553
41,17551
42,17557
43,50405
44,50406
45,50407
46,50408
47,50409
48,50410
49,50411
50,50412
51,50413
52,17563
53,17565
54,3442
55,3026
56,3028
57,3030
58,3032
59,3034
60,3036
61,17880
62,17883
63,3363
64,3365
65,3367
66,3369
67,3374
68,3376
69,3378
70,3380
71,3468
72,3470
73,3588
74,3590
75,3592
76,3594
77,3596
78,3598
79,3600
80,4029
81,4031
82,4041
83,4032
84,4034
85,4036
86,4038
87,4043
88,4045
89,4055
90,4046
91,4048
92,4050
93,4052
94,4281
95,4283
96,4285
97,18255
98,18249
99,50414
100,4443
101,4445
102,4447
103,4588
104,4590
105,4592
106,4594
107,4596
108,18327
109,18330
110,4637
111,4639
112,20587
113,20588
114,4876
115,4878
116,4880
117,4884
118,4888
119,18587
120,18584
121,5335
122,18067
123,2902
124,2904
125,2906
126,2908
127,50415
128,2910
129,2912
130,2914
131,2916
132,50416
133,3014
134,3016
135,3798
136,3800
137,3802
138,3804
139,5744
140,5748
141,5740
142,5742
143,5750
144,5752
145,5754
146,5756
147,5758
148,4154
149,4156
150,18157
151,18160
152,18223
153,4336
154,4338
155,4340
156,4342
157,4344
158,18205
159,4714
160,4716
161,4718
162,4720
163,4722
164,4882
165,4890
166,4892
167,4894
168,4896
169,4898
170,5302
171,5304
172,5306
173,5308
174,5310
175,3020
176,3022
177,3024
178,3018
179,5821
180,5829
181,4886
182,18796
183,18797
184,3371
185,3382
186,5948
187,5953
188,5955
189,5966
190,5964
191,18897
192,18900
193,17752
194,18894
195,18918
196,18911
197,6291
198,6293
199,18968
200,18969
201,6379
202,6383
203,6381
204,6385
205,6387
206,6407
207,6409
208,5746
209,6598
210,6600
211,6595
212,6593
213,6948
214,6950
215,6952
216,6954
217,7111
218,7098
219,7113
220,7100
221,7102
222,7104
223,7106
224,7108
225,7129
226,7116
227,7131
228,7118
229,7120
230,7122
231,7124
232,7126
233,20606
234,20605
235,7154
236,7147
237,7156
238,7149
239,7150
240,7169
241,7160
242,7171
