component_id,component_name,volt,sub_name,nd,island,sub_id
序号,发电机名,,,物理节点,电气岛号,厂站索引
76,四川.红房子厂/10.5kV.2#机组,10,四川.红房子厂,3426,0,129
77,四川.红房子厂/10.5kV.3#机组,10,四川.红房子厂,3432,0,129
78,四川.葫芦坝厂/10.5kV.1#机组,10,四川.葫芦坝厂,3434,0,132
79,四川.葫芦坝厂/10.5kV.2#机组,10,四川.葫芦坝厂,3436,0,132
80,四川.吉鱼厂/10.5kV.1#机组,10,四川.吉鱼厂,3527,0,138
81,四川.吉鱼厂/10.5kV.2#机组,10,四川.吉鱼厂,3529,0,138
82,四川.吉鱼厂/10.5kV.3#机组,10,四川.吉鱼厂,3537,0,138
83,四川.姜射坝厂/10.5kV.1#机组,10,四川.姜射坝厂,3627,0,145
84,四川.姜射坝厂/10.5kV.2#机组,10,四川.姜射坝厂,3637,0,145
85,四川.姜射坝厂/10.5kV.3#机组,10,四川.姜射坝厂,3639,0,145
86,四川.姜射坝厂/10.5kV.4#机组,10,四川.姜射坝厂,3641,0,145
87,四川.柳洪厂/13.8kV.1#机组,13,四川.柳洪厂,3945,0,171
88,四川.柳洪厂/13.8kV.2#机组,13,四川.柳洪厂,3947,0,171
89,四川.柳洪厂/13.8kV.3#机组,13,四川.柳洪厂,3959,-1,171
90,四川.冷竹关厂/10.5kV.1#机组,10,四川.冷竹关厂,18033,0,160
91,四川.冷竹关厂/10.5kV.2#机组,10,四川.冷竹关厂,18035,0,160
92,四川.冷竹关厂/10.5kV.3#机组,10,四川.冷竹关厂,18039,0,160
93,四川.硗碛厂/13.8kV.1#机组,13,四川.硗碛厂,5777,0,316
94,四川.硗碛厂/13.8kV.2#机组,13,四川.硗碛厂,5779,0,316
95,四川.硗碛厂/13.8kV.3#机组,13,四川.硗碛厂,5791,0,316
96,四川.天龙湖厂/10.5kV.1#机组,10,四川.天龙湖厂,19467,0,233
97,四川.天龙湖厂/10.5kV.2#机组,10,四川.天龙湖厂,18437,0,233
98,四川.天龙湖厂/10.5kV.3#机组,10,四川.天龙湖厂,18439,0,233
99,四川.太平驿厂/10.5kV.1#机组,10,四川.太平驿厂,4845,0,228
100,四川.太平驿厂/10.5kV.2#机组,10,四川.太平驿厂,4847,0,228
101,四川.太平驿厂/10.5kV.3#机组,10,四川.太平驿厂,4853,0,228
102,四川.太平驿厂/10.5kV.4#机组,10,四川.太平驿厂,4855,0,228
103,四川.小沟头厂/10.5kV.1#机组,10,四川.小沟头厂,5159,0,254
104,四川.小沟头厂/10.5kV.2#机组,10,四川.小沟头厂,5161,0,254
105,四川.小天都厂/13.8kV.1#机组,13,四川.小天都厂,5180,0,258
106,四川.小天都厂/13.8kV.3#机组,13,四川.小天都厂,5198,0,258
