transformer_id,middle_point,CN_transformer,taid
3640,-4132,46805,41321
3641,-4132,46806,41322
3642,-4132,46807,41323
3643,-4133,46808,41331
3644,-4133,46809,41332
3645,-4133,46810,41333
3646,-4134,46811,41341
3647,-4134,46812,41342
3648,-4134,46813,41343
3649,-4135,46814,41351
3650,-4135,46815,41352
3651,-4135,46816,41353
3652,-4136,46817,41361
3653,-4136,46818,41362
3654,-4136,46819,41363
3655,-4137,46820,41371
3656,-4137,46821,41372
3657,-4137,46822,41373
3658,-4138,46823,41381
3659,-4138,46824,41382
3660,-4138,46825,41383
3661,-4294,47134,42941
3662,-4294,47136,42942
3663,-4294,47135,42943
3664,-4295,47137,42951
3665,-4295,47139,42952
3666,-4295,47138,42953
3667,-4311,47170,43111
3668,-4311,47172,43112
3669,-4311,47171,43113
3670,-4312,47173,43121
3671,-4312,47175,43122
3672,-4312,47174,43123
3673,-4328,47206,43281
3674,-4328,47208,43282
3675,-4328,47207,43283
3676,-4329,47209,43291
3677,-4329,47211,43292
3678,-4329,47210,43293
3679,-4345,47242,43451
3680,-4345,47244,43452
3681,-4345,47243,43453
3682,-4346,47245,43461
3683,-4346,47247,43462
3684,-4346,47246,43463
3685,-4362,47278,43621
3686,-4362,47280,43622
3687,-4362,47279,43623
3688,-4363,47281,43631
3689,-4363,47283,43632
3690,-4363,47282,43633
3691,-4379,47314,43791
3692,-4379,47316,43792
3693,-4379,47315,43793
3694,-4380,47317,43801
3695,-4380,47319,43802
3696,-4380,47318,43803
3697,-4402,47362,44021
3698,-4402,47364,44022
3699,-4402,47363,44023
3700,-4403,47365,44031
3701,-4403,47367,44032
3702,-4403,47366,44033
3703,-4419,47398,44191
3704,-4419,47400,44192
3705,-4419,47399,44193
3706,-4420,47401,44201
3707,-4420,47403,44202
3708,-4420,47402,44203
3709,-4436,47434,44361
3710,-4436,47436,44362
3711,-4436,47435,44363
3712,-4437,47437,44371
3713,-4437,47439,44372
3714,-4437,47438,44373
3715,-4453,26752,44531
3716,-4453,26762,44532
3717,-4453,26764,44533
3718,-4454,26754,44541
3719,-4454,26763,44542
3720,-4454,26765,44543
3721,-4455,2067,44551
3722,-4455,26783,44552
3723,-4455,27982,44553
