ID,Par_No,T1,DEATH,K_REV,KMCT,KP1,KD1,KI1,IMAX1,IMIN1,PMAX1,PMIN1,K2,FFMAX,FFMIN,TC,Topen,VELC,VELO,PMAX,PMIN,TF,KP,KD,KI,IMAX,IMIN,PIDMAX,PIDMIN,TCH,FHP,TRH,FIP,TCO,FLP,LND,TSH,TD,TW,K_MP,TDLY,VMAX,VMIN,Tr_pm,Tr_pe,TDELAY1,TDELAY2,TDELAY3,RR,RF,Note
71,71,0.020000,0.001300,22.200000,3,0.010000,0.000000,0.010000,1.000000,-1.000000,1.100000,-1.050000,1.000000,0.023167,-0.003367,0.130000,0.080000,-0.055280,0.055960,1.110000,0.015000,0.020000,1.000000,0.000000,0.000000,1.000000,-1.000000,9999.000000,-9999.000000,0.290000,0.302000,22.000000,0.255000,1.000000,0.443000,1.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.020000,0.000000,0.000000,0.000000,9999.900000,-9999.900000,_____
72,72,0.020000,0.001300,31.150000,3,0.600000,0.000000,0.020000,1.000000,-1.000000,1.000000,-1.000000,1.000000,0.004700,-0.004700,0.720000,0.820000,-1.000000,1.000000,1.040000,0.000000,0.020000,3.500000,0.000000,0.000000,1.000000,-1.000000,1.000000,-1.000000,0.200000,0.444000,12.000000,0.556000,1.000000,0.000000,0.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.020000,2.000000,0.000000,2.000000,9999.900000,-9999.900000,___
73,73,0.020000,0.001300,24.700000,3,0.800000,0.000000,0.092000,1.000000,-1.000000,1.000000,-1.000000,0.000000,0.005000,-0.005000,2.080000,1.900000,-1.000000,1.000000,1.040000,-0.040000,0.020000,2.900000,0.000000,0.000000,1.000000,-1.000000,1.000000,-1.000000,0.100000,0.291000,15.000000,0.352000,1.000000,0.357000,1.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.020000,0.000000,0.000000,0.000000,0.007000,-0.007000,___
74,74,0.020000,0.001333,20.000000,3,0.500000,0.000000,0.100000,1.000000,-1.000000,10.000000,-10.000000,1.300000,0.003000,-0.003000,0.959100,0.841100,-1.000000,1.000000,1.050000,-0.050000,0.020000,12.000000,0.000000,1.000000,0.100000,-0.100000,10.000000,-10.000000,0.400000,0.315000,11.230000,0.242000,1.000000,0.443000,0.673000,0.000000,0.000000,0.000000,0.000000,0.000000,10.000000,0.000000,0.000000,0.000000,1.500000,0.000000,0.500000,9999.900000,-9999.900000,_____
75,75,0.020000,0.001333,20.000000,3,0.350000,0.000000,0.080000,1.000000,-1.000000,1.050000,-0.050000,0.700000,0.003000,-0.003000,0.756000,0.949000,-1.000000,1.000000,1.050000,-0.050000,0.020000,15.000000,0.000000,1.000000,0.100000,-0.100000,10.000000,-10.000000,0.100000,0.340000,11.030000,0.660000,1.000000,0.000000,0.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,2.000000,9999.900000,-9999.900000,_____
76,76,0.020000,0.001333,25.000000,3,0.250000,0.000000,0.070000,1.000000,-1.000000,1.050000,-0.050000,0.500000,0.002400,-0.002400,0.655000,0.771000,-1.000000,1.000000,1.050000,-0.050000,0.020000,9.000000,0.000000,1.000000,0.100000,-0.100000,10.000000,-10.000000,0.200000,0.305000,16.080000,0.271000,1.000000,0.424000,0.827000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.500000,0.000000,1.000000,9999.900000,-9999.900000,_____
77,77,0.020000,0.001333,25.000000,3,0.300000,0.000000,0.050000,1.000000,-1.000000,1.050000,-0.050000,0.700000,0.002400,-0.002400,0.948000,0.699800,-1.000000,1.000000,1.050000,-0.050000,0.020000,25.000000,0.000000,1.000000,0.100000,-0.100000,10.000000,-10.000000,0.250000,0.305000,17.900000,0.271000,1.000000,0.424000,0.827000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,9999.900000,-9999.900000,_____
78,78,0.020000,0.001333,25.000000,3,0.600000,0.000000,0.080000,1.000000,-1.000000,1.050000,-0.050000,0.600000,0.002400,-0.002400,1.025100,0.924600,-1.000000,1.000000,1.050000,-0.050000,0.020000,20.000000,0.000000,1.000000,0.100000,-0.100000,10.000000,-10.000000,0.300000,0.300000,20.100000,0.700000,1.000000,0.000000,0.851000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,9999.900000,-9999.900000,_____
79,79,0.020000,0.001333,22.222222,3,0.495000,0.000000,0.055000,1.000000,-1.000000,1.050000,-0.050000,0.800000,0.003600,-0.003600,0.693000,1.065000,-1.000000,1.000000,1.050000,-0.050000,0.020000,22.000000,0.000000,1.000000,0.100000,-0.100000,10.000000,-10.000000,0.150000,0.230000,28.100000,0.770000,1.000000,0.000000,0.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.060000,-0.060000,_____
80,80,0.020000,0.001333,22.222222,3,0.500000,0.000000,0.045000,1.000000,-1.000000,1.050000,-0.050000,0.600000,0.003600,-0.003600,1.092000,1.292000,-1.000000,1.000000,1.050000,-0.050000,0.020000,7.000000,0.000000,1.000000,0.100000,-0.100000,10.000000,-10.000000,0.600000,0.210000,20.300000,0.790000,1.000000,0.000000,0.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.060000,-0.060000,_____
81,81,0.020000,0.001333,25.000000,3,0.400000,0.000000,0.080000,1.000000,-1.000000,1.050000,-0.050000,0.600000,0.002400,-0.002400,0.993000,1.137000,-1.000000,1.000000,1.050000,-0.050000,0.020000,30.000000,0.000000,1.000000,0.100000,-0.100000,10.000000,-10.000000,0.200000,0.310000,16.010000,0.690000,1.000000,0.000000,0.871000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,9999.900000,-9999.900000,_____
82,82,0.020000,0.001300,27.000000,3,0.240000,0.000000,0.010000,1.000000,-1.000000,1.000000,-1.000000,0.400000,0.004000,-0.004000,1.800000,2.500000,-1.000000,1.000000,1.000000,0.000000,0.020000,17.000000,0.000000,0.000000,1.000000,-1.000000,1.000000,-1.000000,0.800000,0.300000,14.000000,0.700000,1.000000,0.000000,1.120000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,9999.000000,-9999.000000,20190315____
83,83,0.020000,0.001300,22.200000,3,0.900000,0.000000,0.120000,1.000000,-1.000000,1.050000,-1.050000,0.300000,0.003000,-0.003000,0.136000,0.135000,-1.000000,1.000000,1.000000,0.000000,0.020000,1.000000,0.000000,0.000000,1.000000,-1.000000,1.000000,-1.000000,0.350000,0.306000,10.900000,0.283000,1.900000,0.411000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.020000,0.000000,0.000000,3.000000,0.009000,-0.020000,BPAGOV
84,84,0.020000,0.001300,22.200000,3,0.170000,0.000000,0.020800,1.000000,-1.000000,1.100000,-1.050000,0.750000,0.004500,-0.004500,0.590000,0.880000,-2.233000,0.473000,1.110000,0.015000,0.020000,20.000000,0.000000,0.000000,1.000000,-1.000000,9999.000000,-9999.000000,0.260000,0.333000,10.800000,0.333000,3.900000,0.334000,1.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.020000,0.000000,0.000000,0.000000,9999.900000,-9999.900000,_____
85,85,0.020000,0.001300,22.200000,3,0.400000,0.000000,0.040000,1.000000,-1.000000,1.000000,-1.050000,1.000000,0.004267,-0.004267,0.075000,0.065000,-0.035790,0.034870,1.070000,0.030000,0.020000,1.000000,0.000000,0.000000,1.000000,-1.000000,9999.000000,-9999.000000,0.520000,0.300000,10.600000,0.397000,1.800000,0.303000,0.950000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.020000,0.000000,0.000000,0.000000,0.007000,-0.005000,_____
86,86,0.020000,0.001300,22.200000,3,0.180000,0.000000,0.120000,1.000000,-1.000000,1.100000,-1.050000,1.000000,0.023170,-0.004287,0.847000,0.683000,-0.301400,0.279700,1.100000,0.050000,0.020000,1.000000,0.000000,0.000000,1.000000,-1.000000,9999.000000,-9999.000000,0.272000,0.286500,15.900000,0.257500,3.300000,0.456000,1.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005000,-0.005000,_____
87,87,0.020000,0.001300,22.200000,3,0.100000,0.000000,0.020000,1.000000,-1.000000,1.100000,-1.050000,1.000000,0.023170,-0.004287,0.593000,0.475000,-0.242400,0.223600,1.100000,0.050000,0.020000,1.000000,0.000000,0.000000,1.000000,-1.000000,9999.000000,-9999.000000,0.320000,0.286500,15.900000,0.257500,2.700000,0.456000,0.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,-0.100000,_____
88,88,0.020000,0.001300,22.200000,3,0.600000,0.000000,0.066700,1.000000,-1.000000,1.050000,-1.050000,1.000000,0.003367,-0.003367,0.438000,0.395000,-0.331300,0.305400,1.100000,0.050000,0.020000,1.000000,0.000000,0.000000,1.000000,-1.000000,9999.000000,-9999.000000,0.270000,0.306100,15.000000,0.282500,3.600000,0.411400,0.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.020000,0.000000,0.000000,0.000000,9999.900000,-9999.900000,_____
89,89,0.020000,0.001300,22.200000,3,0.600000,0.000000,0.020000,1.000000,-1.000000,1.050000,-1.050000,0.800000,0.003670,-0.003670,0.460000,0.450000,-0.289100,0.196700,1.100000,0.050000,0.020000,1.000000,0.000000,0.000000,1.000000,-1.000000,9999.000000,-9999.000000,0.270000,0.306100,10.000000,0.282500,3.600000,0.411400,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.020000,0.000000,0.000000,0.000000,9999.900000,-9999.900000,_____
90,90,0.020000,0.001267,22.200000,3,0.739000,0.000000,0.013000,1.000000,-1.000000,1.100000,-1.050000,0.700000,0.003370,-0.003370,0.520000,0.550000,-0.485000,0.514000,1.030000,0.047000,0.020000,10.000000,0.000000,0.000000,1.000000,-1.000000,9999.900000,-9999.900000,0.250000,0.333300,9.800000,0.232300,3.500000,0.434400,0.650000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.020000,1.000000,0.000000,2.900000,9999.900000,-9999.900000,_____
91,91,0.020000,0.001300,22.200000,3,1.200000,0.000000,0.020000,1.000000,-1.000000,1.100000,-1.050000,1.000000,0.023170,-0.004267,0.592500,0.475000,-0.242200,0.223580,1.100000,0.050000,0.020000,1.000000,0.000000,0.000000,1.000000,-1.000000,9999.000000,-9999.000000,0.300000,0.286500,14.000000,0.257500,2.900000,0.456000,0.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.020000,0.000000,0.000000,0.000000,0.100000,-0.100000,_____
92,92,0.020000,0.001300,22.200000,3,0.400000,0.000000,0.060000,1.000000,-1.000000,1.100000,-1.050000,0.900000,0.004267,-0.004267,1.400000,0.950000,-0.705300,0.470400,1.100000,0.050000,0.020000,10.000000,0.000000,0.000000,1.000000,-1.000000,9999.000000,-9999.000000,0.270000,0.333300,13.900000,0.232300,1.500000,0.434400,0.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.020000,0.000000,0.000000,0.500000,9999.900000,-9999.900000,_____
93,93,0.020000,0.001300,22.200000,3,0.300000,0.000000,0.040000,1.000000,-1.000000,1.100000,-1.050000,0.400000,0.004267,-0.004267,1.070000,0.720000,-0.373800,0.214700,1.100000,0.050000,0.020000,10.000000,0.000000,0.000000,1.000000,-1.000000,9999.000000,-9999.000000,0.370000,0.333300,14.600000,0.232300,1.300000,0.434400,0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.020000,0.000000,0.000000,0.000000,9999.900000,-9999.900000,_____
94,94,0.020000,0.001300,22.200000,3,1.350000,0.000000,0.040000,1.000000,0.100000,1.100000,-1.050000,0.600000,0.003370,-0.003370,0.160000,0.110000,-0.067100,0.062400,1.120000,0.050000,0.020000,1.000000,0.000000,0.000000,1.000000,-1.000000,9999.900000,-9999.900000,0.350000,0.300000,14.100000,0.300000,3.500000,0.400000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.020000,0.700000,0.000000,5.000000,0.050000,-0.050000,_____
95,95,0.020000,0.001300,22.200000,3,0.350000,0.000000,0.008300,1.000000,-1.000000,1.100000,-1.050000,0.900000,0.002700,-0.002700,0.150000,0.190000,-0.078860,0.046000,1.100000,0.005000,0.020000,1.000000,0.000000,0.000000,1.000000,-1.000000,9999.900000,-9999.900000,0.160000,0.280000,16.100000,0.263200,5.900000,0.456800,1.000000,10.000000,150.000000,30.000000,4.000000,0.000000,1.100000,0.000000,0.020000,0.020000,0.000000,0.000000,0.000000,9999.900000,-9999.900000,_____
96,96,0.020000,0.001300,21.900000,3,0.320000,0.000000,0.006600,1.000000,-1.000000,1.000000,-1.000000,1.000000,0.003000,-0.003000,1.000000,1.000000,-1.000000,1.000000,1.000000,0.050000,0.020000,15.000000,0.000000,1.000000,1.000000,-1.000000,1.000000,-1.000000,0.150000,0.330000,14.000000,0.670000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.020000,1.200000,0.000000,0.600000,9999.000000,-9999.000000,
97,97,0.020000,0.001300,22.200000,3,0.700000,0.000000,0.067000,1.000000,-1.000000,1.100000,-1.050000,1.000000,0.003600,-0.003600,0.190000,0.248000,-0.092300,0.114600,1.100000,0.050000,0.020000,1.000000,0.000000,0.000000,1.000000,-1.000000,9999.000000,-9999.000000,0.220000,0.286500,17.300000,0.257500,3.500000,0.456000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.020000,0.000000,0.000000,0.000000,0.500000,-0.500000,_____
98,98,0.020000,0.001300,22.200000,3,1.200000,0.000000,0.010000,1.000000,-1.000000,1.100000,-1.050000,1.000000,0.003600,-0.003600,0.120000,0.090000,-0.028150,0.121900,1.100000,0.050000,0.020000,1.000000,0.000000,0.000000,1.000000,-1.000000,9999.000000,-9999.000000,0.220000,0.286500,10.100000,0.257500,1.600000,0.456000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.020000,0.000000,0.000000,0.000000,0.080000,-0.013000,_____
99,99,0.020000,0.001300,22.200000,3,0.800000,0.000000,0.010000,1.000000,-1.000000,1.000000,-1.000000,1.000000,0.003000,-0.003000,0.060000,0.060000,-1.000000,1.000000,1.000000,0.000000,0.020000,1.000000,0.000000,0.000000,1.000000,-1.000000,1.000000,-1.000000,0.550000,0.310000,19.500000,0.250000,1.500000,0.440000,1.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.020000,0.500000,0.000000,0.000000,0.010000,-0.020000,BPAGOV
100,100,0.020000,0.001267,22.000000,3,0.170000,0.000000,0.080000,1.000000,-1.000000,1.100000,-1.050000,1.300000,0.003000,-0.003000,0.420000,0.430000,-0.241800,0.293900,1.030000,0.000000,0.020000,7.000000,0.000000,0.000000,1.000000,-1.000000,9999.900000,-9999.900000,0.270000,0.304000,21.300000,0.255000,4.500000,0.441000,0.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.020000,0.000000,0.000000,0.000000,9999.900000,-9999.900000,_____
101,101,0.020000,0.001300,22.200000,3,0.300000,0.000000,0.020000,1.000000,-1.000000,1.100000,-1.050000,0.600000,0.003000,-0.003000,0.120000,0.360000,-1.000000,1.000000,1.000000,0.000000,0.020000,1.000000,0.000000,0.000000,1.000000,-1.000000,1.000000,-1.000000,0.380000,0.310000,17.800000,0.250000,4.500000,0.440000,1.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.020000,1.000000,0.000000,5.000000,0.150000,-0.150000,GO1_  5
102,102,0.020000,0.001300,22.200000,3,0.200000,0.000000,0.015000,1.000000,-1.000000,1.100000,-1.050000,0.920000,0.004000,-0.004000,0.220000,0.350000,-1.000000,1.000000,1.000000,0.000000,0.020000,1.000000,0.000000,0.000000,1.000000,-1.000000,1.000000,-1.000000,0.390000,0.310000,21.500000,0.250000,1.300000,0.440000,1.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.020000,0.500000,0.000000,3.500000,0.350000,-0.150000,GO1_  5
103,103,0.020000,0.001300,22.200000,3,1.000000,0.000000,0.150000,1.000000,-1.000000,1.000000,-1.050000,1.000000,0.023200,-0.004287,0.190000,0.248000,-0.073610,0.095880,1.057000,0.030000,0.020000,1.000000,0.000000,0.000000,1.000000,-1.000000,9999.000000,-9999.000000,0.290000,0.286500,15.300000,0.257500,2.200000,0.456000,1.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.020000,2.000000,0.000000,0.000000,0.010000,-0.002800,_____
104,104,0.020000,0.001300,22.200000,3,1.000000,0.000000,0.150000,1.000000,-1.000000,1.100000,-1.050000,0.600000,0.023200,-0.004287,0.220000,0.240000,-0.083270,0.091030,1.057000,0.030000,0.020000,1.000000,0.000000,0.000000,1.000000,-1.000000,9999.000000,-9999.000000,0.270000,0.286500,14.300000,0.257500,3.800000,0.456000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.500000,0.000000,0.000000,0.005000,-0.005000,_____
105,105,0.020000,0.001300,22.200000,3,0.800000,0.000000,0.050000,1.000000,-1.000000,1.100000,-1.050000,0.900000,0.023167,-0.004267,0.183000,0.117000,-0.083850,0.047330,1.100000,0.050000,0.020000,1.000000,0.000000,0.000000,1.000000,-1.000000,9999.000000,-9999.000000,0.310000,0.286500,16.900000,0.257500,3.900000,0.456000,0.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.020000,0.000000,0.000000,0.000000,0.005000,-1.000000,_____
106,106,0.020000,0.001300,22.200000,3,0.600000,0.000000,0.020000,1.000000,-1.000000,1.100000,-1.050000,1.000000,0.023170,-0.004267,0.183000,0.103000,-0.083910,0.043190,1.100000,0.050000,0.020000,1.000000,0.000000,0.000000,1.000000,-1.000000,9999.000000,-9999.000000,0.340000,0.286500,16.900000,0.257500,2.500000,0.456000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.020000,4.500000,0.000000,0.000000,1.000000,-0.027000,_____
107,107,0.020000,0.001300,22.200000,3,1.000000,0.000000,0.010000,1.000000,-1.000000,1.100000,-1.050000,1.000000,0.003000,-0.003000,0.170000,0.210000,-1.000000,1.000000,1.000000,0.000000,0.020000,1.000000,0.000000,0.000000,1.000000,-1.000000,1.000000,-1.000000,0.310000,0.313000,23.500000,0.255000,1.600000,0.432000,1.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.020000,0.000000,0.000000,0.000000,0.015000,-0.015000,GOV 1
108,108,0.020000,0.001300,22.200000,3,0.600000,0.000000,0.100000,1.000000,-1.000000,1.100000,-1.050000,1.000000,0.003600,-0.003600,0.150000,0.150000,-0.020500,0.021270,1.100000,0.050000,0.020000,1.000000,0.000000,0.000000,1.000000,-1.000000,9999.000000,-9999.000000,0.250000,0.333300,10.800000,0.232300,2.500000,0.434400,0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.020000,0.000000,0.000000,0.000000,0.020000,-0.020000,_____
109,109,0.020000,0.001300,22.200000,3,0.800000,0.000000,0.000000,1.000000,-1.000000,1.100000,-1.050000,0.800000,0.004000,-0.004000,0.150000,0.150000,-1.000000,1.000000,1.000000,0.000000,0.020000,1.000000,0.000000,0.000000,1.000000,-1.000000,1.000000,-1.000000,0.250000,0.340000,10.000000,0.230000,1.500000,0.430000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.020000,0.200000,0.000000,2.500000,0.012000,-0.014000,GO1_  5
110,110,0.020000,0.001300,21.000000,3,0.360000,0.000000,0.050000,1.000000,-1.000000,1.050000,-1.050000,1.000000,0.003000,-0.003000,12.800000,16.100000,-1.000000,1.000000,1.000000,0.000000,0.020000,22.000000,0.000000,0.000000,1.000000,-1.000000,1.000000,-1.000000,0.400000,0.310000,20.000000,0.250000,1.000000,0.440000,1.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.020000,1.500000,0.000000,2.500000,99999.000000,-99999.000000,BPAGOV
111,111,0.020000,0.001300,22.000000,3,0.800000,0.000000,0.060000,1.000000,-1.000000,1.050000,-1.050000,1.000000,0.003000,-0.003000,12.400000,14.000000,-1.000000,1.000000,1.000000,0.000000,0.020000,22.000000,0.000000,0.000000,1.000000,-1.000000,1.000000,-1.000000,0.390000,0.310000,19.880000,0.250000,1.100000,0.440000,0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.020000,0.000000,0.000000,1.500000,9999.000000,-9999.000000,BPAGOV
112,112,0.020000,0.001300,22.200000,3,0.030000,0.000000,0.080000,1.000000,-1.000000,1.000000,-1.000000,1.000000,0.004000,-0.004000,0.055000,0.210000,-1.000000,1.000000,1.000000,0.000000,0.020000,1.000000,0.000000,0.000000,1.000000,-1.000000,1.000000,-1.000000,0.180000,0.270000,10.800000,0.380000,2.100000,0.350000,1.500000,10.000000,150.000000,30.000000,4.000000,20.000000,1.100000,0.000000,0.020000,0.020000,0.800000,0.000000,1.000000,9999.000000,-9999.000000,GO1_  5
113,113,0.020000,0.001300,22.200000,3,0.150000,0.000000,0.050000,1.000000,-1.000000,1.100000,-1.050000,1.000000,0.003000,-0.003000,0.065000,0.055000,-1.000000,1.000000,1.000000,0.000000,0.020000,1.000000,0.000000,0.000000,1.000000,-1.000000,1.000000,-1.000000,0.450000,0.270000,17.610000,0.270000,1.060000,0.460000,1.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.020000,0.000000,0.000000,0.000000,0.150000,-0.150000,BPAGOV
114,114,0.020000,0.001300,22.200000,3,0.250000,0.000000,0.040000,1.000000,-1.000000,1.100000,-1.050000,1.100000,0.002700,-0.002700,0.230000,0.190000,-1.000000,1.000000,1.050000,0.050000,0.020000,1.000000,0.000000,0.000000,1.000000,-1.000000,9999.900000,-9999.900000,0.310000,0.272000,16.800000,0.269000,2.500000,0.459000,1.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.020000,1.900000,0.000000,3.500000,999999.900000,-99999.900000,BPAGOV-- PID____ _0.3__-0.3_____BPA_____2018/3/22______
115,115,0.020000,0.001300,22.200000,3,0.800000,0.000000,0.100000,1.000000,-1.000000,1.100000,-1.050000,1.000000,0.003600,-0.003600,0.340000,0.230000,-0.196000,0.124000,1.050000,0.016000,0.020000,1.000000,0.000000,0.000000,1.000000,-1.000000,9999.000000,-9999.000000,0.260000,0.333300,13.800000,0.232300,2.200000,0.434400,0.750000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002000,0.020000,0.000000,0.000000,0.000000,0.020000,-0.040000,_____
116,116,0.020000,0.001300,22.200000,3,0.600000,0.000000,0.100000,1.000000,-1.000000,1.100000,-1.050000,0.750000,0.003600,-0.003600,0.340000,0.230000,-0.196000,0.124000,1.050000,0.016000,0.020000,1.000000,0.000000,0.000000,1.000000,-1.000000,9999.000000,-9999.000000,0.260000,0.333300,13.800000,0.232300,2.200000,0.434400,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.020000,0.500000,0.000000,0.000000,0.010000,-0.020000,_____
117,117,0.020000,0.001300,22.200000,3,0.200000,0.000000,0.000760,1.000000,-1.000000,1.100000,-1.050000,1.000000,0.002700,-0.002700,0.060000,0.070000,-0.070630,0.046980,1.110000,0.015000,0.020000,1.000000,0.000000,0.000000,1.000000,-1.000000,9999.000000,-9999.000000,0.290000,0.302000,18.900000,0.255000,1.600000,0.443000,1.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.020000,1.000000,0.000000,0.500000,0.005000,-0.015000,_____
118,118,0.020000,0.001300,22.200000,3,1.000000,0.000000,0.010000,1.000000,-1.000000,1.100000,-1.050000,1.000000,0.002700,-0.002700,0.110000,0.090000,-0.124000,0.076150,1.110000,0.015000,0.020000,1.000000,0.000000,0.000000,1.000000,-1.000000,9999.000000,-9999.000000,0.290000,0.302000,22.900000,0.255000,1.600000,0.443000,1.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.020000,0.500000,0.000000,0.500000,0.014000,-0.017000,_____
119,119,0.020000,0.001300,21.800000,3,0.100000,0.000000,0.130000,1.000000,-1.000000,1.000000,-1.000000,0.520000,0.004000,-0.004000,1.300000,2.100000,-1.000000,1.000000,1.000000,0.000000,0.080000,11.000000,0.000000,8.000000,1.000000,-1.000000,1.000000,-1.000000,0.100000,0.300000,10.500000,0.700000,0.000000,0.000000,0.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,3.000000,0.040000,-0.040000,
120,120,0.020000,0.001300,20.000000,3,0.350000,0.000000,0.030000,1.000000,-1.000000,1.000000,-1.000000,1.000000,0.003000,-0.003000,0.900000,1.510000,-1.000000,1.000000,1.000000,0.000000,0.020000,11.000000,0.000000,0.000000,0.100000,-0.100000,1.000000,-1.000000,0.350000,0.325000,13.000000,0.675000,1.000000,0.000000,0.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9999.900000,-9999.900000,_____
121,121,0.020000,0.001300,20.000000,3,0.500000,0.000000,0.080000,1.000000,-1.000000,1.000000,-1.000000,1.000000,0.003000,-0.003000,1.080000,1.160000,-1.000000,1.000000,1.000000,0.000000,0.020000,7.000000,0.000000,0.000000,0.100000,-0.100000,1.000000,-1.000000,0.200000,0.301200,13.000000,0.698800,1.000000,0.000000,0.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.000000,0.000000,0.200000,0.040000,-0.040000,_____
122,122,0.020000,0.001300,20.000000,3,0.600000,0.000000,0.120000,1.000000,-1.000000,1.000000,-1.000000,1.000000,0.003000,-0.003000,1.070000,1.110000,-1.000000,1.000000,1.000000,0.000000,0.020000,8.000000,0.000000,0.000000,0.100000,-0.100000,1.000000,-1.000000,0.200000,0.301200,14.500000,0.698800,1.000000,0.000000,0.750000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.000000,0.000000,0.000000,0.030000,-0.030000,_____
123,123,0.020000,0.001300,20.000000,3,0.500000,0.000000,0.065000,1.000000,-1.000000,1.000000,-1.000000,1.000000,0.003000,-0.003000,0.890000,0.910000,-1.000000,1.000000,1.000000,0.000000,0.020000,8.000000,0.000000,0.000000,0.100000,-0.100000,1.000000,-1.000000,0.200000,0.301200,13.000000,0.698800,1.000000,0.000000,0.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.500000,0.000000,1.200000,0.040000,-0.040000,_____
