ID,Par_No,G_amax,T_amax,Gammaref,Gammamin,Kp_vca,Ti_vca,K1_ra,K2_ra,CDL,DL,Decr,T_ga,Td_ret,Th_ret,Th_res,mode,LEAD,FP_CO,BC_ON,Udlow,Udhigh,Udtup,Udtdn,Iomin_vdcL,Iomin,Id_t,Gain,Kp,Ti,G_cf,K_cf,T_dn_cf,Alpha_res,U_Enable,UK,Gama_fail,Iovs,Tovs,Iovl,Tovl,Tflock,Cfo_f,Cfo_comdy,Cfo_Iomin,Cfo_amax,Cfo_srt,Cfo_Vth,Cfo_idt,Cfo_rdt,Cfo_dcb,Note
13,13,0.150000,0.012000,17.000000,13.000000,10.000000,0.000400,0.850000,0.700000,30.000000,30.000000,0.370000,0.110000,164.000000,0.150000,0.034000,1,0,1,1,0.150000,0.800000,0.040000,0.015000,0.345000,0.100000,0.001100,30.000000,2.800000,0.011000,0.105000,0.850000,0.020000,60.000000,0,0.000000,7.000000,1.200000,3.000000,1.050000,7200.000000,0.000000,0,0.002000,0.800000,95.000000,0.060000,0.800000,0.030000,0.020000,10.000000,
14,14,0.150000,0.012000,17.000000,13.000000,18.000000,0.000400,0.800000,0.000000,10.000000,10.000000,0.189750,9999.000000,164.000000,0.150000,0.150000,1,1,1,1,0.300000,0.800000,0.060000,0.015000,0.345000,0.125000,0.001100,30.000000,3.400000,0.006000,0.150000,0.900000,0.020000,120.000000,0,0.700000,7.000000,1.200000,3.000000,1.050000,7200.000000,0.000000,0,0.002000,0.800000,95.000000,0.060000,0.800000,0.030000,0.020000,10.000000,
15,15,0.150000,0.012000,17.000000,13.000000,18.000000,0.000400,0.800000,0.000000,10.000000,10.000000,0.189750,9999.000000,164.000000,0.150000,0.150000,1,0,1,1,0.300000,0.800000,0.060000,0.015000,0.345000,0.125000,0.001100,30.000000,3.400000,0.006000,0.150000,0.900000,0.020000,120.000000,0,0.000000,7.000000,1.200000,3.000000,1.050000,7200.000000,0.000000,0,0.002000,0.800000,95.000000,0.060000,0.800000,0.030000,0.020000,10.000000,
16,16,0.150000,0.012000,17.000000,13.000000,25.000000,0.000500,0.850000,0.700000,30.000000,30.000000,0.370000,0.100000,164.000000,0.150000,0.034000,1,1,1,1,0.100000,0.700000,0.050000,0.015000,0.345000,0.100000,0.001100,30.000000,2.800000,0.011000,0.085000,0.850000,0.020000,60.000000,0,0.700000,7.000000,1.200000,3.000000,1.050000,7200.000000,0.000000,0,0.002000,0.800000,95.000000,0.060000,0.800000,0.030000,0.020000,10.000000,
17,17,0.150000,0.012000,17.000000,13.000000,25.000000,0.000500,0.850000,0.700000,30.000000,30.000000,0.370000,0.100000,164.000000,0.150000,0.034000,1,0,1,1,0.150000,0.800000,0.050000,0.015000,0.345000,0.100000,0.001100,30.000000,2.800000,0.011000,0.085000,0.850000,0.020000,60.000000,0,0.000000,7.000000,1.200000,3.000000,1.050000,7200.000000,0.000000,0,0.002000,0.800000,95.000000,0.060000,0.800000,0.030000,0.020000,10.000000,
18,18,0.150000,0.012000,17.000000,13.000000,18.000000,0.000400,-999.000000,-999.000000,30.000000,30.000000,0.300000,999.000000,164.000000,0.150000,0.034000,1,1,1,1,0.300000,0.648000,0.020000,0.020000,0.345000,0.100000,0.001100,30.000000,2.800000,0.011000,0.060000,0.900000,0.020000,60.000000,0,0.700000,7.000000,1.200000,3.000000,1.050000,7200.000000,0.018000,0,0.002000,0.800000,95.000000,0.060000,0.800000,0.030000,0.020000,10.000000,
19,19,0.150000,0.012000,17.000000,13.000000,18.000000,0.000400,-999.000000,-999.000000,30.000000,30.000000,0.300000,999.000000,164.000000,0.150000,0.034000,1,0,1,1,0.300000,0.648000,0.020000,0.020000,0.345000,0.100000,0.001100,30.000000,2.800000,0.011000,0.060000,0.900000,0.020000,60.000000,0,0.700000,7.000000,1.200000,3.000000,1.050000,7200.000000,0.018000,0,0.002000,0.800000,95.000000,0.060000,0.800000,0.030000,0.020000,10.000000,
20,20,0.150000,0.012000,17.000000,13.000000,25.000000,0.000500,0.850000,0.700000,30.000000,30.000000,0.370000,0.100000,164.000000,0.150000,0.034000,1,1,1,1,0.100000,0.700000,0.050000,0.015000,0.345000,0.100000,0.001100,30.000000,2.800000,0.010000,0.098000,0.850000,0.020000,60.000000,0,0.700000,7.000000,1.200000,3.000000,1.050000,7200.000000,0.000000,0,0.002000,0.800000,95.000000,0.060000,0.800000,0.030000,0.020000,10.000000,
21,21,0.150000,0.012000,17.000000,13.000000,25.000000,0.000500,0.850000,0.700000,30.000000,30.000000,0.370000,0.100000,164.000000,0.150000,0.034000,1,0,1,1,0.150000,0.800000,0.050000,0.015000,0.345000,0.100000,0.001100,30.000000,2.800000,0.010000,0.098000,0.850000,0.020000,60.000000,0,0.000000,7.000000,1.200000,3.000000,1.050000,7200.000000,0.000000,0,0.002000,0.800000,95.000000,0.060000,0.800000,0.030000,0.020000,10.000000,
22,22,0.150000,0.012000,17.000000,11.700000,25.000000,0.001100,0.750000,0.880000,30.000000,30.000000,0.800000,0.065000,0.010000,0.150000,0.010000,1,1,1,1,0.100000,0.700000,0.040000,0.015000,0.345000,0.100000,0.001100,30.000000,1.800000,0.010000,0.100000,0.500000,0.020000,0.000000,0,0.700000,7.000000,1.200000,3.000000,1.050000,7200.000000,0.030000,0,0.002000,0.800000,95.000000,0.060000,0.800000,0.030000,0.020000,10.000000,
23,23,0.150000,0.012000,17.000000,11.700000,25.000000,0.001100,0.750000,0.880000,30.000000,30.000000,0.800000,0.065000,0.010000,0.150000,0.010000,1,0,1,1,0.150000,0.800000,0.040000,0.015000,0.345000,0.100000,0.001100,30.000000,2.800000,0.010000,0.200000,0.850000,0.020000,0.000000,0,0.700000,7.000000,1.200000,3.000000,1.050000,7200.000000,0.030000,0,0.002000,0.800000,95.000000,0.060000,0.800000,0.030000,0.020000,10.000000,
24,24,0.150000,0.012000,17.000000,11.700000,25.000000,0.001100,0.750000,0.880000,30.000000,30.000000,0.800000,0.065000,0.010000,0.150000,0.010000,1,1,1,1,0.150000,0.800000,0.040000,0.015000,0.345000,0.100000,0.001100,30.000000,2.800000,0.010000,0.200000,0.850000,0.020000,0.000000,0,0.700000,7.000000,1.200000,3.000000,1.050000,7200.000000,0.030000,0,0.002000,0.800000,95.000000,0.060000,0.800000,0.030000,0.020000,10.000000,
25,25,0.150000,0.012000,17.000000,11.700000,25.000000,0.001100,0.750000,0.880000,30.000000,30.000000,0.800000,0.065000,0.010000,0.150000,0.010000,1,0,1,1,0.100000,0.700000,0.040000,0.015000,0.345000,0.100000,0.001100,30.000000,1.800000,0.010000,0.100000,0.500000,0.020000,0.000000,0,0.700000,7.000000,1.200000,3.000000,1.050000,7200.000000,0.030000,0,0.002000,0.800000,95.000000,0.060000,0.800000,0.030000,0.020000,10.000000,
26,26,0.150000,0.167000,17.000000,13.000000,25.000000,0.000500,0.880000,0.750000,30.000000,30.000000,0.300000,0.100000,164.000000,0.150000,0.034000,1,1,1,1,0.100000,0.700000,0.050000,0.015000,0.345000,0.100000,0.001100,30.000000,3.200000,0.014000,0.075000,0.850000,0.020000,60.000000,0,0.700000,7.000000,1.200000,3.000000,1.050000,7200.000000,0.020000,0,0.002000,0.800000,95.000000,0.060000,0.800000,0.030000,0.020000,10.000000,
27,27,0.150000,0.167000,17.000000,13.000000,25.000000,0.000500,0.880000,0.750000,30.000000,30.000000,0.300000,0.100000,164.000000,0.150000,0.034000,1,0,1,1,0.150000,0.800000,0.050000,0.015000,0.345000,0.100000,0.001100,30.000000,3.200000,0.014000,0.075000,0.850000,0.020000,60.000000,0,0.700000,7.000000,1.200000,3.000000,1.050000,7200.000000,0.020000,0,0.002000,0.800000,95.000000,0.060000,0.800000,0.030000,0.020000,10.000000,
28,28,0.150000,0.012000,17.000000,13.000000,18.000000,0.000400,0.800000,0.000000,10.000000,10.000000,0.189750,9999.900000,0.110000,0.150000,0.000000,1,1,1,1,0.300000,0.800000,0.030000,0.015000,0.345000,0.100000,0.001100,30.000000,3.400000,0.009000,0.055000,0.900000,0.020000,60.000000,0,0.800000,7.000000,1.200000,3.000000,1.050000,7200.000000,0.019800,0,0.002000,0.800000,95.000000,0.060000,0.800000,0.030000,0.020000,10.000000,
29,29,0.150000,0.012000,17.000000,13.000000,18.000000,0.000400,0.800000,0.000000,10.000000,10.000000,0.189750,9999.900000,0.110000,0.150000,0.000000,1,0,1,1,0.300000,0.800000,0.030000,0.015000,0.345000,0.100000,0.001100,30.000000,3.400000,0.009000,0.055000,0.900000,0.020000,60.000000,0,0.700000,7.000000,1.200000,3.000000,1.050000,7200.000000,0.019800,0,0.002000,0.800000,95.000000,0.060000,0.800000,0.030000,0.020000,10.000000,
