ID,Par_No,Trw,T5,T6,T7,Kr,Trp,Tw,Tw1,Tw2,Ks,T9,T10,T12,Kw,Kp,T1,T2,T13,T14,T3,T4,VSMAX,VSMIN,Note
25,25,0.020000,6.000000,6.000000,6.000000,2.000000,0.020000,0.970000,6.000000,6.000000,1.000000,0.200000,0.100000,0.100000,1.000000,4.000000,0.180000,0.020000,0.100000,0.100000,0.300000,0.030000,0.050000,-0.050000,_____
26,26,0.020000,5.000000,5.000000,5.000000,1.700000,0.020000,0.630000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,4.000000,0.120000,0.020000,0.010000,0.010000,0.200000,0.020000,0.100000,-0.100000,__#1
27,27,0.020000,6.000000,6.000000,6.000000,0.116900,0.020000,0.670000,6.000000,6.000000,1.000000,0.600000,0.120000,0.120000,1.000000,10.000000,0.250000,0.030000,0.100000,0.100000,0.200000,0.030000,0.050000,-0.050000,___#4_
28,28,0.020000,6.000000,6.000000,6.000000,5.333300,0.020000,1.180000,6.000000,6.000000,1.000000,0.600000,0.120000,0.120000,1.000000,3.000000,0.150000,0.020000,1.000000,1.000000,0.200000,0.030000,0.050000,-0.050000,_____
29,29,0.020000,6.000000,6.000000,6.000000,0.112500,0.020000,0.779900,6.000000,6.000000,1.000000,0.600000,0.120000,0.120000,1.000000,6.000000,0.200000,0.020000,0.100000,0.100000,0.250000,0.030000,0.100000,-0.100000,___#5_
30,30,0.020000,6.000000,6.000000,6.000000,0.112500,0.020000,0.779900,6.000000,6.000000,1.000000,0.600000,0.120000,0.120000,1.000000,6.000000,0.200000,0.020000,0.010000,0.010000,0.250000,0.030000,0.100000,-0.100000,___#5_
31,31,0.020000,6.000000,6.000000,6.000000,0.112500,0.020000,0.706200,6.000000,6.000000,1.000000,0.600000,0.120000,0.120000,1.000000,5.000000,0.200000,0.020000,0.100000,0.100000,0.300000,0.020000,0.100000,-0.100000,___#2_
32,32,0.020000,5.000000,5.000000,5.000000,2.125000,0.020000,0.714000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,4.000000,0.190000,0.020000,0.100000,0.100000,0.300000,0.030000,0.100000,-0.100000,_____
33,33,0.020000,5.000000,5.000000,5.000000,2.125000,0.020000,0.714000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,4.000000,0.190000,0.020000,0.100000,0.100000,0.200000,0.030000,0.100000,-0.100000,___#3#4
34,34,0.020000,6.000000,6.000000,6.000000,1.125000,0.020000,1.000000,6.000000,6.000000,1.000000,0.200000,0.100000,0.100000,1.000000,2.000000,0.200000,0.020000,1.000000,1.000000,0.250000,0.030000,0.050000,-0.050000,_____
35,35,0.020000,8.000000,8.000000,8.000000,0.150000,0.020000,0.930000,8.000000,8.000000,1.000000,0.600000,0.120000,0.120000,1.000000,7.000000,0.140000,0.010000,0.100000,0.100000,0.250000,0.030000,0.050000,-0.050000,____#1
36,36,0.020000,6.000000,6.000000,6.000000,0.154100,0.020000,0.600000,6.000000,6.000000,1.000000,0.600000,0.120000,0.120000,1.000000,8.000000,0.150000,0.020000,0.010000,0.010000,0.100000,0.020000,0.050000,-0.050000,____#3
37,37,0.020000,6.000000,6.000000,6.000000,0.154100,0.020000,0.600000,6.000000,6.000000,1.000000,0.600000,0.120000,0.120000,1.000000,4.000000,0.200000,0.010000,0.100000,0.100000,0.200000,0.020000,0.050000,-0.050000,____#3
38,38,0.020000,6.000000,6.000000,6.000000,1.636000,0.020000,1.090000,6.000000,6.000000,1.000000,0.200000,0.100000,0.100000,0.000000,4.000000,0.270000,0.030000,1.000000,1.000000,0.160000,0.020000,0.100000,-0.100000,_____
39,39,0.020000,5.000000,5.000000,5.000000,4.722300,0.020000,0.830000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,4.000000,0.200000,0.020000,0.100000,0.100000,0.100000,0.020000,0.100000,-0.100000,____
