ID,Par_No,Trw,T5,T6,T7,Kr,Trp,Tw,Tw1,Tw2,Ks,T9,T10,T12,Kw,Kp,T1,T2,T13,T14,T3,T4,VSMAX,VSMIN,Note
305,305,0.020000,4.000000,4.000000,4.000000,0.136400,0.020000,0.450000,4.000000,4.000000,1.000000,0.500000,0.100000,0.100000,1.000000,3.000000,0.200000,0.020000,0.100000,0.100000,0.200000,0.020000,0.100000,-0.100000,__#1
306,306,0.020000,6.000000,6.000000,6.000000,0.192640,0.020000,1.000000,6.000000,6.000000,0.800000,0.200000,0.100000,0.100000,1.000000,2.000000,0.200000,0.020000,1.000000,1.000000,0.100000,0.020000,0.050000,-0.050000,___G1
307,307,0.020000,6.000000,6.000000,6.000000,0.257700,0.020000,0.450000,6.000000,6.000000,1.000000,0.200000,0.100000,0.100000,1.000000,6.000000,0.200000,0.020000,0.200000,0.020000,0.100000,0.020000,0.050000,-0.050000,
308,308,0.020000,6.000000,6.000000,6.000000,0.192640,0.020000,1.000000,6.000000,6.000000,1.000000,0.600000,0.120000,0.120000,1.000000,5.000000,0.200000,0.030000,1.000000,1.000000,0.200000,0.030000,0.050000,-0.050000,___G1
309,309,0.020000,6.000000,6.000000,6.000000,0.192640,0.020000,1.000000,6.000000,6.000000,1.000000,0.600000,0.120000,0.120000,1.000000,6.000000,0.220000,0.020000,1.000000,1.000000,0.220000,0.020000,0.050000,-0.050000,___G2
310,310,0.020000,4.000000,4.000000,4.000000,0.067470,0.020000,1.000000,4.000000,4.000000,1.000000,0.200000,0.100000,0.100000,1.000000,4.000000,0.220000,0.020000,1.000000,1.000000,0.220000,0.020000,0.050000,-0.050000,___G1
311,311,0.020000,4.000000,4.000000,4.000000,0.067470,0.020000,1.000000,4.000000,4.000000,1.000000,0.200000,0.100000,0.100000,1.000000,5.000000,0.220000,0.020000,1.000000,1.000000,0.220000,0.020000,0.050000,-0.050000,___G2
312,312,0.020000,5.000000,5.000000,5.000000,0.257700,0.020000,0.640000,5.000000,5.000000,1.000000,0.200000,0.100000,0.100000,1.000000,6.000000,0.210000,0.020000,0.100000,0.100000,0.210000,0.020000,0.050000,-0.050000,___G1
313,313,0.020000,5.000000,5.000000,5.000000,0.189800,0.020000,1.000000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,3.000000,0.200000,0.010000,1.000000,1.000000,0.200000,0.010000,0.050000,-0.050000,___GA
314,314,0.020000,6.000000,6.000000,6.000000,0.283330,0.020000,0.810000,6.000000,6.000000,1.000000,0.600000,0.120000,0.120000,1.000000,8.000000,0.210000,0.020000,0.100000,0.100000,0.210000,0.020000,0.050000,-0.050000,___G1
315,315,0.020000,6.000000,6.000000,6.000000,0.242700,0.020000,0.640000,6.000000,6.000000,1.000000,0.200000,0.100000,0.100000,1.000000,6.000000,0.160000,0.020000,0.100000,0.100000,0.160000,0.020000,0.050000,-0.050000,___G1
316,316,0.020000,5.000000,5.000000,5.000000,0.224200,0.020000,0.515000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,8.000000,0.060000,0.020000,2.000000,3.000000,0.400000,0.050000,0.050000,-0.050000,___G1
317,317,0.020000,6.000000,6.000000,6.000000,0.270000,0.020000,0.610000,6.000000,6.000000,1.000000,0.500000,0.100000,0.100000,1.000000,5.000000,0.200000,0.020000,0.100000,0.100000,0.330000,0.020000,0.050000,-0.050000,
318,318,0.020000,6.000000,6.000000,6.000000,0.144500,0.020000,0.450000,6.000000,6.000000,1.000000,0.200000,0.100000,0.100000,1.000000,7.000000,0.190000,0.020000,0.100000,0.100000,0.200000,0.020000,0.050000,-0.050000,___G6
319,319,0.020000,6.000000,6.000000,6.000000,0.283330,0.020000,0.640000,6.000000,6.000000,1.000000,0.200000,0.100000,0.100000,1.000000,7.000000,0.210000,0.020000,0.100000,0.100000,0.210000,0.020000,0.050000,-0.050000,___G1
320,320,0.020000,6.000000,6.000000,6.000000,0.149900,0.020000,0.660000,6.000000,6.000000,1.000000,0.600000,0.120000,0.120000,1.000000,4.000000,0.200000,0.030000,1.000000,1.000000,0.300000,0.030000,0.050000,-0.050000,
321,321,0.020000,6.000000,6.000000,6.000000,0.150000,0.020000,0.250000,6.000000,6.000000,1.000000,0.010000,0.100000,0.100000,1.000000,3.000000,0.370000,0.040000,0.100000,0.100000,0.370000,0.040000,0.050000,-0.050000,___G6
322,322,0.020000,6.000000,6.000000,6.000000,0.150000,0.020000,0.640000,6.000000,6.000000,1.000000,0.200000,0.100000,0.100000,1.000000,6.000000,0.170000,0.020000,0.100000,0.100000,0.170000,0.020000,0.050000,-0.050000,___G2
323,323,0.020000,6.000000,6.000000,6.000000,0.149900,0.020000,0.943000,6.000000,6.000000,1.000000,0.600000,0.120000,0.120000,1.000000,5.000000,0.170000,0.020000,0.100000,0.100000,0.170000,0.020000,0.050000,-0.050000,___G2
324,324,0.020000,6.000000,6.000000,6.000000,0.283000,0.020000,0.680000,6.000000,6.000000,1.000000,0.600000,0.120000,0.120000,1.000000,7.000000,0.160000,0.030000,0.100000,0.100000,0.160000,0.030000,0.050000,-0.050000,
325,325,0.020000,6.000000,6.000000,6.000000,0.283000,0.020000,0.680000,6.000000,6.000000,1.000000,0.600000,0.120000,0.120000,1.000000,6.000000,0.190000,0.030000,0.100000,0.100000,0.190000,0.030000,0.050000,-0.050000,
326,326,0.020000,6.000000,6.000000,6.000000,0.223800,0.020000,1.000000,6.000000,6.000000,1.000000,0.200000,0.100000,0.100000,1.000000,2.000000,0.200000,0.030000,0.100000,0.100000,0.200000,0.030000,0.050000,-0.050000,
327,327,0.020000,6.000000,6.000000,6.000000,0.223800,0.020000,1.000000,6.000000,6.000000,1.000000,0.200000,0.100000,0.100000,1.000000,3.000000,0.200000,0.020000,1.000000,1.000000,0.200000,0.030000,0.050000,-0.050000,___G2
328,328,0.020000,5.000000,5.000000,5.000000,0.256480,0.020000,1.000000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,4.000000,0.220000,0.010000,1.000000,1.000000,0.220000,0.020000,0.100000,-0.100000,___G1
329,329,0.020000,6.000000,6.000000,6.000000,0.090000,0.020000,0.800000,6.000000,6.000000,1.000000,0.200000,0.100000,0.100000,1.000000,3.500000,0.220000,0.020000,0.100000,0.100000,0.200000,0.020000,0.100000,-0.100000,___G1
330,330,0.020000,5.000000,5.000000,5.000000,0.042300,0.020000,1.000000,5.000000,5.000000,1.000000,0.200000,0.100000,0.100000,1.000000,3.000000,0.250000,0.010000,0.250000,0.020000,0.100000,0.100000,0.100000,-0.100000,___G4
331,331,0.020000,6.000000,6.000000,6.000000,0.089900,0.020000,0.635000,6.000000,6.000000,1.000000,0.500000,0.100000,0.100000,1.000000,6.000000,0.200000,0.010000,0.100000,0.100000,0.230000,0.020000,0.050000,-0.050000,_30_____
332,332,0.020000,5.000000,5.000000,5.000000,0.243000,0.020000,0.485000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,3.000000,0.230000,0.020000,0.100000,0.100000,0.300000,0.030000,0.050000,-0.050000,___G1
333,333,0.020000,5.000000,5.000000,5.000000,0.190510,0.020000,1.000000,5.000000,5.000000,1.000000,0.500000,0.100000,0.100000,1.000000,3.500000,0.200000,0.030000,0.200000,0.020000,0.010000,0.010000,0.050000,-0.050000,___G3
334,334,0.020000,5.000000,5.000000,5.000000,0.209000,0.020000,1.000000,5.000000,5.000000,1.000000,0.500000,0.100000,0.100000,1.000000,2.000000,0.200000,0.050000,0.200000,0.050000,1.000000,1.000000,0.050000,-0.050000,
335,335,0.020000,6.000000,6.000000,6.000000,0.257700,0.020000,0.860000,6.000000,6.000000,1.000000,0.600000,0.120000,0.120000,1.000000,3.000000,0.300000,0.020000,0.100000,0.100000,0.300000,0.020000,0.100000,-0.100000,___G1
336,336,0.020000,6.000000,6.000000,6.000000,0.257700,0.020000,0.860000,6.000000,6.000000,1.000000,0.600000,0.120000,0.120000,1.000000,3.000000,0.300000,0.020000,0.010000,0.010000,0.300000,0.020000,0.100000,-0.100000,___G1
337,337,0.020000,6.000000,6.000000,6.000000,0.257000,0.020000,0.568000,6.000000,6.000000,1.000000,0.600000,0.120000,0.120000,1.000000,5.000000,0.170000,0.020000,0.100000,0.100000,0.200000,0.030000,0.100000,-0.100000,___G1
338,338,0.020000,6.000000,6.000000,6.000000,0.257000,0.020000,0.886000,6.000000,6.000000,1.000000,0.600000,0.120000,0.120000,1.000000,4.000000,0.160000,0.020000,0.100000,0.100000,0.200000,0.030000,0.100000,-0.100000,___G1
339,339,0.020000,5.000000,5.000000,5.000000,0.283000,0.020000,0.600000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,3.000000,0.160000,0.020000,0.010000,0.010000,0.300000,0.030000,0.050000,-0.050000,
340,340,0.020000,4.000000,4.000000,4.000000,0.283000,0.020000,0.480000,4.000000,4.000000,1.000000,0.600000,0.120000,0.120000,1.000000,1.500000,0.390000,0.040000,0.120000,0.010000,0.300000,0.030000,0.050000,-0.050000,
341,341,0.020000,5.000000,5.000000,5.000000,0.283200,0.020000,0.552000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,5.000000,0.090000,0.010000,0.000000,0.000000,0.300000,0.030000,0.050000,-0.050000,_30_____
342,342,0.020000,5.000000,5.000000,5.000000,0.241000,0.020000,1.230000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,1.000000,0.190000,0.020000,0.010000,0.010000,0.200000,0.030000,0.050000,-0.050000,
343,343,0.020000,6.000000,6.000000,6.000000,0.140780,0.020000,1.000000,6.000000,6.000000,1.000000,0.600000,0.120000,0.120000,1.000000,6.000000,0.140000,0.020000,0.010000,0.010000,0.200000,0.300000,0.050000,-0.050000,___G1
344,344,0.020000,5.000000,5.000000,5.000000,0.242700,0.020000,0.573000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,5.000000,0.170000,0.020000,0.100000,0.100000,0.100000,0.020000,0.050000,-0.050000,
345,345,0.020000,6.000000,6.000000,6.000000,0.243000,0.020000,0.580000,6.000000,6.000000,1.000000,0.600000,0.120000,0.120000,1.000000,5.000000,0.140000,0.020000,0.010000,0.010000,0.200000,0.030000,0.050000,-0.050000,___GA
346,346,0.020000,5.000000,5.000000,5.000000,0.268800,0.020000,0.670000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,5.000000,0.090000,0.010000,0.100000,0.100000,0.400000,0.050000,0.100000,-0.100000,___G3
347,347,0.020000,5.000000,5.000000,5.000000,0.566600,0.020000,0.350000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,8.000000,0.170000,0.030000,0.100000,0.100000,0.200000,0.010000,0.100000,-0.100000,___G4
348,348,0.020000,6.000000,6.000000,6.000000,0.472000,0.020000,1.070000,6.000000,6.000000,1.000000,0.600000,0.120000,0.120000,1.000000,3.000000,0.200000,0.020000,0.010000,0.010000,0.100000,0.020000,0.050000,-0.050000,___G1
349,349,0.020000,5.000000,5.000000,5.000000,0.850000,0.020000,0.764000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,5.000000,0.110000,0.030000,0.100000,0.100000,0.220000,0.030000,0.050000,-0.050000,___G1
350,350,0.020000,5.000000,5.000000,5.000000,0.300000,0.020000,0.500000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,3.500000,0.200000,0.020000,0.100000,0.100000,0.220000,0.050000,0.100000,-0.100000,__#3
351,351,0.020000,5.000000,5.000000,5.000000,0.283300,0.020000,0.530000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,4.000000,0.350000,0.030000,0.100000,0.100000,0.200000,0.020000,0.050000,-0.050000,
352,352,0.020000,5.000000,5.000000,5.000000,0.090000,0.020000,0.522739,5.000000,5.000000,1.000000,0.200000,0.100000,0.100000,1.000000,2.500000,0.240000,0.020000,0.100000,0.100000,0.200000,0.020000,0.050000,-0.050000,____#5
353,353,0.020000,5.000000,5.000000,5.000000,0.090000,0.020000,0.523000,5.000000,5.000000,1.000000,0.200000,0.100000,0.100000,1.000000,6.000000,0.300000,0.020000,0.100000,0.100000,0.220000,0.030000,0.050000,-0.050000,24_25___
354,354,0.020000,5.000000,5.000000,5.000000,0.514700,0.020000,0.630000,5.000000,5.000000,1.000000,0.200000,0.100000,0.100000,1.000000,3.500000,0.200000,0.030000,1.000000,1.000000,0.160000,0.020000,0.100000,-0.100000,24_25___
355,355,0.020000,5.000000,5.000000,5.000000,0.257700,0.020000,0.710000,5.000000,5.000000,1.000000,0.200000,0.100000,0.100000,1.000000,5.000000,0.230000,0.040000,0.020000,0.020000,0.210000,0.030000,0.050000,-0.050000,24_25___
356,356,0.020000,5.000000,5.000000,5.000000,0.140625,0.020000,0.652070,5.000000,5.000000,1.000000,0.200000,0.100000,0.100000,1.000000,3.500000,0.240000,0.020000,0.100000,0.100000,0.200000,0.030000,0.050000,-0.050000,___#6-7
357,357,0.020000,5.000000,5.000000,5.000000,1.700000,0.020000,0.730000,5.000000,5.000000,1.000000,0.200000,0.100000,0.100000,1.000000,7.000000,0.250000,0.020000,1.000000,1.000000,0.160000,0.020000,0.050000,-0.050000,
358,358,0.020000,5.000000,5.000000,5.000000,1.000000,0.020000,0.620000,5.000000,5.000000,1.000000,0.200000,0.100000,0.100000,1.000000,12.000000,0.280000,0.030000,0.100000,0.100000,0.180000,0.030000,0.050000,-0.050000,24_25___
359,359,0.020000,5.000000,5.000000,5.000000,1.000000,0.020000,0.620000,5.000000,5.000000,1.000000,0.200000,0.100000,0.100000,1.000000,12.000000,0.320000,0.030000,0.100000,0.100000,0.180000,0.030000,0.050000,-0.050000,24_25___
360,360,0.020000,5.000000,5.000000,5.000000,0.242700,0.020000,0.650000,5.000000,5.000000,1.000000,0.200000,0.100000,0.100000,1.000000,7.000000,0.200000,0.020000,1.000000,1.000000,0.100000,0.040000,0.050000,-0.050000,24_25___
361,361,0.020000,5.000000,5.000000,5.000000,0.360000,0.020000,0.550000,5.000000,5.000000,1.000000,0.500000,0.100000,0.100000,1.000000,3.000000,0.300000,0.020000,0.100000,0.100000,0.200000,0.040000,0.050000,-0.050000,24_25___
362,362,0.020000,5.000000,5.000000,5.000000,0.360000,0.020000,0.550000,5.000000,5.000000,1.000000,0.500000,0.100000,0.100000,1.000000,3.500000,0.300000,0.025000,0.100000,0.100000,0.300000,0.040000,0.050000,-0.050000,24_25___
363,363,0.020000,5.000000,5.000000,5.000000,0.272500,0.020000,0.520000,5.000000,5.000000,1.000000,0.200000,0.100000,0.100000,1.000000,8.000000,0.300000,0.040000,0.100000,0.100000,0.200000,0.030000,0.050000,-0.050000,24_25___
364,364,0.020000,5.000000,5.000000,5.000000,0.272500,0.020000,0.520000,5.000000,5.000000,1.000000,0.200000,0.100000,0.100000,1.000000,8.000000,0.250000,0.020000,1.000000,1.000000,0.150000,0.040000,0.050000,-0.050000,24_25___
365,365,0.020000,5.000000,5.000000,5.000000,0.090000,0.020000,0.670000,5.000000,5.000000,1.000000,0.200000,0.100000,0.100000,1.000000,2.000000,0.360000,0.040000,1.000000,1.000000,0.300000,0.020000,0.050000,-0.050000,24_25___
366,366,0.020000,5.000000,5.000000,5.000000,0.090000,0.020000,0.520000,5.000000,5.000000,1.000000,0.200000,0.100000,0.100000,1.000000,9.000000,0.360000,0.020000,1.000000,1.000000,0.400000,0.020000,0.050000,-0.050000,24_25___
367,367,0.020000,5.000000,5.000000,5.000000,0.242857,0.020000,0.560000,5.000000,5.000000,1.000000,0.200000,0.100000,0.100000,1.000000,4.000000,0.150000,0.020000,0.100000,0.100000,0.180000,0.030000,0.050000,-0.050000,__#1
368,368,0.020000,5.000000,5.000000,5.000000,0.242720,0.020000,0.645000,5.000000,5.000000,1.000000,0.200000,0.100000,0.100000,1.000000,12.000000,0.200000,0.020000,0.100000,0.100000,0.100000,0.040000,0.050000,-0.050000,___
369,369,0.020000,5.000000,5.000000,5.000000,0.128571,0.020000,0.454000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,8.000000,2.000000,8.000000,0.500000,0.100000,0.240000,0.010000,0.100000,-0.100000,__#15
370,370,0.020000,5.000000,5.000000,5.000000,0.128571,0.020000,0.521000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,8.000000,2.000000,8.000000,0.500000,0.100000,0.240000,0.010000,0.100000,-0.100000,__#16
371,371,0.020000,5.000000,5.000000,5.000000,0.128571,0.020000,0.518000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,8.000000,2.000000,8.000000,0.500000,0.100000,0.240000,0.010000,0.100000,-0.100000,___#17
372,372,0.020000,5.000000,5.000000,5.000000,0.128571,0.020000,0.454000,5.000000,5.000000,1.000000,0.500000,0.100000,0.100000,1.000000,8.000000,2.000000,8.000000,0.500000,0.100000,0.240000,0.020000,0.100000,-0.100000,__#18
373,373,0.020000,5.000000,5.000000,5.000000,0.128571,0.020000,0.600000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,8.000000,2.000000,8.000000,0.300000,0.030000,0.240000,0.020000,0.100000,-0.100000,__#19
374,374,0.020000,5.000000,5.000000,5.000000,0.014440,0.020000,5.000000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,8.000000,2.000000,8.000000,0.500000,0.100000,0.240000,0.020000,0.100000,-0.100000,__20#22
375,375,0.020000,5.000000,5.000000,5.000000,0.128571,0.020000,0.620000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,12.000000,2.000000,8.300000,0.500000,0.100000,0.240000,0.020000,0.100000,-0.100000,__#21
376,376,0.020000,5.000000,5.000000,5.000000,0.128600,0.020000,0.620000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,12.000000,2.000000,8.300000,0.500000,0.100000,0.240000,0.020000,0.100000,-0.100000,__#22
377,377,0.020000,5.000000,5.000000,5.000000,0.128571,0.020000,0.560000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,13.300000,2.000000,8.300000,0.500000,0.100000,0.240000,0.020000,0.100000,-0.100000,___#23
378,378,0.020000,5.000000,5.000000,5.000000,0.128700,0.020000,0.560000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,13.300000,2.000000,8.300000,0.500000,0.100000,0.240000,0.020000,0.100000,-0.100000,__#24
379,379,0.020000,5.000000,5.000000,5.000000,0.128600,0.020000,0.561800,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,13.300000,2.000000,8.300000,0.500000,0.100000,0.240000,0.020000,0.100000,-0.100000,__#25
380,380,0.020000,5.000000,5.000000,5.000000,0.128600,0.020000,0.560000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,13.300000,2.000000,8.300000,0.500000,0.100000,0.240000,0.020000,0.100000,-0.100000,__#26
381,381,0.020000,6.000000,6.000000,6.000000,0.128570,0.020000,0.644000,6.000000,6.000000,1.000000,0.600000,0.120000,0.120000,1.000000,5.000000,0.240000,0.020000,0.200000,0.160000,0.210000,0.020000,0.050000,-0.050000,__#27
382,382,0.020000,6.000000,6.000000,6.000000,0.128570,0.020000,0.670000,6.000000,6.000000,1.000000,0.600000,0.120000,0.120000,1.000000,4.000000,0.500000,0.040000,0.100000,0.100000,0.200000,0.020000,0.050000,-0.050000,__#28
383,383,0.020000,5.000000,5.000000,5.000000,0.128571,0.020000,0.618000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,5.000000,0.300000,0.020000,1.000000,4.000000,0.400000,0.030000,0.050000,-0.050000,__#29
384,384,0.020000,6.000000,6.000000,6.000000,0.128571,0.020000,0.670000,6.000000,6.000000,1.000000,0.600000,0.120000,0.120000,1.000000,5.000000,0.150000,0.020000,0.100000,0.100000,0.200000,0.020000,0.050000,-0.050000,____30
385,385,0.020000,6.000000,6.000000,6.000000,0.128600,0.020000,0.670000,6.000000,6.000000,1.000000,0.600000,0.120000,0.120000,1.000000,5.000000,0.150000,0.020000,0.100000,0.100000,0.200000,0.020000,0.050000,-0.050000,____31
386,386,0.020000,6.000000,6.000000,6.000000,0.128600,0.020000,0.672900,6.000000,6.000000,1.000000,0.600000,0.120000,0.120000,1.000000,8.000000,0.230000,0.030000,0.100000,0.100000,0.200000,0.020000,0.100000,-0.100000,__#1
387,387,0.020000,6.000000,6.000000,6.000000,0.129000,0.020000,0.672900,6.000000,6.000000,1.000000,0.600000,0.120000,0.120000,1.000000,8.000000,0.230000,0.030000,1.000000,1.000000,0.200000,0.020000,0.100000,-0.100000,_30_____
388,388,0.020000,6.000000,6.000000,6.000000,0.128500,0.020000,0.672900,6.000000,6.000000,1.000000,0.600000,0.120000,0.120000,1.000000,8.000000,0.230000,0.030000,1.000000,1.000000,0.200000,0.020000,0.100000,-0.100000,__20#22
389,389,0.020000,6.000000,6.000000,6.000000,0.128600,0.020000,0.670000,6.000000,6.000000,1.000000,0.600000,0.120000,0.120000,1.000000,8.000000,0.230000,0.030000,1.000000,1.000000,0.200000,0.020000,0.100000,-0.100000,__20#22
390,390,0.020000,5.000000,5.000000,5.000000,0.195600,0.020000,0.563700,5.000000,5.000000,1.000000,0.200000,0.100000,0.100000,1.000000,3.000000,0.240000,0.020000,0.100000,0.100000,0.320000,0.030000,0.050000,-0.050000,24_25___
391,391,0.020000,5.000000,5.000000,5.000000,0.195600,0.020000,0.563700,5.000000,5.000000,1.000000,0.200000,0.100000,0.100000,1.000000,4.000000,0.240000,0.020000,0.100000,0.100000,0.320000,0.030000,0.050000,-0.050000,24_25___
392,392,0.020000,5.000000,5.000000,5.000000,0.283290,0.020000,0.620000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,3.000000,0.180000,0.020000,0.100000,0.100000,0.400000,0.010000,0.050000,-0.050000,___G4
393,393,0.020000,4.000000,4.000000,4.000000,0.284090,3.990000,0.570000,4.000000,4.000000,1.000000,0.190000,0.100000,0.100000,1.000000,3.000000,0.160000,0.020000,1.000000,1.000000,0.300000,0.040000,0.050000,-0.050000,___G1
394,394,0.020000,4.000000,4.000000,4.000000,0.284090,0.020000,0.570000,4.000000,4.000000,1.000000,0.190000,0.100000,0.100000,1.000000,3.000000,0.160000,0.020000,1.000000,1.000000,0.300000,0.040000,0.050000,-0.050000,___G2
395,395,0.020000,5.000000,5.000000,5.000000,0.257730,0.020000,0.836000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,4.000000,0.160000,0.020000,0.100000,0.100000,0.100000,0.010000,0.050000,-0.050000,___G1
396,396,0.020000,5.000000,5.000000,5.000000,0.629600,0.020000,0.500000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,5.000000,0.170000,0.020000,0.100000,0.100000,0.300000,0.030000,0.050000,-0.050000,___G1
397,397,0.020000,5.000000,5.000000,5.000000,0.283330,0.020000,0.610000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,4.000000,0.150000,0.020000,0.100000,0.100000,0.300000,0.030000,0.100000,-0.100000,___G1
398,398,0.020000,5.000000,5.000000,5.000000,0.289310,0.020000,1.000000,5.000000,5.000000,1.000000,0.200000,0.100000,0.100000,1.000000,5.000000,0.120000,0.020000,0.100000,0.100000,0.200000,0.030000,0.050000,-0.050000,___G1
399,399,0.020000,5.000000,5.000000,5.000000,0.250000,0.020000,0.476200,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,4.000000,0.150000,0.020000,0.100000,0.100000,0.300000,0.030000,0.100000,-0.100000,24_25___
400,400,0.020000,5.000000,5.000000,5.000000,0.268800,0.020000,0.710000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,4.000000,0.190000,0.020000,0.100000,0.100000,0.300000,0.030000,0.100000,-0.100000,24_25___
401,401,0.020000,5.000000,5.000000,5.000000,0.283290,0.020000,0.670000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,3.000000,0.160000,0.020000,0.100000,0.100000,0.300000,0.030000,0.100000,-0.100000,___G1
402,402,0.020000,5.000000,5.000000,5.000000,0.149925,0.020000,0.625000,5.000000,5.000000,1.000000,0.500000,0.100000,0.100000,1.000000,5.000000,0.300000,0.035000,0.100000,0.100000,0.200000,0.020000,0.050000,-0.050000,
403,403,0.020000,5.000000,5.000000,5.000000,0.149925,0.020000,0.625000,5.000000,5.000000,1.000000,0.500000,0.100000,0.100000,1.000000,3.000000,0.300000,0.035000,0.100000,0.100000,0.200000,0.020000,0.050000,-0.050000,
404,404,0.020000,5.000000,5.000000,5.000000,0.283000,0.020000,0.760000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,3.000000,0.230000,0.030000,0.100000,0.100000,0.300000,0.030000,0.100000,-0.100000,___G1
405,405,0.020000,5.000000,5.000000,5.000000,0.284091,0.020000,0.580000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,5.000000,0.090000,0.010000,0.100000,0.100000,0.300000,0.030000,0.100000,-0.100000,___G1
406,406,0.020000,4.000000,4.000000,4.000000,0.628930,0.020000,0.570000,4.000000,4.000000,1.000000,0.600000,0.120000,0.120000,1.000000,3.000000,0.300000,0.030000,0.100000,0.100000,0.200000,0.020000,0.050000,-0.050000,___G1
407,407,0.020000,6.000000,6.000000,6.000000,0.136400,0.020000,1.068000,6.000000,6.000000,1.000000,0.600000,0.120000,0.120000,1.000000,7.000000,0.200000,0.020000,0.100000,0.100000,0.200000,0.040000,0.100000,-0.100000,_31_____
408,408,0.020000,5.000000,5.000000,5.000000,1.600000,0.020000,0.625000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,6.000000,0.200000,0.020000,0.100000,0.100000,0.100000,0.020000,0.050000,-0.050000,___G1
409,409,0.020000,5.000000,5.000000,5.000000,0.240000,0.020000,0.680000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,4.000000,0.150000,0.020000,0.100000,0.100000,0.300000,0.030000,0.100000,-0.100000,___G1
410,410,0.020000,5.000000,5.000000,5.000000,0.242700,0.020000,0.914000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,4.000000,0.190000,0.020000,0.100000,0.100000,0.300000,0.030000,0.100000,-0.100000,
411,411,0.020000,5.000000,5.000000,5.000000,0.628930,0.020000,0.497000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,3.000000,0.170000,0.020000,0.100000,0.100000,0.300000,0.030000,0.050000,-0.050000,___G1
412,412,0.020000,5.000000,5.000000,5.000000,0.628930,0.020000,0.497000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,3.000000,0.190000,0.020000,0.000000,0.000000,0.200000,0.030000,0.050000,-0.050000,___G1
413,413,0.020000,5.000000,5.000000,5.000000,0.283290,0.020000,0.740000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,4.000000,0.160000,0.020000,0.100000,0.100000,0.300000,0.030000,0.050000,-0.050000,___G2
414,414,0.020000,5.000000,5.000000,5.000000,0.242700,0.020000,0.670000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,4.000000,0.190000,0.020000,0.100000,0.100000,0.300000,0.030000,0.050000,-0.050000,24_25___
415,415,0.020000,5.000000,5.000000,5.000000,0.242718,0.020000,0.840000,5.000000,5.000000,1.000000,0.200000,0.100000,0.100000,1.000000,4.000000,0.190000,0.020000,0.100000,0.100000,0.350000,0.030000,0.050000,-0.050000,
416,416,0.020000,5.000000,5.000000,5.000000,0.241000,0.020000,0.680000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,4.000000,0.150000,0.020000,0.100000,0.100000,0.300000,0.030000,0.050000,-0.050000,
