ID,Par_No,k_rotate,k_power,k_voltage,t_measure,t_washout1,t_washout2,t1_shift,t2_shift,t3_shift,t4_shift,t5_shift,t6_shift,vs_max,vs_min,Note
181,181,0.000000,0.793200,0.000000,0.020000,4.000000,999.989990,0.150000,3.000000,0.100000,0.080000,1.000000,1.000000,0.050000,-0.050000,___03
182,182,0.000000,0.793200,0.000000,0.020000,4.000000,999.989990,0.140000,1.400000,0.100000,0.020000,1.000000,1.000000,0.050000,-0.050000,___04
183,183,0.000000,0.460000,0.000000,0.020000,2.750000,2.750000,0.000000,0.020000,0.350000,1.250000,0.100000,0.100000,0.050000,-0.050000,___1_5
184,184,0.000000,0.708000,0.000000,0.020000,10.000000,10.000000,2.000000,8.000000,1.000000,8.000000,0.080000,0.070000,0.050000,-0.050000,___02
185,185,0.000000,0.510638,0.000000,0.020000,6.000000,9999.000000,0.300000,5.000000,0.300000,0.030000,0.100000,0.100000,0.050000,-0.050000,
186,186,0.000000,0.085106,0.000000,0.020000,6.000000,9999.000000,0.300000,5.000000,0.300000,0.030000,0.100000,0.100000,0.050000,-0.050000,
187,187,0.000000,0.623290,0.000000,0.020000,6.000000,9999.000000,0.250000,5.000000,0.100000,0.010000,0.500000,0.500000,0.050000,-0.050000,
188,188,0.000000,0.567000,0.000000,0.020000,6.000000,9999.000000,0.250000,5.000000,0.100000,0.010000,0.100000,0.100000,0.050000,-0.050000,
189,189,0.000000,0.682000,0.000000,0.020000,6.000000,9999.000000,0.330000,3.500000,0.200000,0.030000,0.100000,0.100000,0.050000,-0.050000,
190,190,0.000000,1.133000,0.000000,0.020000,6.000000,9999.000000,0.200000,9.000000,0.350000,0.030000,0.800000,0.800000,0.050000,-0.050000,
191,191,0.000000,0.425000,0.000000,0.020000,6.000000,9999.000000,0.300000,4.500000,0.300000,0.020000,0.800000,0.800000,0.050000,-0.050000,
192,192,0.000000,0.728000,0.000000,0.020000,8.000000,9999.000000,0.300000,4.700000,0.170000,0.030000,0.010000,0.010000,0.100000,-0.100000,____#5
193,193,0.000000,0.436893,0.000000,0.020000,6.000000,9999.000000,0.400000,6.000000,0.180000,0.030000,0.100000,0.100000,0.050000,-0.050000,
194,194,0.000000,1.133100,0.000000,0.020000,1.500000,99999.000000,0.150000,4.500000,0.200000,0.080000,0.800000,1.200000,0.050000,-0.050000,___1-2G
195,195,0.000000,25.500000,0.000000,0.020000,6.000000,999999.000000,0.210000,7.000000,0.100000,0.020000,1.000000,1.000000,3.000000,-3.000000,___2
196,196,0.000000,0.607000,0.000000,0.020000,6.000000,99999.000000,0.200000,7.000000,0.200000,0.030000,0.100000,0.100000,0.050000,-0.050000,____#1
197,197,0.000000,0.354000,0.000000,0.018000,5.500000,99999.000000,0.100000,0.020000,0.400000,9.000000,0.300000,0.030000,0.050000,-0.050000,__#2#1
198,198,0.000000,0.425000,0.000000,0.020000,6.000000,999999.000000,0.400000,7.000000,0.300000,0.030000,0.100000,0.100000,0.050000,-0.050000,__#1
199,199,0.000000,16.190001,0.000000,0.020000,6.000000,9999.000000,0.260000,7.000000,0.200000,0.030000,1.000000,1.000000,0.100000,-0.100000,____#1
200,200,0.000000,40.000000,0.000000,0.020000,6.000000,99999.000000,0.260000,7.000000,0.200000,0.030000,0.100000,0.100000,0.100000,-0.100000,___2G
201,201,0.000000,17.000000,0.000000,0.020000,7.000000,9999.000000,0.230000,8.000000,0.250000,0.030000,1.000000,1.000000,0.100000,-0.100000,___#1#2
202,202,0.000000,0.085000,0.000000,0.020000,5.000000,99999.000000,0.500000,8.000000,0.400000,0.020000,1.000000,1.000000,0.050000,-0.050000,____#3
