ID,Par_No,Ap,Bp,Cp,Fp,Np,Aq,Bq,Cq,Fq,Nq,Note
1,2,0.0000,1.0000,0.0000,0.0000,2.0000,0.0000,1.0000,0.0000,0.0000,2.0000,
2,14,0.0000,0.5000,0.5000,0.0000,2.0000,0.0000,3.0000,-2.0000,0.0000,2.0000,
