id,nd
1,2177
2,2179
3,2181
4,2183
5,2355
6,2357
7,2359
8,2361
9,2363
10,2365
11,2367
12,2369
13,2303
14,2305
15,2307
16,2309
17,2311
18,2313
19,2315
20,2317
21,2371
22,2373
23,2375
24,2377
25,2379
26,2381
27,2383
28,2385
29,2387
30,12537
31,12539
32,12541
33,12543
34,12545
35,12547
36,19838
37,19843
38,2634
39,2642
40,2644
41,2716
42,2718
43,17620
44,17622
45,17628
46,17630
47,2788
48,2790
49,2799
50,2838
51,2839
52,2846
53,2847
54,3093
55,3095
56,3097
57,3099
58,3101
59,3133
60,3199
61,3217
62,3219
63,3221
64,3233
65,3235
66,3237
67,3239
68,3253
69,3255
70,3267
71,3269
72,3271
73,3339
74,3341
75,3422
76,3426
77,3432
78,3434
79,3436
80,3527
81,3529
82,3537
83,3627
84,3637
85,3639
86,3641
87,3945
88,3947
89,3959
90,18033
91,18035
92,18039
93,5777
94,5779
95,5791
96,19467
97,18437
98,18439
99,4845
100,4847
101,4853
102,4855
103,5159
104,5161
105,5180
106,5198
107,7710
108,7712
109,21330
110,21331
111,21332
112,5381
113,5383
114,5488
115,5490
116,5407
117,5648
118,5654
119,37748
120,37749
121,37750
122,5684
123,5686
124,26784
125,26785
126,26786
127,26787
128,26788
129,19521
130,19525
131,26789
132,26790
133,20888
134,20884
135,19907
136,19911
137,20015
138,20019
139,2676
140,2678
141,2688
142,2971
143,2973
144,3067
145,3069
146,3699
147,3701
148,3843
149,3845
150,4247
151,4249
152,4510
153,4512
154,4522
155,4969
156,4971
157,4989
158,4991
159,5073
160,5063
161,5065
162,5071
163,5049
164,5051
165,5083
166,5085
167,5093
168,5164
169,5174
170,5176
171,5178
172,19822
173,19826
174,3861
175,3863
176,4363
177,4365
178,4375
179,5852
180,5854
181,5864
182,5370
183,5372
184,5378
185,5900
186,5910
187,5912
188,5914
189,5924
190,5973
191,5975
192,5985
193,5987
194,6011
195,6013
196,6039
197,6041
198,6047
199,6049
200,6073
201,6075
202,6085
203,7771
204,7773
205,7775
206,6125
207,6127
208,6103
209,6263
210,6265
211,6165
212,6167
213,6179
214,6273
215,6275
216,6113
217,6313
218,6314
219,6345
220,6347
221,6357
222,7577
223,7579
224,7639
225,7647
226,8974
227,8976
228,8978
229,7625
230,7637
231,7649
232,7657
233,19797
234,20049
235,20053
236,20061
237,20057
238,7720
239,7722
240,7728
241,7730
242,7834
243,7832
244,7828
245,7830
246,7810
247,7826
248,19814
249,19818
250,7925
251,7927
252,19470
253,19472
254,19474
255,19476
256,19774
257,26791
258,37751
259,7929
260,19934
261,7932
262,7933
263,7938
264,7943
265,7959
266,7960
267,19985
268,19989
269,19991
270,19793
271,8002
272,8004
273,8006
274,8012
275,8010
276,20111
277,7701
278,7702
279,8018
280,8020
281,8022
282,8024
283,8037
284,8039
285,8041
286,8043
287,8099
288,8101
289,7804
290,7806
291,7808
292,8129
293,8130
294,8201
295,8205
296,8207
297,8209
298,8211
299,8213
300,20428
301,6215
302,6217
303,6219
304,6221
305,6223
306,6261
307,7698
308,7700
309,8284
310,8286
311,8287
312,7753
313,7761
314,7763
315,780
316,783
317,7635
318,8768
319,8770
320,21063
321,23018
322,8786
323,8788
324,8790
325,5182
326,9021
327,21123
328,9009
329,9011
330,9013
331,9015
332,9201
333,9203
334,9231
335,9233
336,9243
337,9309
338,9311
339,9313
340,8029
341,8031
342,8033
343,8035
344,21421
345,9348
346,9350
347,9422
348,9420
349,9554
350,9555
351,9558
352,9559
353,9645
354,9646
355,9698
356,9700
357,9702
358,9748
359,9750
360,9752
361,9822
362,9824
363,9826
364,9968
365,9966
366,9964
367,10052
368,10054
369,10069
370,10071
371,10079
372,10081
373,10087
374,10089
375,21852
376,21853
377,21854
378,21855
379,9325
380,10109
381,10111
382,10364
383,10365
384,10504
385,10506
386,10520
387,10522
388,10570
389,10560
390,10564
391,10568
392,10572
393,10598
394,10600
395,22171
396,10616
397,10618
398,26792
399,26793
400,22115
401,10634
402,10588
403,10590
404,10635
405,10636
406,10646
407,10647
408,10656
409,10664
410,10666
411,10676
412,1072
413,1071
414,10690
415,10692
416,10694
417,10696
418,10698
419,10705
420,10707
421,10709
422,10711
423,10717
424,10719
425,10718
426,11659
427,10736
428,10734
429,10732
430,10738
431,10754
432,10740
433,10742
434,10778
435,10779
436,10783
437,10784
438,22308
439,10786
440,10788
441,10790
442,26794
443,26795
444,26796
445,10832
446,10834
447,22351
448,22353
449,10840
450,10842
451,22187
452,26797
453,26798
454,26799
455,26800
456,10846
457,11098
458,10850
459,10848
460,10862
461,10864
462,10866
463,10868
464,10874
465,10876
466,10878
467,10884
468,10888
469,10890
470,10896
471,10900
472,10902
473,10906
474,37752
475,37753
476,10908
477,10910
478,10936
479,10932
480,10934
481,10948
482,10947
483,10952
484,10950
485,22489
486,22487
487,22488
488,10981
489,10980
490,10982
491,10979
492,10991
493,10999
494,11001
495,11011
496,11013
497,11017
498,11015
499,11019
500,11029
501,11031
502,22562
503,22560
504,11045
505,11047
506,11043
507,11055
508,11065
509,11063
510,11068
511,11069
512,11072
513,11073
514,11059
515,22608
516,11093
517,22609
518,11095
519,11124
520,11116
521,11118
522,11120
523,11122
524,11130
525,11132
526,11136
527,11175
528,11177
529,11179
530,11160
531,11161
532,11163
533,22650
534,22652
535,22654
536,11202
537,11196
538,11198
539,11200
540,11205
541,11206
542,11219
543,11221
544,11223
545,11225
546,11233
547,11235
548,11237
549,10542
550,10544
551,10546
552,10548
553,11260
554,11261
555,11262
556,11288
557,11290
558,11292
559,11270
560,11272
561,11294
562,11296
563,11303
564,11305
565,11307
566,11309
567,11313
568,11311
569,22783
570,11339
571,11341
572,22789
573,11345
574,11343
575,11356
576,11357
577,11364
578,11378
579,11374
580,11376
581,11388
582,11390
583,11392
584,11404
585,11400
586,11402
587,11410
588,11412
589,11416
590,11418
591,11422
592,11420
593,11424
594,11442
595,11444
596,11446
597,11448
598,11460
599,11461
600,11462
601,22934
602,22932
603,11479
604,11477
605,11543
606,11541
607,11553
608,22974
609,11555
610,11561
611,11581
612,11580
613,11578
614,10582
615,10584
616,11587
617,11589
618,23013
619,11596
620,11597
621,11598
622,11615
623,11617
624,11619
625,11621
626,11623
627,11625
628,11627
629,11629
630,11630
631,11631
632,11638
633,11640
634,11648
635,11650
636,11658
637,11661
638,11663
639,11665
640,11672
641,11673
642,11691
643,11693
644,11697
645,11695
646,11733
647,11731
648,11716
649,11717
650,11729
651,11727
652,11751
653,11749
654,11747
655,11759
656,11761
657,23150
658,23151
659,23152
660,23153
661,23162
662,23163
663,23164
664,11796
665,11798
666,23181
667,26801
668,23193
669,26802
670,23201
671,11846
672,11848
673,11850
674,11863
675,11864
676,11890
677,11886
678,11888
679,11904
680,11902
681,11912
682,11911
683,11922
684,11924
685,11931
686,11932
687,23329
688,23330
689,12066
690,12067
691,12068
692,12098
693,12100
694,23460
695,12216
696,12218
697,37754
698,37755
699,37756
700,12322
701,12324
702,12326
703,12356
704,12358
705,12372
706,12474
707,12476
708,12478
709,12480
710,23603
711,23607
