index,sub
8001,981
8002,982
8141,1009
8142,1010
8151,1009
8152,1010
8231,1020
8232,1023
8241,1020
8242,1022
8251,1024
8252,1025
8261,1024
8262,1025
8271,1075
8272,1076
8281,1075
8282,1076
8291,1075
8292,1076
8301,1073
8302,1074
8311,1077
8312,1078
8321,1079
8322,1081
8341,1095
8342,1094
8351,1095
8352,1094
8361,1026
8362,1038
8371,1026
8372,1038
8381,1026
8382,1027
8401,1104
8402,1097
8411,1104
8412,1097
8421,1101
8422,1102
8431,1109
8432,1108
8441,1109
8442,1108
8451,1111
8452,1110
8461,1111
8462,1110
8481,1115
8482,1114
8491,1115
8492,1114
8501,1115
8502,1114
8511,1116
8512,1117
8521,1118
8522,1119
8531,1118
8532,1119
8541,1122
8542,1138
8551,1122
8552,1138
8561,1126
8562,1125
8571,1126
8572,1125
8581,1128
8582,1127
8591,1128
8592,1127
8601,1129
8602,1131
8621,1137
8622,1134
8631,1136
8632,1140
8641,1136
8642,1140
8651,1136
8652,1140
8661,1142
8662,1143
8671,1145
8672,1146
8681,1141
8682,1144
8691,1141
8692,1144
8721,1153
8722,1154
8731,1153
8732,1154
8741,1153
8742,1154
8751,1153
8752,1154
8761,1155
8762,1156
8771,1155
8772,1156
8781,1155
8782,1156
8791,1155
8792,1157
8801,1098
8802,1099
8811,1029
8812,1030
8831,1031
8832,1030
8841,1031
8842,1030
8851,1163
8852,1164
8861,1166
8862,1165
8871,1169
8872,1170
8881,575
8882,574
8891,575
8892,574
8901,1172
8902,1171
8911,1172
8912,1171
8921,1176
8922,1175
8931,1176
8932,1175
8941,1086
8942,1089
8951,1180
8952,1179
8961,1180
8962,1179
8971,1178
8972,1177
8981,1182
8982,1183
8991,1182
8992,1183
9001,1184
9002,1185
9011,1184
9012,1185
9021,1187
9022,1186
9031,1187
9032,1186
9041,1191
9042,1188
9061,1192
9062,1193
9071,1196
9072,1197
9081,1198
9082,1195
9091,1198
9092,1195
9101,1200
9102,1199
9111,1200
9112,1199
9121,1203
9122,1202
9131,1205
9132,1206
9141,1205
9142,1206
9151,1207
9152,1208
9171,1212
9172,1213
9181,1221
9182,1222
9191,1224
9192,1225
9201,1209
9202,1226
9211,1227
9212,1229
9231,1219
9232,1230
9241,1219
9242,1231
9251,1231
9252,1230
9261,1235
9262,1234
9271,1239
9272,1241
9291,1196
9292,1197
9301,1238
9302,1237
9311,1238
9312,1237
9321,1238
9322,1237
9331,1238
9332,1237
9341,1238
9342,1237
9351,1238
9352,1237
9361,1238
9362,1237
9381,1242
9382,1244
9391,1246
9392,1245
9401,1247
9402,1068
