CN,sub
21444,572
17893,128
21428,128
21464,890
21463,890
21465,890
17654,78
18649,293
18650,293
21477,893
18656,294
21489,897
21488,897
21497,899
50280,454
21527,904
21525,904
21524,904
21526,904
50281,454
21566,906
21565,906
21576,909
18676,297
21574,909
21582,912
21585,912
18704,301
18700,301
20639,253
18868,253
17647,78
17625,72
20688,357
21604,917
21605,917
21608,917
21609,917
18766,108
18765,108
21620,920
21621,920
17927,46
17926,46
17885,127
18196,189
21628,924
18136,179
18135,179
21643,926
21644,926
21656,68
21677,169
21676,169
21671,932
21670,932
21680,935
21681,935
21684,935
21682,935
18832,105
18831,105
21692,938
21694,938
21695,938
18947,217
18945,217
19349,420
21709,942
19373,426
19375,426
21135,537
21136,537
50284,943
50285,943
21724,946
21725,946
21720,946
21723,946
21728,379
21729,949
21730,949
21738,951
21737,951
18804,202
18944,202
21744,94
18665,295
18664,295
17852,119
17853,119
21160,539
21159,539
19746,220
21777,957
21778,957
21776,957
18145,181
18144,181
19309,181
20488,397
19089,397
21808,964
21807,964
18556,265
19506,462
17408,15
17423,15
21796,959
21788,959
21832,972
21824,968
21299,551
21297,551
19428,434
21889,981
21888,981
19400,428
21902,983
18264,201
21903,984
21904,984
21907,985
21911,985
17788,106
17789,106
21931,991
21934,991
21446,235
24624,235
21927,991
20859,395
19227,395
18129,178
23323,178
21924,202
21965,202
21914,988
21915,988
21384,560
21975,994
21972,994
21974,994
21971,994
21256,547
21255,547
21978,999
21977,999
21987,1000
21986,1000
21984,1000
21985,1000
21993,1005
21994,1005
22002,1006
22003,1006
22026,768
22044,1013
22045,1013
22046,1013
22047,1013
18176,185
22066,1018
22067,1018
18177,185
50287,74
21810,964
22076,294
22075,294
22094,1021
22054,993
50290,119
50295,88
50296,88
28022,38
28023,38
17380,1
17375,1
17382,1
17389,1
7849,470
7850,470
7851,470
50294,127
22909,1218
22619,1219
22800,1220
22801,1220
50298,428
50300,301
50302,301
50304,1323
50306,217
50308,1210
23084,1091
23101,1349
50310,1349
50157,7
50159,8
23165,1366
23173,1363
23335,284
23221,1166
21594,299
21593,299
20633,297
20632,297
21572,909
21573,909
23301,1395
23302,1395
17420,15
17421,15
23341,1403
18221,192
23430,192
20922,423
23467,984
23399,1018
21884,980
23423,1412
23424,1412
18053,166
18054,166
23412,1413
23413,1413
23525,97
23524,97
18336,215
23426,1412
23447,1425
23448,1425
23453,1458
23454,1458
19705,73
23425,1412
23422,1412
22102,1022
18263,201
23477,984
50312,241
50314,241
21351,552
21350,552
21349,552
19686,203
21387,560
21388,560
23552,1486
23548,1486
50315,381
23516,1487
17870,124
23536,1491
23537,1491
18629,287
18630,287
23556,1501
23557,1501
21397,180
23581,180
23584,1507
23585,1507
23635,1514
23636,1514
21381,560
50318,378
21144,533
21145,533
19036,366
19035,366
23570,1505
23571,1505
17412,15
17413,15
17416,15
23689,1527
23688,1527
23700,1522
19778,140
23342,1403
23764,1527
23796,1581
23795,1581
23778,1576
50320,399
50322,399
23810,1584
23812,1584
21386,560
23860,1595
23861,1595
23866,1595
23867,1595
18500,251
18501,251
23876,1601
23880,1601
21786,958
21785,958
23892,1606
23893,1606
23898,1603
23922,1458
23921,1458
20255,376
24012,1604
18763,50
24010,1604
23963,1620
23964,1620
21789,959
23969,1630
23970,1630
23971,1630
23972,1630
23977,1633
21427,128
24020,1640
50324,185
24600,1818
50326,1581
24048,1647
21928,991
19316,416
24053,1650
24056,1650
17578,61
18677,297
24060,1653
24388,199
24085,1662
24086,1662
18372,222
18373,222
24093,1665
24094,1665
24004,1617
24003,1617
18599,280
24132,1672
24133,1672
26586,1395
18504,251
18503,251
24144,1679
24145,1679
17373,1
18815,265
20250,268
18987,268
24212,1696
24211,1696
24109,385
24108,385
18362,217
18360,217
24247,1710
50328,386
20327,271
19201,378
19202,378
24258,1713
50330,45
50332,45
18860,263
18859,263
24329,1514
24328,1514
24225,1700
24295,137
20929,439
21139,537
21140,537
24310,1724
24311,1724
24319,1762
24324,1763
24365,1735
24366,1735
24347,140
19088,397
24349,1738
23043,1334
21571,909
24253,1710
19315,416
24380,1749
24398,1752
24397,1752
24395,1752
24396,1752
50344,906
17784,105
17785,105
50346,1757
50348,1757
24430,1768
24431,1768
24438,1771
24440,1771
24439,1771
24602,1818
24252,1710
24456,1777
24462,1778
24475,1783
24501,49
24502,49
24562,1794
24561,1794
24549,1792
50350,1792
50352,2452
50354,2452
24525,1795
24524,1795
24540,1377
23235,1377
24542,1799
24543,1799
25879,961
20477,463
24553,1806
24556,1806
24632,1810
24596,1815
24594,1815
24610,1819
24609,1819
23944,1616
26721,1616
24628,1823
24635,1824
24634,1824
23102,1349
24690,1790
24691,1790
24678,1793
24630,1810
24716,1753
50356,1799
24725,1848
24726,1848
24732,1851
24751,1856
50358,1856
1643,1859
1645,1862
24757,1863
24759,1863
23808,1576
24733,1851
50360,208
24785,1659
24794,1877
24793,1877
24801,1880
24802,1880
24803,1880
50362,1884
50363,1884
19717,454
19718,454
24813,1886
24814,1886
24959,1889
24960,1889
24823,1890
24824,1890
24842,1710
24860,1899
24360,1738
24889,1906
24888,1906
24890,1906
24887,1906
24919,958
20362,157
23908,1576
20788,274
20789,274
25049,1823
24974,1924
26349,2320
26350,2320
19710,241
19709,241
50364,397
25028,1935
25033,1936
24361,1738
18025,159
21312,273
21872,273
20839,393
18976,364
24798,1877
7958,479
25186,1969
25182,1970
25185,1413
24170,979
21562,906
21561,906
25223,281
18294,208
25248,1977
25229,1978
50368,1977
25241,1981
25239,1981
21956,986
25272,1668
25284,1992
25283,1992
21473,893
21474,893
25281,1992
25282,1992
25303,1999
25302,1999
50370,1999
24241,399
25352,1771
25359,2010
17995,154
17996,154
25306,1999
25307,1999
24057,1650
24677,1836
23113,1354
19496,455
25374,378
17956,144
17958,144
18357,217
18359,217
19130,410
19132,410
25419,2018
25418,2018
20961,424
23931,1617
25451,2036
25452,2036
17816,45
17815,45
25491,959
21563,906
50372,2049
25510,1576
25135,88
17711,88
18094,176
18092,176
25538,1710
25512,2055
25511,2055
25513,2055
19179,390
19180,390
25540,2065
25544,2065
25542,2065
25545,2065
50374,1710
25514,2055
25642,2074
25646,2095
25645,2095
19031,94
25735,1471
25668,130
25680,2126
50376,489
20960,424
23501,1480
25710,2134
25711,2134
25720,1859
24548,1792
24659,2452
25778,1581
25842,2160
25843,240
25877,2167
25874,2167
25882,2172
25883,2172
25889,2172
25887,2172
25881,2172
25880,2172
25846,2162
25891,2175
25892,2175
25896,2175
25895,2175
50378,51
24244,399
24245,399
23255,1384
25915,2187
18123,177
25911,2184
50380,1710
50382,525
50384,169
50386,893
50388,525
25986,2194
25987,2194
19290,399
19293,399
19289,399
21799,961
24799,1877
18493,250
18492,250
25308,1999
26060,1999
26059,2229
26053,2229
26061,1999
18119,177
18118,177
24415,1757
18631,287
24414,1757
18632,287
26119,2244
26118,2244
26109,2247
26112,2247
26110,2247
26113,2247
26117,2247
26127,2255
26128,2255
16357,2252
16359,2252
16353,2252
16355,2252
16351,2252
25245,1977
19690,385
21745,385
50389,462
50390,462
26665,179
18140,179
19133,410
18526,260
25700,2129
23431,192
26201,2269
26205,2269
26203,2269
26207,2269
17562,41
17564,41
20263,376
19188,391
26246,2279
26247,2279
26254,2282
26412,2285
26413,2285
26257,2290
25553,2066
25556,2066
23117,1352
26267,2293
26268,2293
26291,1760
26312,1877
26322,2082
26352,2320
26351,2320
26346,1969
50392,1471
50394,1471
26357,2323
1996,2324
1996,2324
26361,2323
26258,2290
26387,2330
26383,2330
26014,204
18284,204
26389,2331
26392,2331
18080,170
18079,170
25644,2095
25643,2095
26451,2129
26467,2341
24921,1911
26469,2341
18990,369
18993,369
26487,2349
26486,2349
20976,429
26744,199
19464,447
26540,2368
26542,2368
26559,2371
24724,1799
26558,2371
18886,207
26579,951
26580,951
17589,44
26587,2377
24152,1581
23144,1359
24878,1517
11825,1371
11831,1371
11833,1371
11827,1371
