index,sub
4981,296
4982,701
4983,700
4991,375
4992,702
4993,703
5001,375
5002,702
5003,703
5031,186
5032,704
5033,705
5041,186
5042,704
5043,705
5051,383
5052,707
5053,708
5061,383
5062,707
5063,708
5091,67
5092,711
5093,710
5101,202
5102,715
5103,714
5111,202
5112,715
5113,714
5121,64
5122,713
5123,712
5131,64
5132,713
5133,712
5141,169
5142,717
5143,716
5151,169
5152,717
5153,716
5161,386
5162,719
5163,718
5171,386
5172,719
5173,718
5181,77
5182,720
5183,721
5191,77
5192,720
5193,721
5221,380
5222,725
5223,726
5231,215
5232,727
5233,728
5241,463
5242,730
5243,729
5251,463
5252,730
5253,729
5261,379
5262,731
5263,732
5271,379
5272,731
5273,732
5281,394
5282,733
5283,734
5291,101
5292,736
5293,735
5301,101
5302,736
5303,735
5311,140
5312,723
5313,724
5321,140
5322,723
5323,724
5331,147
5332,737
5333,738
5341,147
5342,737
5343,738
5351,197
5352,739
5353,740
5361,197
5362,739
5363,740
5371,45
5372,741
5373,742
5381,45
5382,741
5383,742
5391,261
5392,1495
5393,743
5401,261
5402,1495
5403,743
5411,261
5412,1495
5413,743
5421,261
5422,1495
5423,743
5491,73
5492,681
5493,682
5501,54
5502,687
5503,688
5511,89
5512,747
5513,748
5521,89
5522,747
5523,748
5531,89
5532,747
5533,748
5541,447
5542,749
5543,750
5551,447
5552,749
5553,750
5561,204
5562,745
5563,746
5571,204
5572,745
5573,746
5591,260
5592,753
5593,754
5601,260
5602,753
5603,754
5611,82
5612,755
5613,756
5621,82
5622,755
5623,756
5631,298
5632,752
5633,757
5641,298
5642,752
5643,757
5651,265
5652,758
5653,759
5661,265
5662,758
5663,759
5671,443
5672,575
5673,574
5681,443
5682,575
5683,574
5691,119
5692,760
5693,761
5701,119
5702,760
5703,761
5711,184
5712,763
5713,764
5721,184
5722,763
5723,764
5731,392
5732,765
5733,766
5741,392
5742,765
5743,766
5751,137
5752,770
5753,771
5761,185
5762,772
5763,773
5771,97
5772,776
5773,777
5781,44
5782,778
5783,779
5791,44
5792,778
5793,779
5801,79
5802,780
5803,781
5811,79
5812,780
5813,781
5821,297
5822,782
5823,783
5831,297
5832,782
5833,783
5841,299
5842,784
5843,785
5851,253
5852,786
5853,787
5861,173
5862,788
5863,789
5871,173
5872,788
5873,789
5881,252
5882,790
5883,791
5891,252
5892,790
5893,791
5901,384
5902,774
5903,775
5911,384
5912,774
5913,775
5921,198
5922,792
5923,793
5931,198
5932,792
5933,793
5941,76
5942,794
5943,797
5951,76
5952,794
5953,797
5961,247
5962,795
5963,796
5971,247
5972,795
5973,796
5981,263
5982,798
5983,799
5991,263
5992,798
5993,799
6001,232
6002,1494
6003,802
6011,232
6012,1494
6013,802
6021,294
6022,800
6023,801
6031,294
6032,800
6033,801
6041,141
6042,803
6043,804
6051,221
6052,889
6053,806
6061,221
6062,889
6063,806
6071,365
6072,807
6073,808
6081,365
6082,807
6083,808
6121,111
6122,812
6123,811
6131,365
6132,807
6133,808
6141,511
6142,768
6143,813
6151,511
6152,768
6153,813
6161,511
6162,768
6163,813
6171,511
6172,768
6173,813
6181,59
6182,814
6183,815
6191,274
6192,767
6193,816
6201,274
6202,767
6203,816
6231,63
6232,818
6233,819
6241,63
6242,818
6243,819
6271,207
6272,820
6273,821
6281,208
6282,823
6283,824
6291,208
6292,823
6293,824
6301,393
6302,825
6303,826
6311,393
6312,825
6313,826
6341,280
6342,762
6343,828
6351,396
6352,830
6353,829
6361,396
6362,830
6363,829
6371,395
6372,599
6373,600
6381,395
6382,599
6383,600
6391,400
6392,831
6393,832
6401,400
6402,831
6403,832
6411,68
6412,833
6413,834
6471,370
6472,835
6473,836
6481,370
6482,835
6483,836
6491,370
6492,835
6493,836
6501,423
6502,837
6503,838
6511,423
6512,837
6513,838
6521,366
6522,839
6523,840
6531,366
6532,839
6533,840
6541,371
6542,841
6543,842
6551,371
6552,841
6553,842
6561,371
6562,841
6563,842
6571,241
6572,685
6573,686
6581,427
6582,845
6583,846
6591,427
6592,845
6593,2359
6601,432
6602,849
6603,850
6611,432
6612,849
6613,850
6621,414
6622,847
6623,848
6631,414
6632,847
6633,848
6641,60
6642,594
6643,593
6651,415
6652,851
6653,852
6661,415
6662,851
6663,852
6671,421
6672,843
6673,844
6681,421
6682,843
6683,844
6691,422
6692,853
6693,854
6701,412
6702,856
6703,855
6711,412
6712,856
6713,855
6721,412
6722,856
6723,855
6741,422
6742,853
6743,854
6751,411
6752,857
6753,858
6761,97
6762,776
6763,777
6771,215
6772,727
6773,728
6781,413
6782,859
6783,860
6791,413
6792,859
6793,860
6801,525
6802,861
6803,862
6811,525
6812,861
6813,862
6821,290
6822,625
6823,623
6831,427
6832,845
6833,2359
6841,73
6842,681
6843,682
6851,416
6852,863
6853,864
6861,416
6862,863
6863,864
6871,410
6872,865
6873,866
6881,410
6882,865
6883,866
6891,410
6892,865
6893,866
6901,68
6902,833
6903,834
6911,420
6912,867
6913,868
6921,420
6922,867
6923,868
6931,111
6932,812
6933,811
6941,284
6942,769
6943,870
6951,284
6952,769
6953,870
6961,253
6962,786
6963,787
6971,128
6972,680
6973,679
6981,77
6982,720
6983,721
6991,532
6992,871
6993,872
7001,532
7002,871
7003,872
7011,533
7012,873
7013,874
7021,533
