id,name,volt,I_node,J_node,I_nd,J_nd,I_id,J_id
序号,串补名,电压等级,I端所在拓扑节点,J端所在拓扑节点,I端物理节点,J端物理节点,I端所属厂站索引,J端所属厂站索引
1,西南.普提站/500kV.百普线补装置,500,西南.普提站.500.19751,西南.普提站.500.2181,4456,4455,201,201
2,西南.普提站/500kV.榄普二线串补装置,500,西南.普提站.500.19752,西南.普提站.500.2181,4458,4457,201,201
3,西南.普提站/500kV.榄普一线串补装置,500,西南.普提站.500.19753,西南.普提站.500.2181,4460,4459,201,201
