name,CN_I,CN_J,TxI,TxJ
四川.白马新厂/22#变压器,2582,26785,1321,1322
四川.方山厂/61#变压器,17792,19814,1331,1332
四川.方山厂/62#变压器,17793,19818,1341,1342
四川.广安厂/31#变压器,3295,26786,1351,1352
四川.广安厂/32#变压器,3297,26787,1361,1362
四川.黄桷庄厂/21#变压器,3509,26788,1371,1372
四川.黄桷庄厂/22#变压器,3511,26791,1381,1382
四川.金堂厂/61#变压器,3709,19521,1391,1392
四川.金堂厂/62#变压器,3711,19525,1401,1402
四川.江油新厂/31#变压器,3663,26789,1411,1412
四川.江油新厂/32#变压器,3665,26790,1421,1422
四川.临巴厂/31#变压器,18065,20888,1431,1432
四川.临巴厂/32#变压器,18063,20884,1441,1442
四川.岷江厂/11#变压器,5703,19907,1451,1452
四川.岷江厂/12#变压器,5705,19911,1461,1462
四川.攀煤电厂/12#变压器,18225,19461,1481,1482
四川.太白厂/31#变压器,18393,20015,1491,1492
四川.太白厂/32#变压器,18396,20019,1501,1502
四川.云潭厂/31#变压器,5532,19793,1511,1512
四川.宝州厂/1#变压器,2680,396,1521,1522
四川.宝州厂/2#变压器,2682,397,1531,1532
四川.二道桥厂/1#变压器,3071,400,1551,1552
四川.栗子坪厂/1#变压器,3847,18040,1561,1562
四川.栗子坪厂/2#变压器,3849,18041,1571,1572
四川.木座厂/1#变压器,4251,403,1581,1582
四川.木座厂/2#变压器,4253,404,1591,1592
四川.沙坪厂/1#变压器,4514,497,1601,1602
四川.沙坪厂/2#变压器,4516,496,1611,1612
四川.田湾河厂/1#变压器,4973,18448,1621,1622
四川.田湾河厂/2#变压器,4975,18449,1631,1632
四川.铁厂河厂/1#变压器,4993,410,1641,1642
四川.万和厂/1#变压器,5067,412,1651,1652
四川.万和厂/2#变压器,5069,413,1661,1662
四川.瓦屋山厂/11#变压器,5053,18472,1671,1672
四川.瓦屋山厂/12#变压器,5055,18473,1681,1682
四川.威州厂/1#变压器,5087,416,1691,1692
四川.东岳厂/31#变压器,3053,19822,1711,1712
四川.东岳厂/32#变压器,3055,19826,1721,1722
四川.冷竹关厂/2#变压器,3835,18034,1731,1732
四川.冷竹关厂/3#变压器,3837,18038,1741,1742
四川.联补厂/1#变压器,3865,3860,1751,1752
四川.联补厂/2#变压器,3867,18046,1761,1762
四川.偏桥厂/1#变压器,4367,18228,1771,1772
四川.偏桥厂/2#变压器,4369,18229,1781,1782
四川.偏桥厂/3#变压器,4371,18231,1791,1792
四川.龙头石厂/1#变压器,18774,21108,1801,1802
四川.龙头石厂/2#变压器,18776,21109,1811,1812
四川.五一桥厂/1#变压器,5856,503,1821,1822
四川.五一桥厂/2#变压器,5858,502,1831,1832
四川.金窝厂/1#变压器,5902,18790,1841,1842
四川.金窝厂/2#变压器,5904,19495,1851,1852
四川.柳坪厂/2#变压器,5918,509,1861,1862
四川.圣达厂/1#变压器,5977,517,1871,1872
四川.圣达厂/2#变压器,5979,516,1881,1882
四川.白水河厂/1#变压器,18820,519,1891,1892
四川.洪一厂/1#变压器,6043,18833,1901,1902
四川.久铁厂/1#变压器,6051,6046,1911,1912
四川.久铁厂/2#变压器,6053,18835,1921,1922
四川.雅都厂/1#变压器,6077,522,1931,1932
四川.雅都厂/2#变压器,6079,521,1941,1942
四川.南坪厂/1#变压器,6097,764,1951,1952
四川.南坪厂/2#变压器,6099,763,1961,1962
四川.仁宗海厂/1#变压器,6105,18853,1971,1972
四川.仁宗海厂/2#变压器,6107,18854,1981,1982
四川.阴坪厂/1#变压器,6129,528,1991,1992
四川.阴坪厂/2#变压器,6131,527,2001,2002
四川.宝兴厂/1#变压器,18875,18874,2011,2012
四川.宝兴厂/2#变压器,18876,18878,2021,2022
四川.宝兴厂/3#变压器,18877,18882,2031,2032
四川.瀑布沟厂/1#变压器,18906,18901,2041,2042
四川.瀑布沟厂/2#变压器,18917,18902,2051,2052
四川.瀑布沟厂/3#变压器,18913,18903,2061,2062
四川.瀑布沟厂/4#变压器,18924,18904,2071,2072
四川.瀑布沟厂/5#变压器,18920,18931,2081,2082
四川.瀑布沟厂/6#变压器,18926,18932,2091,2092
四川.巴郎口厂/1#变压器,6267,535,2101,2102
四川.巴郎口厂/2#变压器,6269,534,2111,2112
四川.地洛厂/1#变压器,6277,18934,2121,2122
四川.地洛厂/2#变压器,6279,18935,2131,2132
四川.狮子坪厂/1#变压器,6349,18963,2141,2142
四川.狮子坪厂/2#变压器,6351,18964,2151,2152
四川.狮子坪厂/3#变压器,6353,9828,2161,2162
四川.深溪沟厂/1#变压器,18974,749,2171,2172
四川.深溪沟厂/2#变压器,18978,750,2181,2182
四川.桃坪厂/1#变压器,7011,19236,2191,2192
四川.桃坪厂/2#变压器,7013,19237,2201,2202
四川.耿达厂/1#变压器,7581,682,2211,2212
四川.江边厂/1#变压器,7611,8997,2221,2222
四川.江边厂/2#变压器,7613,8999,2231,2232
四川.江边厂/3#变压器,7615,21182,2241,2242
四川.晴朗厂/1#变压器,7627,19432,2261,2262
四川.晴朗厂/2#变压器,7629,19433,2271,2272
