name,CN_I,CN_J,TxI,TxJ
四川.拉马厂/#1302#箱变,41963,41964,14991,14992
四川.拉马厂/#1303#箱变,41965,41966,15001,15002
四川.拉马厂/#1304#箱变,41967,41968,15011,15012
四川.拉马厂/#1305#箱变,41969,41970,15021,15022
四川.拉马厂/#1306#箱变,41971,41972,15031,15032
四川.拉马厂/#1307#箱变,41973,41974,15041,15042
四川.拉马厂/#1308#箱变,41975,41976,15051,15052
四川.拉马厂/#1309#箱变,41977,41978,15061,15062
四川.拉马厂/#1310#箱变,41979,41980,15071,15072
四川.巴中/2#站用变,41981,41982,15081,15082
四川.巴中/0#站用变,41983,41984,15091,15092
四川.巴中/1#站用变,41985,41986,15101,15102
四川.斜卡厂/1#变压器,13681,24298,15111,15112
四川.斜卡厂/2#变压器,13683,1534,15121,15122
四川.斜卡厂/3#变压器,13685,1535,15131,15132
四川.汉阳厂/#1变压器,24345,24332,15211,15212
四川.汉阳厂/#2变压器,24346,24333,15221,15222
四川.三奥厂/#1变压器,24351,24353,15231,15232
四川.卧罗桥厂/1#变压器,13778,1549,15301,15302
四川.卧罗桥厂/2#变压器,13776,1550,15311,15312
四川.登棚沟厂/1#变压器,13804,1555,15341,15342
四川.川威余热厂/2#变压器,24405,1559,15371,15372
四川.伊达厂/#1601箱变,41987,41988,15401,15402
四川.伊达厂/#1602箱变,41989,41990,15411,15412
四川.伊达厂/#1603箱变,41991,41992,15421,15422
四川.伊达厂/#1604箱变,41993,41994,15431,15432
四川.伊达厂/#1605箱变,41995,41996,15441,15442
四川.伊达厂/#1606箱变,41997,41998,15451,15452
四川.伊达厂/#1607箱变,41999,42000,15461,15462
四川.伊达厂/#1608箱变,42001,42002,15471,15472
四川.伊达厂/#1609箱变,42003,42004,15481,15482
四川.伊达厂/#1610箱变,42005,42006,15491,15492
四川.伊达厂/#1611箱变,42007,42008,15501,15502
四川.伊达厂/#1701箱变,42009,42010,15511,15512
四川.伊达厂/#1702箱变,42011,42012,15521,15522
四川.伊达厂/#1703箱变,42013,42014,15531,15532
四川.伊达厂/#1704箱变,42015,42016,15541,15542
四川.伊达厂/#1705箱变,42017,42018,15551,15552
四川.伊达厂/#1706箱变,42019,42020,15561,15562
四川.伊达厂/#1707箱变,42021,42022,15571,15572
四川.伊达厂/#1708箱变,42023,42024,15581,15582
四川.伊达厂/#1709箱变,42025,42026,15591,15592
四川.伊达厂/#1710箱变,42027,42028,15601,15602
四川.伊达厂/#1711箱变,42029,42030,15611,15612
四川.伊达厂/#1612箱变,42031,42032,15621,15622
四川.伊达厂/#1901箱变,42033,42034,15631,15632
四川.伊达厂/#1902箱变,42035,42036,15641,15642
四川.伊达厂/#1903箱变,42037,42038,15651,15652
四川.伊达厂/#1904箱变,42039,42040,15661,15662
四川.伊达厂/#1905箱变,42041,42042,15671,15672
四川.伊达厂/#1906箱变,42043,42044,15681,15682
四川.伊达厂/#1907箱变,42045,42046,15691,15692
四川.伊达厂/#1908箱变,42047,42048,15701,15702
四川.伊达厂/#1909箱变,42049,42050,15711,15712
四川.伊达厂/#1910箱变,42051,42052,15721,15722
四川.开坪厂/#1变压器,13852,13853,15731,15732
四川.永宁河厂/#1变压器,13895,13898,15781,15782
四川.永宁河厂/#2变压器,13897,13900,15791,15792
四川.长柏厂/#2变压器,13913,13918,15801,15802
四川.长柏厂/#1变压器,13915,13916,15811,15812
四川.长柏厂/#3变压器,13926,13925,15821,15822
四川.甲米河二级厂/#1变压器,13935,24463,15831,15832
四川.甲米河一级厂/#1变压器,13949,1578,15851,15852
四川.甲米河一级厂/#2变压器,13951,1579,15861,15862
四川.安谷厂/#1变压器,13971,24482,15871,15872
四川.安谷厂/#2变压器,13973,24483,15881,15882
四川.安谷厂/#3变压器,13975,24484,15891,15892
四川.安谷厂/#4变压器,13977,24485,15901,15902
四川.安谷厂/#5变压器,13989,13986,15911,15912
四川.新都桥/1#站用变,42053,42054,16011,16012
四川.新都桥/2#站用变,42055,42056,16021,16022
四川.新都桥/0#站用变,42057,42058,16031,16032
四川.金河厂/1#变压器,14103,1601,16041,16042
四川.金河厂/2#变压器,14105,1602,16051,16052
四川.金河厂/3#变压器,14107,1603,16061,16062
四川.金河厂/4#变压器,14109,1604,16071,16072
四川.金河厂/5#变压器,14135,24577,16081,16082
四川.金河厂/6#变压器,14137,24584,16091,16092
四川.乡城/1#站用变,42059,42060,16121,16122
四川.巴塘/#1站用变,42061,42062,16151,16152
四川.巴塘/#0站用变,42063,42064,16161,16162
四川.广草坪厂/1#变压器,24648,14234,16171,16172
四川.拉拉山厂/2#变压器,14247,24660,16191,16192
四川.哈雅沟厂/1#变压器,14357,1631,16201,16202
四川.哈雅沟厂/2#变压器,14359,1632,16211,16212
四川.康托厂/1#变压器,14367,24718,16221,16222
四川.琦丰厂/1#变压器,14401,14402,16261,16262
西藏.铜业/1#变压器,14422,27817,16291,16292
四川.关州厂/#1变压器,14435,24764,16321,16322
四川.关州厂/#2变压器,14437,24765,16331,16332
四川.关州厂/#3变压器,14439,24766,16341,16342
四川.火烈风电厂/#1变压器,24780,14450,16351,16352
四川.火烈风电厂/#1101箱变,42113,42114,16361,16362
四川.火烈风电厂/#1102箱变,42115,42116,16371,16372
四川.火烈风电厂/#1103箱变,42117,42118,16381,16382
四川.火烈风电厂/#1104箱变,42119,42120,16391,16392
四川.火烈风电厂/#1105箱变,42121,42122,16401,16402
四川.火烈风电厂/#1106箱变,42123,42124,16411,16412
四川.火烈风电厂/#1107箱变,42125,42126,16421,16422
四川.火烈风电厂/#1108箱变,42127,42128,16431,16432
四川.火烈风电厂/#1109箱变,42129,42130,16441,16442
四川.火烈风电厂/#1110箱变,42131,42132,16451,16452
四川.火烈风电厂/#1201箱变,42133,42134,16461,16462
四川.火烈风电厂/#1202箱变,42135,42136,16471,16472
四川.火烈风电厂/#1203箱变,42137,42138,16481,16482
四川.火烈风电厂/#1204箱变,42139,42140,16491,16492
四川.火烈风电厂/#1205箱变,42141,42142,16501,16502
四川.火烈风电厂/#1206箱变,42143,42144,16511,16512
四川.火烈风电厂/#1207箱变,42145,42146,16521,16522
四川.火烈风电厂/#1208箱变,42147,42148,16531,16532
四川.火烈风电厂/#1209箱变,42149,42150,16541,16542
四川.火烈风电厂/#1210箱变,42151,42152,16551,16552
四川.火烈风电厂/#1211箱变,42153,42154,16561,16562
四川.火烈风电厂/#1212箱变,42155,42156,16571,16572
四川.火烈风电厂/#1301箱变,42157,42158,16581,16582
四川.火烈风电厂/#1302箱变,42159,42160,16591,16592
四川.火烈风电厂/#1303箱变,42161,42162,16601,16602
四川.火烈风电厂/#1304箱变,42163,42164,16611,16612
四川.火烈风电厂/#1305箱变,42165,42166,16621,16622
四川.火烈风电厂/#1306箱变,42167,42168,16631,16632
四川.火烈风电厂/#1307箱变,42169,42170,16641,16642
四川.火烈风电厂/#1308箱变,42171,42172,16651,16652
四川.火烈风电厂/#1309箱变,42173,42174,16661,16662
四川.火烈风电厂/#1310箱变,42175,42176,16671,16672
四川.火烈风电厂/#1311箱变,42177,42178,16681,16682
四川.伊达厂/2#变压器,24787,14461,16691,16692
四川.伊达厂/#2201箱变,42065,42066,16701,16702
四川.伊达厂/#2208箱变,42067,42068,16711,16712
四川.伊达厂/#2101箱变,42069,42070,16721,16722
四川.伊达厂/#2108箱变,42071,42072,16731,16732
四川.伊达厂/#2202箱变,42073,42074,16741,16742
四川.伊达厂/#2203箱变,42075,42076,16751,16752
四川.伊达厂/#2204箱变,42077,42078,16761,16762
四川.伊达厂/#2205箱变,42079,42080,16771,16772
四川.伊达厂/#2206箱变,42081,42082,16781,16782
四川.伊达厂/#2207箱变,42083,42084,16791,16792
四川.伊达厂/#2102箱变,42085,42086,16801,16802
四川.伊达厂/#2103箱变,42087,42088,16811,16812
四川.伊达厂/#2104箱变,42089,42090,16821,16822
四川.伊达厂/#2105箱变,42091,42092,16831,16832
四川.伊达厂/#2106箱变,42093,42094,16841,16842
四川.伊达厂/#2107箱变,42095,42096,16851,16852
四川.伊达厂/#2301箱变,42097,42098,16861,16862
四川.伊达厂/#2302箱变,42099,42100,16871,16872
四川.伊达厂/#2303箱变,42101,42102,16881,16882
四川.伊达厂/#2304箱变,42103,42104,16891,16892
四川.伊达厂/#2305箱变,42105,42106,16901,16902
四川.伊达厂/#2306箱变,42107,42108,16911,16912
四川.伊达厂/#2307箱变,42109,42110,16921,16922
四川.伊达厂/#2308箱变,42111,42112,16931,16932
四川.芳地坪厂/#1201箱变,42179,42180,16941,16942
四川.芳地坪厂/1#变压器,24790,14470,16951,16952
四川.芳地坪厂/#1202箱变,42181,42182,16961,16962
四川.芳地坪厂/#1203箱变,42183,42184,16971,16972
四川.芳地坪厂/#1204箱变,42185,42186,16981,16982
四川.芳地坪厂/#1205箱变,42187,42188,16991,16992
四川.芳地坪厂/#1206箱变,42189,42190,17001,17002
四川.芳地坪厂/#1207箱变,42191,42192,17011,17012
四川.芳地坪厂/#1301箱变,42193,42194,17021,17022
四川.芳地坪厂/#1302箱变,42195,42196,17031,17032
四川.芳地坪厂/#1303箱变,42197,42198,17041,17042
四川.芳地坪厂/#1304箱变,42199,42200,17051,17052
四川.芳地坪厂/#1305箱变,42201,42202,17061,17062
四川.芳地坪厂/#1306箱变,42203,42204,17071,17072
四川.芳地坪厂/#1307箱变,42205,42206,17081,17082
四川.芳地坪厂/#1308箱变,42207,42208,17091,17092
四川.芳地坪厂/#1309箱变,42209,42210,17101,17102
四川.芳地坪厂/#1310箱变,42211,42212,17111,17112
四川.芳地坪厂/#1311箱变,42213,42214,17121,17122
四川.芳地坪厂/#1312箱变,42215,42216,17131,17132
四川.芳地坪厂/#1313箱变,42217,42218,17141,17142
四川.树堡光伏厂/#2SVG等值变压器,24800,14490,17361,17362
西藏.高争/1#变压器,14504,27825,17391,17392
四川.三峰厂/1#变压器,14544,14545,17451,17452
四川.白乌光伏厂/1#变压器,24844,14557,17471,17472
四川.铜陵厂/1#变压器,24850,1666,17481,17482
四川.铜陵厂/2#变压器,24849,1667,17491,17492
四川.唐元厂/1#变压器,24863,1669,17501,17502
四川.唐元厂/2#变压器,24862,1670,17511,17512
四川.出龙沟厂/2#变压器,14598,14599,17521,17522
四川.卡基娃厂/1#变压器,14626,1680,17551,17552
四川.卡基娃厂/3#变压器,14630,1679,17561,17562
四川.卡基娃厂/5#变压器,14646,14647,17581,17582
四川.溪古厂/1#变压器,14657,1684,17591,17592
四川.溪古厂/2#变压器,14659,1685,17601,17602
四川.溪古厂/3#变压器,14661,1686,17611,17612
四川.达拉寨光伏厂/1#变压器,24874,28001,17621,17622
四川.国如厂/1#变压器,24938,24939,17721,17722
四川.梭罗沟厂/2#变压器,24947,24949,17731,17732
四川.梭罗沟厂/3#变压器,24948,1691,17741,17742
四川.广武厂/1#变压器,14703,14704,17771,17772
四川.花海光伏厂/#313SVG变压器,24973,28002,17781,17782
四川.腾达厂/1#变压器,14717,24977,17791,17792
四川.湾滩厂/1#变压器,14727,24988,17801,17802
四川.湾滩厂/2#变压器,14729,24989,17811,17812
四川.若水厂/1#变压器,14743,25007,17821,17822
四川.若水厂/2#变压器,14745,25008,17831,17832
四川.若水厂/3#变压器,14747,25009,17841,17842
四川.若水厂/4#变压器,14749,25010,17851,17852
四川.野牛厂/3#变压器,14776,25037,17871,17872
四川.野牛厂/4#变压器,14778,25038,17881,17882
四川.色玉厂/1#变压器,42309,42310,17891,17892
四川.万家山厂/#314变压器,14787,28003,17901,17902
四川.拉角沟厂/#2变压器,14797,14806,17921,17922
四川.拉角沟厂/#3变压器,14799,14808,17931,17932
四川.大岗山厂/1#变压器,25083,25099,17951,17952
四川.大岗山厂/2#变压器,25078,25094,17961,17962
四川.大岗山厂/3#变压器,25074,25089,17971,17972
四川.大岗山厂/4#变压器,25072,25084,17981,17982
四川.威澳厂/1#变压器,25106,14857,17991,17992
四川.官帽舟厂/1#变压器,25116,25121,18001,18002
四川.官帽舟厂/3#变压器,14873,14874,18021,18022
四川.斯乡龙光伏厂/1#变压器,25137,14885,18031,18032
四川.枕头坝厂/1#变压器,25145,25149,18041,18042
四川.枕头坝厂/2#变压器,25146,25150,18051,18052
四川.枕头坝厂/3#变压器,25147,25151,18061,18062
四川.枕头坝厂/4#变压器,25148,25152,18071,18072
四川.古学厂/1#变压器,25169,1725,18081,18082
四川.火烈风电厂/#1501箱变,42311,42312,18091,18092
四川.火烈风电厂/#1502箱变,42313,42314,18101,18102
四川.火烈风电厂/#1503箱变,42315,42316,18111,18112
四川.火烈风电厂/#1504箱变,42317,42318,18121,18122
四川.火烈风电厂/#1505箱变,42319,42320,18131,18132
四川.火烈风电厂/#1506箱变,42321,42322,18141,18142
四川.火烈风电厂/#1507箱变,42323,42324,18151,18152
四川.火烈风电厂/#1508箱变,42325,42326,18161,18162
四川.火烈风电厂/#1401箱变,42327,42328,18171,18172
四川.火烈风电厂/#1402箱变,42329,42330,18181,18182
四川.火烈风电厂/#1403箱变,42331,42332,18191,18192
四川.火烈风电厂/#1404箱变,42333,42334,18201,18202
四川.火烈风电厂/#1405箱变,42335,42336,18211,18212
四川.火烈风电厂/#1406箱变,42337,42338,18221,18222
四川.火烈风电厂/#1407箱变,42339,42340,18231,18232
四川.火烈风电厂/#1408箱变,42341,42342,18241,18242
四川.火烈风电厂/#1601箱变,42343,42344,18251,18252
四川.火烈风电厂/#1602箱变,42345,42346,18261,18262
四川.火烈风电厂/#1603箱变,42347,42348,18271,18272
四川.火烈风电厂/#1604箱变,42349,42350,18281,18282
四川.火烈风电厂/#1605箱变,42351,42352,18291,18292
四川.火烈风电厂/#1606箱变,42353,42354,18301,18302
四川.火烈风电厂/#1607箱变,42355,42356,18311,18312
四川.火烈风电厂/#1608箱变,42357,42358,18321,18322
四川.火烈风电厂/#1609箱变,42359,42360,18331,18332
四川.三地风电厂/#1变压器,25187,25191,18341,18342
四川.三地风电厂/#2变压器,25188,25190,18351,18352
四川.干坝子风电厂/1#变压器,25251,15018,18431,18432
四川.干坝子风电厂/314#变压器,25257,25254,18441,18442
四川.干坝子风电厂/315#变压器,25258,25255,18451,18452
四川.娘拥厂/1#变压器,15039,1736,18461,18462
四川.娘拥厂/2#变压器,15037,1737,18471,18472
四川.干坝子风电厂/316#变压器,25273,25256,18481,18482
四川.北松厂/1#变压器,15055,15056,18491,18492
四川.黄金坪厂/1#变压器,25316,25320,18551,18552
四川.黄金坪厂/2#变压器,25317,25321,18561,18562
四川.黄金坪厂/3#变压器,25318,25322,18571,18572
四川.黄金坪厂/5#变压器,15131,25350,18591,18592
四川.黄金坪厂/6#变压器,15133,25351,18601,18602
四川.红和风电厂/1#变压器,25354,15153,18611,18612
四川.瓦古脚水电站/1#变压器,15159,25362,18621,18622
四川.火烈风电厂/#2变压器,25371,15171,18631,18632
四川.火烈风电厂/#2101箱变,42363,42364,18641,18642
四川.火烈风电厂/#2102箱变,42365,42366,18651,18652
四川.火烈风电厂/#2103箱变,42367,42368,18661,18662
四川.火烈风电厂/#2104箱变,42369,42370,18671,18672
四川.火烈风电厂/#2105箱变,42371,42372,18681,18682
四川.火烈风电厂/#2106箱变,42373,42374,18691,18692
四川.火烈风电厂/#2107箱变,42375,42376,18701,18702
四川.火烈风电厂/#2108箱变,42377,42378,18711,18712
四川.火烈风电厂/#2109箱变,42379,42380,18721,18722
四川.火烈风电厂/#2201箱变,42381,42382,18731,18732
四川.火烈风电厂/#2202箱变,42383,42384,18741,18742
四川.火烈风电厂/#2203箱变,42385,42386,18751,18752
四川.火烈风电厂/#2204箱变,42387,42388,18761,18762
四川.火烈风电厂/#2205箱变,42389,42390,18771,18772
四川.火烈风电厂/#2206箱变,42391,42392,18781,18782
四川.火烈风电厂/#2207箱变,42393,42394,18791,18792
四川.火烈风电厂/#2208箱变,42395,42396,18801,18802
四川.火烈风电厂/#2301箱变,42397,42398,18811,18812
四川.火烈风电厂/#2302箱变,42399,42400,18821,18822
四川.火烈风电厂/#2303箱变,42401,42402,18831,18832
四川.火烈风电厂/#2304箱变,42403,42404,18841,18842
四川.火烈风电厂/#2305箱变,42405,42406,18851,18852
四川.火烈风电厂/#2306箱变,42407,42408,18861,18862
四川.火烈风电厂/#2307箱变,42409,42410,18871,18872
四川.火烈风电厂/#2308箱变,42411,42412,18881,18882
四川.火烈风电厂/#324SVG箱变,15173,15177,18891,18892
四川.火烈风电厂/#325SVG箱变,15176,15179,18901,18902
四川.德昌风电厂/4#变压器,15196,15200,18931,18932
四川.德昌风电厂/341#变压器,15199,28005,18941,18942
四川.德昌风电厂/3201#箱变,42413,42414,18951,18952
四川.德昌风电厂/3202#箱变,42415,42416,18961,18962
四川.德昌风电厂/3203#箱变,42417,42418,18971,18972
四川.德昌风电厂/3204#箱变,42419,42420,18981,18982
四川.德昌风电厂/3205#箱变,42421,42422,18991,18992
四川.德昌风电厂/3206#箱变,42423,42424,19001,19002
四川.德昌风电厂/3207#箱变,42425,42426,19011,19012
四川.德昌风电厂/3208#箱变,42427,42428,19021,19022
四川.德昌风电厂/3209#箱变,42429,42430,19031,19032
四川.德昌风电厂/3210#箱变,42431,42432,19041,19042
四川.德昌风电厂/3302#箱变,42433,42434,19051,19052
四川.德昌风电厂/3303#箱变,42435,42436,19061,19062
四川.德昌风电厂/3304#箱变,42437,42438,19071,19072
四川.德昌风电厂/3305#箱变,42439,42440,19081,19082
四川.德昌风电厂/3306#箱变,42441,42442,19091,19092
四川.德昌风电厂/3307#箱变,42443,42444,19101,19102
四川.德昌风电厂/3308#箱变,42445,42446,19111,19112
四川.德昌风电厂/3309#箱变,42447,42448,19121,19122
四川.德昌风电厂/3301#箱变,42449,42450,19131,19132
四川.德昌风电厂/4201#箱变,42451,42452,19141,19142
四川.德昌风电厂/4202#箱变,42453,42454,19151,19152
四川.德昌风电厂/4301#箱变,42455,42456,19161,19162
四川.德昌风电厂/4302#箱变,42457,42458,19171,19172
四川.德昌风电厂/4303#箱变,42459,42460,19181,19182
四川.德昌风电厂/4304#箱变,42461,42462,19191,19192
四川.德昌风电厂/4305#箱变,42463,42464,19201,19202
四川.德昌风电厂/4306#箱变,42465,42466,19211,19212
四川.德昌风电厂/4307#箱变,42467,42468,19221,19222
四川.德昌风电厂/4203#箱变,42469,42470,19231,19232
四川.德昌风电厂/4205#箱变,42471,42472,19241,19242
四川.德昌风电厂/4206#箱变,42473,42474,19251,19252
四川.德昌风电厂/4207#箱变,42475,42476,19261,19262
四川.德昌风电厂/4208#箱变,42477,42478,19271,19272
四川.德昌风电厂/4209#箱变,42479,42480,19281,19282
四川.德昌风电厂/4210#箱变,42481,42482,19291,19292
四川.德昌风电厂/4211#箱变,42483,42484,19301,19302
四川.德昌风电厂/4204#箱变,42485,42486,19311,19312
四川.广都/0#站用变,42487,42488,19361,19362
四川.广都/1#站用变,42489,42490,19371,19372
四川.广都/2#站用变,42491,42492,19381,19382
四川.大德厂/1#变压器,15320,15321,19391,19392
四川.卓坤厂/1#变压器,25652,15331,19401,19402
四川.卓坤厂/#1SVG变压器,25425,15335,19411,19412
四川.上石盘厂/1#变压器,25437,25438,19421,19422
四川.硕淉厂/1#变压器,15340,1772,19431,19432
四川.纳日/1#站用变,42493,42494,19471,19472
四川.纳日/2#站用变,42495,42496,19481,19482
四川.纳日/0#站用变,42497,42498,19491,19492
四川.兴泸厂/1#变压器,25468,15405,19501,19502
四川.兴泸厂/2#变压器,25467,15406,19511,19512
四川.立洲厂/1#变压器,25481,25477,19521,19522
四川.立洲厂/2#变压器,25482,25478,19531,19532
四川.立洲厂/4#变压器,15432,15433,19551,19552
四川.攀钢电厂/31#变压器,15431,1787,19561,19562
四川.陈边/1#变压器,15437,15434,19571,19572
四川.汗牛河厂/1#变压器,15443,1789,19581,19582
四川.汗牛河厂/2#变压器,15445,1790,19591,19592
四川.塘泥湾光伏厂/1#变压器,25526,15475,19641,19642
四川.塘泥湾光伏厂/311SVG变,25529,15476,19651,19652
四川.大田光伏厂/1#变压器,15520,15521,19701,19702
四川.下大沟光伏厂/1#变压器,25593,15601,19711,19712
四川.下大沟光伏厂/#314SVG变压器,25596,25597,19721,19722
四川.兰错玛光伏厂/1#变压器,15609,15610,19731,19732
四川.美兴光伏厂/#315SVG变压器,25603,15634,19741,19742
四川.美兴光伏厂/1#变压器,25601,15628,19751,19752
四川.贡唐岗光伏厂/#315SVG变压器,25654,28006,19761,19762
四川.贡唐岗光伏厂/1#变压器,25605,15638,19771,19772
四川.一颗印厂/2#变压器,15666,25707,19791,19792
四川.苏房梁厂/1#变压器,25629,15673,19801,19802
四川.苏房梁厂/3#变压器,25630,15674,19811,19812
四川.浑水塘光伏厂/1#变压器,25636,25638,19821,19822
四川.丹巴/314#隔离变,15708,15707,19851,19852
四川.益门光伏厂/1#变压器,25657,15714,19861,19862
四川.广金坝厂/1#变压器,15723,25665,19871,19872
四川.益门光伏厂/#319SVG变压器,25659,15720,19881,19882
四川.彰冠光伏厂/1#变压器,15729,15730,19891,19892
四川.洛乌沟光伏厂/1#变压器,25671,15744,19901,19902
四川.洛乌沟光伏厂/#311SVG连接变,25674,15782,19911,19912
四川.柏栎箐光伏厂/1#变压器,25677,15758,19921,19922
四川.柏栎箐光伏厂/#313连接变,25679,28007,19931,19932
四川.洛乌沟光伏厂/#321SVG连接变,25673,15762,19941,19942
四川.洛乌沟光伏厂/2#变压器,25670,15746,19951,19952
四川.纳瓦厂/1#变压器,15775,25683,19961,19962
四川.巴青厂/1#变压器,15765,25692,19971,19972
四川.鲁基风电厂/1#变压器,25703,15799,19981,19982
四川.海涯寨厂/1#变压器,15823,25725,20021,20022
西藏.果多厂/1#变压器,25743,25760,20031,20032
西藏.果多厂/2#变压器,25742,25759,20041,20042
西藏.果多厂/3#变压器,25761,25758,20051,20052
西藏.果多厂/4#变压器,25741,25757,20061,20062
四川.白乌光伏厂/2#变压器,25762,15872,20071,20072
四川.春厂坝厂/1#变压器,15892,1856,20081,20082
四川.卓坤厂/2#变压器,25781,15914,20101,20102
四川.卓坤厂/#2SVG变压器,25782,15911,20111,20112
四川.白泉/0#站用变,42499,42500,20121,20122
四川.白泉/1#站用变,42501,42502,20131,20132
四川.白泉/2#站用变,42503,42504,20141,20142
四川.竹林坡光伏厂/1#变压器,25790,15938,20161,20162
四川.清风风电厂/1#变压器,25786,15921,20171,20172
四川.西坝/2#变压器,42505,42506,20181,20182
四川.西坝/1#变压器,42507,42508,20191,20192
四川.竹林坡光伏厂/#SVG等值变压器,25792,25794,20201,20202
四川.昌盛光伏厂/#SVG等值变压器,25800,25802,20211,20212
四川.昌盛光伏厂/#1变压器,15940,25799,20221,20222
四川.普隆村光伏厂/#1变压器,25822,15950,20231,20232
四川.马熊沟厂/#1变压器,25828,15975,20241,20242
四川.马熊沟厂/#2变压器,15968,1869,20251,20252
四川.娘拥厂/3#变压器,15040,25841,20261,20262
四川.清水沟厂/1#变压器,15984,15985,20281,20282
四川.布昌厂/1#变压器,15994,15995,20291,20292
四川.陈昌厂/1#变压器,16006,16021,20301,20302
四川.陈昌厂/2#变压器,16008,16015,20311,20312
四川.中眉厂/1#变压器,25902,16064,20361,20362
四川.棉桠光伏厂/1#变压器,16069,16070,20371,20372
四川.民治厂/1#变压器,16093,1889,20391,20392
四川.民治厂/2#变压器,16095,1890,20401,20402
四川.民治厂/3#变压器,16097,1891,20411,20412
四川.凉风坳风电厂/1#变压器,16107,25928,20421,20422
四川.万兴厂/1#变压器,25936,16128,20431,20432
四川.万兴厂/2#变压器,25937,16130,20441,20442
四川.猴子岩厂/1#变压器,25953,25966,20451,20452
四川.猴子岩厂/2#变压器,25958,25971,20461,20462
四川.猴子岩厂/3#变压器,25964,25976,20471,20472
四川.猴子岩厂/4#变压器,25965,25981,20481,20482
四川.龙洞厂/1#变压器,16178,26001,20501,20502
四川.龙洞厂/2#变压器,16176,25997,20511,20512
四川.龙洞厂/3#变压器,16174,25993,20521,20522
四川.博能厂/1#变压器,16186,16187,20531,20532
四川.红和风电厂/2#变压器,25355,16196,20541,20542
四川.洛乌沟光伏厂/3#变压器,26019,16211,20551,20552
四川.去学厂/1#变压器,26035,26039,20561,20562
四川.去学厂/2#变压器,26037,26040,20571,20572
四川.长河坝厂/1#变压器,26080,26084,20601,20602
四川.长河坝厂/2#变压器,26081,26085,20611,20612
四川.长河坝厂/3#变压器,26082,26086,20621,20622
四川.长河坝厂/4#变压器,26083,26087,20631,20632
四川.望江坪风电厂/1#变压器,16297,16298,20641,20642
四川.京东方/1#变压器,26131,27927,20691,20692
四川.京东方/3#变压器,26132,27928,20701,20702
四川.沐溪/2#站用变,42509,42510,20731,20732
四川.博洛拉达风电厂/1#变压器,26145,16381,20751,20752
四川.沙南厂/1#变压器,26158,26161,20761,20762
四川.沙南厂/2#变压器,26159,26162,20771,20772
四川.沙南厂/3#变压器,26160,26163,20781,20782
四川.同德厂/1#变压器,26182,16418,20791,20792
四川.海口风电厂/1#变压器,16422,16423,20801,20802
四川.大德厂/2#变压器,16430,16431,20811,20812
四川.大德厂/3#变压器,16439,16440,20821,20822
四川.芳地坪厂/2#变压器,26195,16449,20831,20832
四川.太阳坡/1#变压器,26217,16482,20861,20862
四川.太阳坡/314#变压器,26219,26220,20871,20872
四川.朗寨厂/1#变压器,16508,1937,20891,20892
四川.长安厂/1#变压器,16540,16547,20931,20932
四川.长安厂/2#变压器,16541,16549,20941,20942
四川.长安厂/3#变压器,16542,16551,20951,20952
四川.长安厂/4#变压器,16543,16553,20961,20962
四川.长安厂/5#变压器,16544,16555,20971,20972
四川.长安厂/6#变压器,16545,16557,20981,20982
四川.长安厂/7#变压器,16546,16559,20991,20992
四川.灰力苏厂/1#变压器,16598,16599,21031,21032
四川.灰力苏厂/313变压器,26282,28009,21041,21042
四川.禹源坝厂/1#变压器,16604,16616,21051,21052
四川.金水湾厂/1#变压器,26293,16613,21061,21062
四川.柏栎箐光伏厂/2#变压器,26299,16619,21071,21072
四川.柏栎箐光伏厂/#322连接变,26301,28010,21081,21082
四川.都尉燃机厂/1#变压器,26304,16625,21091,21092
四川.大宝鼎光伏厂/1#变压器,26309,16630,21101,21102
四川.正斗光伏厂/1#变压器,16639,16640,21111,21112
四川.正斗光伏厂/314#变压器,26315,28011,21121,21122
四川.小南海厂/1#变压器,26318,16654,21131,21132
四川.马宗风电厂/1#变压器,26327,26329,21141,21142
四川.马宗风电厂/2#变压器,26328,26330,21151,21152
四川.洛乌沟光伏厂/#331SVG连接变,26020,28012,21161,21162
四川.洁源光伏厂/1#变压器,26366,16724,21191,21192
四川.洁源光伏厂/313变压器,28013,26367,21201,21202
四川.高海厂/1#变压器,26371,16732,21211,21212
四川.干坝子风电厂/2#变压器,26379,16739,21221,21222
四川.干坝子风电厂/324#变压器,26380,16810,21231,21232
四川.通泉坝厂/1#变压器,16750,1971,21241,21242
四川.通泉坝厂/2#变压器,16752,1972,21251,21252
四川.拉马厂/2#变压器,26433,26434,21281,21282
四川.玛瑙/0#站用变,42511,42512,21291,21292
四川.玛瑙/1#站用变,42513,42514,21301,21302
四川.玛瑙/2#站用变,42515,42516,21311,21312
四川.玛施金风电厂/1#变压器,26445,16844,21321,21322
四川.上通坝厂/1#变压器,16849,1986,21331,21332
四川.上通坝厂/2#变压器,16851,1987,21341,21342
四川.云顶山风电场/1#变压器,26482,16878,21391,21392
四川.京东方/2#变压器,26485,27965,21401,21402
四川.广都/#11ZLK充电模块等值变压器,42520,42521,21431,21432
四川.广都/#12ZLK充电模块等值变压器,42525,42526,21451,21452
四川.广都/#18ZLK充电模块等值变压器,42527,42528,21461,21462
四川.广都/#21ZLK充电模块等值变压器,42529,42530,21471,21472
四川.广都/#22ZLK充电模块等值变压器,42531,42532,21481,21482
四川.广都/#28ZLK充电模块等值变压器,42533,42534,21491,21492
