id,name,type,I_Vol,K_Vol,J_Vol,I_S,K_S,J_S,Itap_H,Itap_L,Itap_E,Itap_C,Itap_V,Ktap_H,Ktap_L,Ktap_E,Ktap_C,Ktap_V,Jtap_V,Ri,Xi,Rk,Xk,Rj,Xj,I_node,K_node,J_node,I_P,I_Q,K_P,K_Q,J_P,J_Q,I_tap,K_tap,I_off,K_off,J_off,Pi_meas,Qi_meas,Pk_meas,Qk_meas,Pj_meas,Qj_meas,Ti_meas,Tk_meas,G,B,I_nd,K_nd,J_nd,I_bs,K_bs,J_bs,I_island,K_island,J_island,Ri*,Xi*,Rk*,Xk*,Rj*,Xj*,I_t,K_t,J_t,IBase_V,KBase_V,JBase_V
1215,四川.甘泉/0#站用变,2,10,0,0,0,0,0,1,1,1,0.0,10.0,17,1,1,-0.0125,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,西南.甘泉站.10.nd41535,'',西南.甘泉站.0.nd41536,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,-0.01,0.00,'','',0.00,0.00,'','','','',41535,-1,41536,6209,-2,6285,-1,-1,-1,0.002,0.54,0.0,0.0,0.0,0.0,1.0,0.0,1.0,10.0,0.0,0.38
1216,四川.橄榄/1#站用变,2,35,0,0,0,0,0,1,1,1,0.0,37.0,17,1,1,-0.0125,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,西南.橄榄站.35.nd41537,'',西南.橄榄站.0.nd41538,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0.00,0.00,'','',0.00,0.00,'','','','',41537,-1,41538,6173,-2,6185,-1,-1,-1,0.000146,0.039445,0.0,0.0,0.0,0.0,1.0,0.0,1.0,37.0,0.0,0.38
1217,四川.橄榄/2#站用变,2,35,0,0,0,0,0,1,1,1,0.0,37.0,17,1,1,-0.0125,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,西南.橄榄站.35.nd41539,'',西南.橄榄站.0.nd41540,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0.00,0.00,'','',0.00,0.00,'','','','',41539,-1,41540,6174,-2,6186,-1,-1,-1,0.000146,0.039445,0.0,0.0,0.0,0.0,1.0,0.0,1.0,37.0,0.0,0.38
1218,四川.茂县/7#站用变,2,35,0,4,0,0,0,1,1,1,0.0,37.0,17,1,1,-0.0125,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,四川.茂县.35.nd41541,'',四川.茂县.4.nd41542,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0.00,0.00,'','',0.00,0.00,'','','','',41541,-1,41542,1764,-2,1783,-1,-1,-1,0.014609,0.36523,0.0,0.0,0.0,0.0,1.0,0.0,1.0,37.0,0.0,4.0
1219,四川.茂县/8#站用变,2,35,0,4,0,0,0,1,1,1,0.0,37.0,17,1,1,-0.0125,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,四川.茂县.35.nd41543,'',四川.茂县.4.nd41544,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0.08,0.10,'','',0.00,0.00,'','','','',41543,-1,41544,1765,-2,1784,-1,-1,-1,0.014609,0.36523,0.0,0.0,0.0,0.0,1.0,0.0,1.0,37.0,0.0,4.0
1220,四川.茂县/9#站用变,2,35,0,4,0,0,0,1,1,1,0.0,37.0,17,1,1,-0.0125,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,四川.茂县.35.nd41545,'',四川.茂县.4.nd41546,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,'','','','',0.00,0.00,'','','','',41545,-1,41546,1766,-2,1785,-1,-1,-1,0.014609,0.36523,0.0,0.0,0.0,0.0,1.0,0.0,1.0,37.0,0.0,4.0
1221,四川.德昌风电厂/321#变压器,2,35,0,11,40,0,120,5,1,3,-0.025,37.0,17,1,1,-0.0125,0.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,四川.德昌风电厂.35.6818,'',四川.德昌风电厂.11.6898,0.006999999999999999,-3.44,0.0,0.0,-0.002,3.47,0,0,0,0,0,'','','','','','','','','','',12660,-1,27997,6818,-2,6898,0,-1,0,0.031695,0.208912,0.0,0.0,0.0,0.0,1.0,0.0,1.0,37.0,0.0,11.5
1222,四川.德昌风电厂/334#变压器,2,35,0,11,180,0,180,5,1,3,-0.025,37.0,17,1,1,-0.0125,0.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,四川.德昌风电厂.35.6817,'',四川.德昌风电厂.11.6899,0.201,-22.576999999999998,0.0,0.0,-0.001,23.897,0,0,0,0,0,'','','','','','','','','','',12661,-1,27998,6817,-2,6899,0,-1,0,0.031695,0.208912,0.0,0.0,0.0,0.0,1.0,0.0,1.0,37.0,0.0,11.5
1223,四川.沐溪/1#站用变,2,35,0,4,0,0,0,1,1,1,0.0,37.0,17,1,1,-0.0125,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,西南.沐溪站.35.nd41547,'',西南.沐溪站.4.nd41548,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0.00,0.00,'','',0.00,0.00,'','','','',41547,-1,41548,5351,-2,5358,-1,-1,-1,0.000146,0.039445,0.0,0.0,0.0,0.0,1.0,0.0,1.0,37.0,0.0,4.0
1224,四川.沐溪/0#站用变,2,10,0,0,0,0,0,1,1,1,0.0,37.0,17,1,1,-0.0125,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,西南.沐溪站.10.nd41549,'',西南.沐溪站.0.nd41550,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0.00,0.00,'','',0.00,0.00,'','','','',41549,-1,41550,5353,-2,5370,-1,-1,-1,0.002,0.54,0.0,0.0,0.0,0.0,1.0,0.0,1.0,10.5,0.0,0.38
1225,四川.路平/1#站用变,2,35,0,0,0,0,0,1,1,1,0.0,37.0,17,1,1,-0.0125,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,四川.路平.35.nd41551,'',四川.路平.0.nd41552,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0.05,0.04,'','','','','','','','',41551,-1,41552,7461,-2,7537,-1,-1,-1,0.014609,0.36523,0.0,0.0,0.0,0.0,1.0,0.0,1.0,37.0,0.0,0.38
1226,四川.路平/2#站用变,2,35,0,0,0,0,0,1,1,1,0.0,37.0,17,1,1,-0.0125,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,四川.路平.35.nd41553,'',四川.路平.0.nd41554,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0.04,0.04,'','','','','','','','',41553,-1,41554,7462,-2,7538,-1,-1,-1,0.014609,0.36523,0.0,0.0,0.0,0.0,1.0,0.0,1.0,37.0,0.0,0.38
1227,四川.石板箐/7#站用变,2,35,0,4,0,0,0,1,1,1,0.0,37.0,17,1,1,-0.0125,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,西南.石板箐站.35.nd41555,'',西南.石板箐站.4.nd41556,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0.07,0.06,'','','','','','','','',41555,-1,41556,2334,-2,2347,-1,-1,-1,0.014609,0.36523,0.0,0.0,0.0,0.0,1.0,0.0,1.0,37.0,0.0,4.0
1228,四川.石板箐/8#站用变,2,35,0,4,0,0,0,1,1,1,0.0,37.0,17,1,1,-0.0125,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,西南.石板箐站.35.nd41557,'',西南.石板箐站.4.nd41558,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0.06,0.05,'','','','','','','','',41557,-1,41558,2335,-2,2348,-1,-1,-1,0.014609,0.36523,0.0,0.0,0.0,0.0,1.0,0.0,1.0,37.0,0.0,4.0
1229,四川.石板箐/9#站用变,2,35,0,4,0,0,0,1,1,1,0.0,37.0,17,1,1,-0.0125,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,西南.石板箐站.35.nd41559,'',西南.石板箐站.4.nd41560,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0.00,0.00,'','','','','','','','',41559,-1,41560,2336,-2,2349,-1,-1,-1,0.014609,0.36523,0.0,0.0,0.0,0.0,1.0,0.0,1.0,37.0,0.0,4.0
