id,name,type,I_Vol,K_Vol,J_Vol,I_S,K_S,J_S,Itap_H,Itap_L,Itap_E,Itap_C,Itap_V,Ktap_H,Ktap_L,Ktap_E,Ktap_C,Ktap_V,Jtap_V,Ri,Xi,Rk,Xk,Rj,Xj,I_node,K_node,J_node,I_P,I_Q,K_P,K_Q,J_P,J_Q,I_tap,K_tap,I_off,K_off,J_off,Pi_meas,Qi_meas,Pk_meas,Qk_meas,Pj_meas,Qj_meas,Ti_meas,Tk_meas,G,B,I_nd,K_nd,J_nd,I_bs,K_bs,J_bs,I_island,K_island,J_island,Ri*,Xi*,Rk*,Xk*,Rj*,Xj*,I_t,K_t,J_t,IBase_V,KBase_V,JBase_V
123,四川.竹格多厂/3#变压器,3,220,110,10,150,150,45,5,1,3,-0.025,242.0,1,1,1,0.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,四川.竹格多厂.220.3567,四川.竹格多厂.110.3569,四川.竹格多厂.10.3572,-43.979,-3.645,45.042,8.815,-0.993,-3.388,4,0,0,0,0,-44.73,-6.45,'','','','','','','','',5660,5650,27720,3567,3569,3572,0,0,0,0.001418,0.061304,0.001871,0.025236,0.0038659999999999996,0.032032,1.02587,1.0,1.0,230.0,115.0,10.5
129,四川.自一里厂/1#变压器,3,220,35,10,80,80,10,5,1,3,-0.025,242.0,1,1,1,0.0,38.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,四川.自一里厂.220.3587,四川.自一里厂.35.nd7749,四川.自一里厂.10.3591,-58.95,5.225,0.0,0.0,59.13399999999999,0.893,4,0,0,1,0,-56.81,0.00,3.71,1.91,'','','','','','',18723,7749,18721,3587,3588,3591,0,-1,0,0.002698,0.178809,0.008151,0.10130399999999999,0.00172,-0.009936,1.02587,1.040541,1.0,230.0,37.0,10.5
147,四川.攀煤电厂/11#变压器,3,220,35,13,160,160,60,5,1,3,-0.025,242.0,1,1,1,0.0,38.5,13.8,0.0,0.0,0.0,0.0,0.0,-0.0,四川.攀煤电厂.220.2160,四川.攀煤电厂.35.2161,四川.攀煤电厂.13.nd19460,0.17800000000000002,0.091,-0.17800000000000002,-0.09300000000000001,0.0,0.0,3,0,0,0,1,-0.02,-0.16,'','','','','','','','',18224,26828,19460,2160,2161,2162,0,0,-1,0.002306,0.090397,0.0009449999999999999,0.056786,0.000567,-0.005274,1.052174,1.040541,1.0,230.0,37.0,13.8
154,四川.东风厂/1#变压器,3,220,35,10,75,75,37,5,1,3,-0.025,242.0,1,1,1,0.0,38.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,四川.东风厂.220.782,四川.东风厂.35.783,四川.东风厂.10.784,-11.729000000000001,-2.498,5.079,-1.082,6.657,3.892,3,0,0,0,0,-12.01,-2.96,'','',3.62,3.76,'','','','',2975,26838,17728,782,783,784,0,0,0,0.003454,0.179399,0.003368,0.119,0.001452,-0.012066,1.052174,1.040541,1.0,230.0,37.0,10.5
170,四川.威州厂/2#变压器,3,220,35,10,63,63,31,5,1,3,-0.025,242.0,1,1,1,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,四川.威州厂.220.3053,四川.威州厂.35.3054,四川.威州厂.10.nd417,1.392,-0.29100000000000004,-1.391,0.31,0.0,0.0,4,0,0,0,1,1.45,-0.55,-1.39,0.85,'','','','','','',18484,8027,417,3053,3054,3056,0,0,-1,0.004106,0.219127,0.00227,0.131667,0.0064329999999999995,-7.900000000000001e-05,1.02587,0.945946,1.0,230.0,37.0,10.5
225,四川.江边厂/4#变压器,3,220,110,13,90,90,36,5,1,3,-0.025,242.0,1,1,1,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,四川.江边厂.220.4919,四川.江边厂.110.4920,四川.江边厂.13.4924,-23.000999999999998,-4.4319999999999995,24.235,2.929,-1.214,1.659,0,0,0,0,0,'','','','','','','','','','',7617,7609,27596,4919,4920,4924,0,0,0,0.0025670000000000003,0.014594,0.00175,0.010794,0.0019850000000000002,-0.000718,1.052174,1.052174,1.0,230.0,115.0,13.8
239,四川.下索子厂/1#变压器,3,220,35,10,120,75,45,5,1,3,-0.025,242.0,1,1,1,0.0,38.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,四川.下索子厂.220.3830,四川.下索子厂.35.3842,四川.下索子厂.10.3843,-19.847,-2.843,-5.77,0.5710000000000001,25.628,2.803,0,0,0,0,0,-19.86,-2.45,-7.37,'',21.91,'','','','','',18949,27662,6319,3830,3842,3843,0,0,0,0.001947,0.116873,0.002306,0.061624,0.003624,0.00045700000000000005,1.052174,1.040541,1.0,230.0,37.0,10.5
240,四川.金堂厂/205启备变压器,3,220,110,6,63,63,35,5,1,3,-0.025,242.0,1,1,1,0.0,110.0,6.3,0.0,0.0,0.0,-0.0,0.0,0.0,四川.金堂厂.220.1358,四川.金堂厂.110.1361,四川.金堂厂.6.1364,4.266,2.285,-6.692,-3.605,2.425,1.329,0,0,0,0,0,5.07,3.05,'','','','','','','','',3713,26830,26827,1358,1361,1364,0,0,0,0.000206,0.036371,0.00037799999999999997,-0.003819,0.0,0.018941,1.052174,0.956522,1.0,230.0,115.0,6.3
243,四川.柳坪厂/1#变压器,3,220,35,10,80,80,40,5,1,3,-0.025,242.0,1,1,1,0.0,36.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,四川.柳坪厂.220.3781,四川.柳坪厂.35.3782,四川.柳坪厂.10.3783,-45.083999999999996,2.438,5.21,-0.249,39.959,1.3880000000000001,4,0,0,0,0,-45.43,-0.78,'','','','','','','','',18793,5926,510,3781,3782,3783,0,0,0,0.002582,0.17568599999999998,0.002938,0.10606199999999999,0.001429,-0.00981,1.02587,0.9864860000000001,1.0,230.0,37.0,10.5
244,四川.铁厂河厂/2#变压器,3,220,35,10,63,63,18,17,1,9,-0.013000000000000001,242.0,1,1,1,0.0,37.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,四川.铁厂河厂.220.3005,四川.铁厂河厂.35.3006,四川.铁厂河厂.10.3008,-14.065,-2.244,15.854000000000001,-3.2460000000000004,-1.6780000000000002,5.997999999999999,3,0,0,0,0,-17.54,'',17.98,-3.04,0.44,5.52,'','','','',4995,7847,27721,3005,3006,3008,0,0,0,0.031606999999999996,0.214518,-0.030548000000000002,0.0018239999999999999,0.042911000000000005,0.129444,1.1310870000000002,1.0,1.0,230.0,37.0,10.5
