id,name,volt,Q_rate,V_rate,position,node,P,Q,off,Q_meas,nd,bs,island,type,base_value
序号,并补名,电压等级,额定容量,额定电压,连接位置,所在拓扑节点,有功功率,无功功率,停运标志,无功量测,物理节点,计算节点,电气岛号,类型,电压等级
41,万县等值虚厂.500kV.黄万一线电抗器,500,-150.000,525.000,西南.黄万一线,重庆.万县等值虚厂.500.359,0.000,-166.592,0,0,17551,359,0,Compensator_P,525
42,万县等值虚厂.500kV.黄万二线电抗器,500,-148.760,525.000,西南.黄万二线,重庆.万县等值虚厂.500.359,0.000,-165.215,0,0,17557,359,0,Compensator_P,525
43,张家坝.500kV.张恩二线电抗器,500,-120.000,525.000,0,重庆.张家坝.500.nd50405,0.000,0.000,1,0,50405,412,-1,Compensator_P,525
44,张家坝.500kV.张恩一线电抗器,500,-120.000,525.000,0,重庆.张家坝.500.nd50406,0.000,0.000,1,0,50406,413,-1,Compensator_P,525
45,张家坝.500kV.张隆一线电抗器,500,-120.000,525.000,0,重庆.张家坝.500.nd50407,0.000,0.000,1,0,50407,414,-1,Compensator_P,525
46,张家坝.500kV.张隆二线电抗器,500,-120.000,525.000,0,重庆.张家坝.500.nd50408,0.000,0.000,1,0,50408,415,-1,Compensator_P,525
47,张家坝.500kV.张长一线电抗器,500,-120.000,525.000,0,重庆.张家坝.500.nd50409,0.000,0.000,1,0,50409,416,-1,Compensator_P,525
48,张家坝.500kV.张长二线电抗器,500,-120.000,525.000,0,重庆.张家坝.500.nd50410,0.000,0.000,1,0,50410,417,-1,Compensator_P,525
49,张家坝.500kV.水张一线电抗器,500,-120.000,525.000,0,重庆.张家坝.500.nd50411,0.000,0.000,1,0,50411,418,-1,Compensator_P,525
50,张家坝.500kV.水张二线电抗器,500,-120.000,525.000,0,重庆.张家坝.500.nd50412,0.000,0.000,1,0,50412,419,-1,Compensator_P,525
51,板桥等值虚厂.500kV.隆板一线电抗器,500,-148.760,525.000,0,重庆.板桥等值虚厂.500.nd50413,0.000,0.000,1,0,50413,352,-1,Compensator_P,525
52,思源.500kV.资思Ⅰ线电抗器,500,-150.000,525.000,0,重庆.思源.500.420,0.000,0.000,1,0,17563,420,0,Compensator_P,525
53,思源.500kV.资思Ⅱ线电抗器,500,-150.000,525.000,0,重庆.思源.500.19743,0.000,0.000,1,0,17565,19743,0,Compensator_P,525
54,葫芦坝厂.10.5kV.1#电抗器,10,-8.000,10.500,0,四川.葫芦坝厂.10.1140,0.000,-7.692,0,-0.31,3442,1140,0,Compensator_P,10.5
55,东坡.35kV.2-1#电容器,35,40.000,37.000,0,四川.东坡.35.791,0.000,0.000,1,0,3026,791,0,Compensator_P,35
56,东坡.35kV.2-2#电容器,35,40.000,37.000,0,四川.东坡.35.791,0.000,0.000,1,0,3028,791,0,Compensator_P,35
